Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
110-200,3e-4,3e-4,8e-4,4.6666666666666666e-4,2.886751345948129e-4,1-10,2
111,1e-4,NA,NA,NA,NA,1-10,1
111-120-201,1e-4,NA,NA,NA,NA,1-10,3
111-201,1e-4,NA,NA,NA,NA,1-10,2
112-120-202,1e-4,2e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,3
112-121,1e-4,NA,NA,NA,NA,1-10,2
112-210,1e-4,NA,NA,NA,NA,1-10,2
112-220,2e-4,NA,2e-4,NA,NA,1-10,2
120,0.0247,0.024,0.0238,0.024166666666666666,4.7258156262525993e-4,1-10,1
120-200,0.0211,0.0202,0.0207,0.020666666666666667,4.5092497528229016e-4,1-10,2
120-201,0.0074,0.0085,0.0086,0.008166666666666668,6.658328118479392e-4,1-10,2
120-201-210,0.0016,0.0016,0.001,0.0014,3.4641016151377546e-4,1-10,3
120-202,0.0031,0.0038,0.0036,0.0035,3.60555127546399e-4,1-10,2
120-202-210,4e-4,3e-4,9e-4,5.333333333333334e-4,3.2145502536643183e-4,1-10,3
120-210,0.0066,0.0084,0.0071,0.007366666666666666,9.291573243177566e-4,1-10,2
121,1e-4,NA,2e-4,NA,NA,1-10,1
121-201,1e-4,1e-4,NA,NA,NA,1-10,2
121-202,1e-4,NA,NA,NA,NA,1-10,2
121-220,1e-4,1e-4,2e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,2
200,0.0483,0.052,0.0462,0.04883333333333333,0.002936551265231603,1-10,1
201,0.0232,0.0216,0.0205,0.021766666666666667,0.0013576941236277521,1-10,1
201-210,0.0047,0.0043,0.0048,0.0046,2.6457513110645893e-4,1-10,2
201-220,0.0025,0.0026,0.0028,0.0026333333333333334,1.5275252316519465e-4,1-10,2
202,0.0197,0.0179,0.0193,0.018966666666666666,9.451631252505218e-4,1-10,1
202-210,0.0037,0.0028,0.003,0.0031666666666666666,4.7258156262526096e-4,1-10,2
202-211,2e-4,NA,NA,NA,NA,1-10,2
202-220,0.0018,0.0017,0.0021,0.0018666666666666666,2.0816659994661325e-4,1-10,2
202-221,1e-4,NA,1e-4,NA,NA,1-10,2
210,0.0232,0.0208,0.0246,0.022866666666666667,0.0019218047073866105,1-10,1
211,1e-4,1e-4,4e-4,2e-4,1.7320508075688773e-4,1-10,1
211-220,1e-4,3e-4,1e-4,1.6666666666666666e-4,1.1547005383792513e-4,1-10,2
220,0.0195,0.0188,0.0166,0.0183,0.0015132745950421555,1-10,1
002-020-101,NA,1e-4,1e-4,NA,NA,1-10,3
002-021-120-210,NA,2e-4,1e-4,NA,NA,1-10,4
002-110,NA,3e-4,1e-4,NA,NA,1-10,2
002-110-200,NA,1e-4,1e-4,NA,NA,1-10,3
010-200,NA,1e-4,1e-4,NA,NA,1-10,2
011-020-101,NA,1e-4,NA,NA,NA,1-10,3
011-020-200,NA,2e-4,2e-4,NA,NA,1-10,3
012-021-102-210,NA,1e-4,1e-4,NA,NA,1-10,4
012-102-201-220,NA,2e-4,NA,NA,NA,1-10,4
020-101,NA,2e-4,NA,NA,NA,1-10,2
020-101-200,NA,1e-4,1e-4,NA,NA,1-10,3
021-102-201-210,NA,2e-4,NA,NA,NA,1-10,4
022-120-201-210,NA,1e-4,4e-4,NA,NA,1-10,4
022-202-211,NA,1e-4,2e-4,NA,NA,1-10,3
022-211-220,NA,1e-4,NA,NA,NA,1-10,3
101,NA,3e-4,3e-4,NA,NA,1-10,1
102-121-220,NA,1e-4,NA,NA,NA,1-10,3
112,NA,1e-4,3e-4,NA,NA,1-10,1
112-202,NA,1e-4,NA,NA,NA,1-10,2
112-211-220,NA,1e-4,NA,NA,NA,1-10,3
012-211-220,NA,NA,1e-4,NA,NA,1-10,3
021-102-120-210,NA,NA,1e-4,NA,NA,1-10,4
022-221,NA,NA,1e-4,NA,NA,1-10,2
121-202-211,NA,NA,1e-4,NA,NA,1-10,3
121-211,NA,NA,1e-4,NA,NA,1-10,2
122-220,NA,NA,1e-4,NA,NA,1-10,2
212-220,NA,NA,1e-4,NA,NA,1-10,2
-1,0.0051,0.0054,0.0049,0.0051333333333333335,2.5166114784235856e-4,11-20,2
-2,0.0106,0.0095,0.0078,0.0093,0.0014106735979665887,11-20,2
002,0.0446,0.0447,0.0451,0.0448,2.645751311064601e-4,11-20,1
002-020,0.0112,0.0121,0.0143,0.012533333333333334,0.0015947831618540918,11-20,2
002-020-200,0.0129,0.0131,0.0127,0.0129,2.0000000000000052e-4,11-20,3
002-020-201,0.0011,0.0015,6e-4,0.0010666666666666667,4.509249752822895e-4,11-20,3
002-020-201-210,1e-4,NA,NA,NA,NA,11-20,4
002-020-210,0.0013,0.0018,0.0018,0.0016333333333333332,2.886751345948129e-4,11-20,3
002-021,0.0102,0.0113,0.011,0.010833333333333334,5.68624070307732e-4,11-20,2
002-021-120,8e-4,6e-4,3e-4,5.666666666666667e-4,2.5166114784235834e-4,11-20,3
002-021-120-200,1e-4,NA,1e-4,NA,NA,11-20,4
002-021-200,0.0022,0.0012,0.0021,0.0018333333333333333,5.507570547286103e-4,11-20,3
002-021-210,5e-4,8e-4,5e-4,6.000000000000001e-4,1.7320508075688773e-4,11-20,3
002-021-220,8e-4,3e-4,3e-4,4.6666666666666666e-4,2.886751345948129e-4,11-20,3
002-120,0.0033,0.0029,0.0034,0.0031999999999999997,2.645751311064591e-4,11-20,2
002-120-200,0.0016,0.0013,0.0017,0.0015333333333333334,2.0816659994661328e-4,11-20,3
002-120-201,3e-4,3e-4,3e-4,3e-4,0,11-20,3
002-120-210,2e-4,NA,2e-4,NA,NA,11-20,3
002-200,0.0108,0.0108,0.0123,0.011300000000000001,8.660254037844384e-4,11-20,2
002-201,0.0112,0.0102,0.0111,0.010833333333333334,5.507570547286099e-4,11-20,2
002-201-210,8e-4,7e-4,0.0011,8.666666666666667e-4,2.081665999466133e-4,11-20,3
002-201-220,7e-4,5e-4,5e-4,5.666666666666667e-4,1.1547005383792514e-4,11-20,3
002-210,0.0035,0.0023,0.0037,0.0031666666666666666,7.571877794400366e-4,11-20,2
002-220,0.0028,0.0022,0.0025,0.0025,2.999999999999999e-4,11-20,2
011-020,2e-4,2e-4,NA,NA,NA,11-20,2
012,0.0325,0.0301,0.0307,0.0311,0.0012489995996796807,11-20,1
012-020,0.0108,0.0125,0.0114,0.011566666666666668,8.621678104251709e-4,11-20,2
012-020-102,8e-4,8e-4,7e-4,7.666666666666667e-4,5.7735026918962605e-5,11-20,3
012-020-102-200,2e-4,NA,NA,NA,NA,11-20,4
012-020-200,0.0011,0.0023,0.0015,0.0016333333333333334,6.110100926607786e-4,11-20,3
012-020-201,0.0013,6e-4,8e-4,9e-4,3.6055512754639893e-4,11-20,3
012-020-202,4e-4,4e-4,NA,NA,NA,11-20,3
012-021,0.0066,0.0062,0.0073,0.0067,5.567764362830024e-4,11-20,2
012-021-102,0.0011,0.0015,0.0017,0.0014333333333333333,3.0550504633038926e-4,11-20,3
012-021-120,0.0013,0.0013,0.0012,0.0012666666666666666,5.7735026918962605e-5,11-20,3
012-021-120-202,4e-4,1e-4,2e-4,2.3333333333333333e-4,1.5275252316519468e-4,11-20,4
012-021-200,1e-4,NA,5e-4,NA,NA,11-20,3
012-021-201,5e-4,3e-4,3e-4,3.6666666666666667e-4,1.1547005383792517e-4,11-20,3
012-021-202,0.0015,9e-4,0.0013,0.0012333333333333332,3.0550504633038936e-4,11-20,3
012-021-202-220,1e-4,3e-4,2e-4,1.9999999999999998e-4,9.999999999999999e-5,11-20,4
012-021-210,3e-4,1e-4,4e-4,2.666666666666667e-4,1.5275252316519468e-4,11-20,3
