118.141,1.586	0.350,300.795
4.380,0.017	136.134,0.017	0.145,29.421
611.161,0.135	3.084,53.685	7.877,53.685
0.078,3.702	0.001,206.434
0.685,3.923	51.147,0.084	0.022,89.442
9.426,1.300	344.178,0.081	0.338,92.346
0.590,3.502	21.303,0.041	0.018,224.442
780.899,0.039	3.419,17.615
247.594,0.095	0.069,9.045
0.118,1.980	0.003,102.839
5.000,0.737	374.867,0.014	0.084,72.084
1.937,2.143	191.243,0.109	191.243,10.341	0.022,203.662
3.073,0.827	238.284,0.013	3.073,20.607
29.335,0.414	0.094,679.690	4.800,679.690
48.436,0.432	0.023,8.837	0.023,92.594
132.334,0.044	0.034,3.553	0.034,102.187
1.059,1.448	81.921,0.019	0.013,139.181
0.569,2.749	45.303,0.040	0.008,81.478
0.439,4.187	24.921,0.052	0.006,111.887
357.421,0.020	0.557,88.297
173.483,0.022	0.235,1.604	0.235,95.388
2.199,1.174	96.261,0.013	0.046,67.046
0.842,0.912	31.108,0.045	0.017,59.589
411.693,0.019	2.709,95.420
2.567,3.408	174.462,0.116	0.078,28.472
205.550,0.019	0.497,91.522
79.002,0.604	79.002,8.989	0.051,123.155
3.235,3.368	63.436,0.353	0.060,252.283
10.774,1.251	174.919,0.036	0.171,77.793
0.954,1.236	75.816,0.028	0.019,99.955
79.521,0.154	0.019,354.216
0.190,1.008	0.004,45.951
49.456,0.042	0.406,1.748	0.406,143.559
0.321,0.854	0.005,29.314
159.176,0.034	1.473,1.494	1.473,73.671
4.547,0.360	125.753,0.017	0.084,27.867
2.447,0.374	155.832,0.007	0.059,33.378
32.434,0.714	0.005,40.769
0.623,1.762	51.734,0.031	0.094,161.844
1.004,4.979	95.487,0.060	0.011,280.231
10.912,0.009	105.557,0.009	1.082,50.246
6.867,5.936	284.915,0.268	0.142,102.740
0.602,0.558	45.815,0.111	0.012,37.011
78.826,0.008	0.103,31.583
72.875,0.032	0.661,33.074
170.145,0.216	0.162,19.081	0.162,88.364
2.266,0.523	214.516,0.028	0.037,28.079
2.466,6.888	50.408,0.089	0.063,193.201
0.823,0.773	81.276,0.009	0.017,76.621
1.479,0.318	54.383,0.090	1.479,16.334
2.323,2.220	71.097,0.055	0.288,162.786
1.010,1.066	35.088,0.062	35.088,3.647	0.043,62.324
4.201,2.056	61.056,0.029	0.094,178.237
1.933,2.276	122.676,0.245	0.037,189.310
148.049,0.013	2.976,1.092	26.255,1.092	2.976,64.749	26.255,64.749
333.814,0.060	0.205,2.357	0.205,31.844
127.434,0.030	0.174,2.499	0.174,84.414
438.714,0.156	0.210,157.355
292.364,0.024	292.364,1.600	0.310,157.342
1.006,0.854	86.581,0.009	0.360,64.167
5.070,0.699	360.799,0.008
157.956,0.087	157.956,3.710	0.060,235.702
64.380,0.007	0.330,27.293
4.196,4.988	122.699,0.103	0.057,164.635
0.004,130.354
1.414,0.758	8.814,0.758	0.023,35.960
42.150,0.055	0.012,57.984
117.638,0.025	0.063,53.077
292.628,5.841	0.114,565.969
0.002,72.221
0.329,3.665	12.675,0.044	0.005,44.453
0.613,0.195	48.085,0.003
1.399,3.579	138.185,0.037	0.014,170.540
1.125,0.467	31.267,0.467	1.125,8.331	31.267,8.331	0.027,41.576
1.442,0.706	140.980,0.038	0.047,56.481
28.461,0.585	0.010,15.179	0.010,431.268
0.581,0.035	39.164,0.001
0.965,2.864	0.012,224.768
2.598,0.650	253.592,0.008	0.038,50.323
3.585,6.278	61.563,0.065	0.143,268.041
0.485,3.113	33.256,0.047	0.040,87.577
1.693,1.307	58.111,0.014	0.026,121.463
2.062,0.047	114.282,0.002
7.141,0.057	500.147,0.057	0.191,107.522
94.884,0.053	0.683,68.973	11.767,68.973
171.621,0.294	0.571,739.075	11.266,9.454
0.834,1.035	39.210,0.133	0.029,49.497
3.444,1.852	332.621,0.037	0.075,15.611
439.858,0.062	0.207,75.113	11.591,75.113
101.633,0.019	0.079,58.056	5.797,58.056
5.594,2.071	177.600,0.064	0.102,89.681
0.025,2.556	0.000,192.563
3.228,4.055	116.421,0.102	2.733,80.147
0.357,2.689	31.268,0.037	0.007,155.959
122.168,0.257	0.193,99.933
3.615,0.093	90.318,0.093	3.615,7.118	90.318,7.118	0.040,376.279
8.399,2.209	82.936,0.369	0.178,126.503
4.032,1.202	285.702,0.044	0.040,23.392
141.890,0.056	0.027,5.286	0.027,354.437
589.725,0.050	0.286,127.293
57.362,0.219	57.362,7.059	0.018,320.103
0.488,1.282	28.959,0.045	0.009,110.804
6.578,4.335	139.692,0.120	0.219,169.664
84.097,0.026	2.348,131.715
3.277,1.408	79.096,0.077	79.096,4.192	0.035,76.902
177.212,0.096	0.036,655.230
97.828,0.007
1.330,0.898	103.467,0.077	0.063,45.346
13.190,0.025	713.939,0.025	13.190,2.400	713.939,2.400	0.363,140.438
343.269,0.043	0.515,98.361	17.120,98.361
2.117,1.006	136.678,0.028	0.027,74.928
45.638,0.168	0.019,133.484
60.892,0.056	0.377,26.548
96.158,0.013	0.234,47.058	1.382,47.058
6.279,0.060	341.233,0.060	0.133,412.921
247.947,0.037	0.768,102.828
11.066,0.422	897.922,0.422	0.333,104.175
0.304,0.789	0.172,47.156
0.513,3.192	50.850,0.058	0.009,218.353
0.850,4.095	72.763,0.047	0.026,71.588	2.217,71.588
0.513,0.588	30.764,0.012	0.009,49.543
40.420,0.221	0.007,35.156
1.650,0.221	74.377,0.003	0.073,20.822
206.378,0.162	17.542,298.219
4.127,2.595	357.263,0.077	0.051,188.218
541.115,0.043	0.520,403.219
3.498,2.181	111.055,0.030	0.120,161.905
0.008,538.296
15.957,2.079	505.352,0.026	0.329,87.764
0.557,5.260	52.835,0.212	0.020,182.792
0.752,1.138	51.090,0.023	0.020,57.146
44.254,0.226	0.083,111.771	5.405,111.771
73.658,0.325	73.658,10.562	0.016,320.616
249.615,0.211	249.615,2.717	0.066,150.789
0.300,3.537	21.783,3.537	0.004,133.575
1.832,1.916	125.086,0.056	0.030,106.364
1.786,9.838	94.430,0.151	0.018,333.694
305.252,1.401	0.459,175.462
3.897,7.221	181.879,0.230	0.061,43.807
10.050,1.979	313.244,0.856	0.107,90.582
8.113,1.653	103.841,0.290	0.316,91.315
2.334,1.989	195.149,0.037	0.032,140.328
2.169,1.188	42.550,0.415	0.150,112.556
0.267,3.019	16.686,0.053	0.012,68.060
62.204,0.111	0.269,51.090
76.114,0.069	76.114,1.341	0.225,40.555
0.306,0.489	27.894,0.008	0.306,20.001
1.231,6.412	20.648,0.088	0.016,307.811
164.290,0.023	0.273,109.417
2.599,2.827	174.379,0.051	0.042,135.902
97.036,0.318	0.263,142.042	13.127,142.042
33.178,0.357	0.072,117.427
372.129,0.041	0.087,107.647	6.789,107.647
2.347,2.157	162.295,0.086	0.029,88.883
0.001,106.681
99.293,0.032	99.293,2.622	0.110,182.047	7.789,182.047
0.637,0.356	0.087,23.353
1.976,0.015	151.959,0.015	0.246,59.477
0.227,5.741	0.014,42.866
0.879,3.906	61.883,0.075	0.010,100.619
5.531,0.185	194.292,0.185	0.103,6.553	0.103,339.360
189.125,0.031	9.664,47.726
0.874,0.211	56.423,0.005	0.023,15.328
1.960,2.982	195.039,0.087	0.021,245.905
460.132,0.051	0.102,182.093
0.139,5.622	0.002,79.120
2.561,0.975	138.511,0.019	0.047,82.007
0.730,7.429	54.656,0.224	0.008,50.205
47.082,0.331	0.012,10.599	0.012,105.228
2.003,2.694	31.804,0.040	0.184,84.408
43.323,0.049	0.797,3.122	0.797,180.210
0.202,1.104	0.003,70.705
1.974,2.429	161.599,1.253	0.046,127.417
1.697,0.032	145.377,0.032	0.022,103.693
5.412,1.381	198.762,0.073	0.282,71.219
0.276,0.094	19.456,0.001
0.434,4.069	38.048,0.051	0.005,159.144
3.664,1.804	66.169,0.028	0.092,170.517
138.590,0.411	0.730,89.465
2.892,2.101	165.307,0.075	0.039,194.574
1.285,2.864	75.100,0.033	0.023,57.906
73.179,0.091	73.179,6.795	0.308,338.794
63.540,0.029	0.476,81.330
88.263,6.392	0.027,215.751
10.206,0.756	309.122,0.043	0.163,64.154
56.553,0.212	56.553,13.358	0.050,377.542
5.344,1.276	323.438,0.074	0.140,118.673
102.764,0.086	0.022,336.527
0.002,24.268
5.291,0.134	18.787,0.134	5.291,7.782	18.787,7.782	0.054,98.224
0.370,8.160	29.007,0.082	0.005,99.933
90.962,0.075	0.699,96.644
0.260,0.048	17.740,0.001
29.674,2.495	0.091,224.221
2.633,3.284	41.428,0.033	0.037,302.613
0.646,0.690	63.757,0.012
2.061,0.115	92.271,0.031
1.287,0.734	74.225,0.016	0.081,72.591	4.652,72.591
0.970,8.519	57.178,0.137	0.014,81.398
160.007,0.267	0.265,106.057
72.559,0.308	0.009,7.363	0.009,139.262
313.240,2.592	0.153,265.210
