4.214,1.429	142.049,0.037	0.054,111.332
147.653,0.028	0.082,57.051	2.111,57.051
1.618,1.594	139.104,0.040	0.095,44.255
3.706,0.002	102.709,0.002
0.683,0.793	48.973,0.023	0.026,79.233
1.187,0.033	96.055,0.001	1.187,2.530
40.626,0.007	0.202,48.233
382.313,0.027	0.826,108.139
1.358,0.092	73.295,0.005
0.535,5.504	0.008,395.934
0.661,1.111	46.569,0.031	0.025,110.120
0.555,0.420	47.366,0.181	0.011,25.343
83.747,0.386	0.054,66.292
0.412,0.858	32.412,0.013	0.007,40.450
586.178,0.066	0.311,102.711
131.323,0.010	131.323,0.651	0.263,45.852
2.290,1.571	43.520,0.054	0.266,138.992
463.900,0.023	0.941,75.684
433.892,0.013	0.281,80.526
1.696,1.226	130.316,0.166	130.316,15.502	0.031,114.348
0.941,1.443	43.872,0.021	0.011,102.530
1.835,2.655	178.858,0.067	0.032,197.006
5.104,0.156	162.995,0.156	0.062,5.971	0.062,80.358
2.698,0.841	148.461,0.017	0.060,31.540
1.500,1.753	101.379,0.031	0.021,115.516
108.887,3.402	0.148,212.543	5.074,212.543
1.601,8.547	92.157,0.230	0.041,306.809
156.554,0.767	0.247,150.575
363.457,0.008	0.213,42.437	8.010,42.437
0.002,8.131	0.002,66.697
64.833,0.189	0.017,660.745
180.164,0.004
0.590,2.109	52.838,0.185	52.838,9.749	0.008,111.027
3.562,0.421	137.535,0.421	0.044,611.195
0.042,6.388	0.042,340.685
181.746,0.123	0.205,55.964
0.001,331.508
2.735,0.299	81.023,0.299	0.092,106.173
707.289,0.059	0.510,1.444	0.510,93.693
472.116,0.090	472.116,5.827	0.155,279.277	8.559,279.277
1.656,4.321	54.421,0.164	0.120,121.656
5.454,0.543	99.937,0.543	0.181,378.656
60.728,0.006
240.532,0.124	0.348,8.834	9.400,8.834	0.348,238.380	9.400,238.380
4.299,0.600	394.737,0.045	0.116,50.839
3.938,0.582	111.743,0.043	0.044,18.973
1.616,0.274	109.792,0.005	0.561,23.579
55.886,0.006	0.009,32.110
2.908,7.270	166.247,0.148	0.057,261.188
2.712,2.459	69.157,0.108	0.048,94.087
239.167,0.060	239.167,3.610	0.954,208.956
46.454,0.188	0.016,8.760	0.016,67.346
1.470,1.508	140.078,0.031	0.091,122.366
7.042,1.181	93.923,0.121	7.042,15.956
5.534,0.030	119.449,0.030	0.085,37.270
42.495,0.065	0.074,487.908	2.998,487.908
0.429,0.593	42.487,0.294	0.005,55.129
11.723,0.019	289.343,0.019	11.723,1.361	289.343,1.361	0.165,128.181
1.764,1.424	66.530,0.089	0.044,116.098
117.710,0.016	0.072,86.018	1.455,86.018
243.138,0.134	0.755,241.414
187.395,0.150	0.055,9.785	0.055,394.904
84.270,0.052	0.121,57.929	3.692,57.929
1.783,3.385	101.544,0.122	0.191,85.911	10.861,85.911
1.234,2.537	101.544,0.034	0.013,85.911
32.536,0.080	32.536,3.547	0.024,198.516
37.762,0.957	37.762,13.123	0.008,560.833
114.948,3.744	0.797,379.773
0.630,0.506	49.137,0.011	0.017,37.355
2.985,0.012	178.476,0.012
266.168,0.016	0.089,55.699	5.506,55.699
0.433,1.123	37.568,0.020	0.022,82.898
0.652,0.754	64.284,0.011	0.121,55.903
2.881,0.964	239.690,0.012	0.317,22.200
1.216,0.920	79.110,0.141	0.070,74.738
3.039,1.288	155.548,0.034	0.032,94.964
1.934,3.962	149.396,0.091	0.025,101.622
0.121,1.244	0.010,113.118
25.889,3.121	0.015,299.659
2.108,0.045	175.978,0.045	0.021,189.010
181.679,0.004	0.082,31.495	4.184,31.495
99.034,0.054	0.251,124.650
1.502,0.881	85.744,0.009	0.018,82.602
1.011,0.363	46.086,0.004	0.022,12.302
859.889,0.011	0.198,38.312
163.774,0.009
20.239,2.150	0.026,43.901
0.006,111.687
0.392,3.072	27.412,0.086	0.006,69.746
185.531,0.020	0.272,163.081	5.543,163.081
14.470,0.035	0.052,3.048	0.052,59.761
1.221,0.663	88.906,0.021	88.906,1.805	0.036,55.797
1.560,5.497	116.368,0.084	0.025,247.493
1.586,2.319	5.760,0.086	0.020,118.307
0.329,1.232	25.362,0.019	0.012,68.625
1.924,0.936	96.960,0.052	0.038,72.294
0.083,0.232	0.002,20.067
70.655,0.083	0.149,5.695	0.149,287.641
0.898,0.526	57.268,0.009	0.010,47.835
196.335,0.025	0.325,63.057
0.705,1.114	59.984,0.023	0.016,82.177
115.185,0.366	0.428,155.129
1.083,0.206	87.608,0.003
0.001,7.062	0.001,96.640
0.948,3.275	70.996,0.039	0.084,58.570
145.358,0.015	0.072,71.767
69.782,0.083	0.021,7.821	1.392,7.821	0.021,277.767	1.392,277.767
10.980,0.043	200.335,0.002
115.859,0.179	0.187,3.021	0.187,117.812
1.446,6.075	84.827,0.094	0.015,311.101
3.302,0.920	276.918,0.041	276.918,3.479	0.033,78.320
293.557,0.537	0.445,106.045
2.254,0.045	53.481,0.001
0.282,0.077	12.933,0.001
244.400,0.037	0.400,238.532	6.348,238.532
432.698,0.347	0.413,132.887
1.703,0.576	69.739,0.012	0.019,26.995
3.343,0.143	288.771,0.003
3.224,4.022	117.737,0.098	0.049,327.706
2.408,2.665	177.659,0.028	0.070,53.806	5.130,53.806
1.810,2.529	125.466,0.083	0.022,28.839
101.757,0.064	0.023,5.410	0.023,86.357
1.373,1.375	86.439,0.030	0.014,62.200
77.459,0.032	0.050,54.898	1.065,54.898
106.070,0.045	0.110,2.813	0.110,163.405
29.037,0.238	0.004,219.066
112.140,0.033	0.046,92.585
1.638,1.407	112.140,0.017	0.061,92.585
0.805,3.544	64.552,0.063	0.024,296.480
0.614,0.668	28.026,0.045	0.010,51.674
102.495,0.059	0.050,108.847	2.400,108.847
306.349,4.437	0.114,109.983	3.157,109.983
142.938,0.167	0.166,72.523
0.534,9.941	44.700,0.103	0.007,158.810
292.288,1.008	292.288,8.840	0.036,145.438
8.891,0.283	116.768,0.004	0.155,22.582
187.476,1.119	1.602,329.737
2.796,0.426	61.140,0.004
0.346,0.969	32.073,0.018	0.004,92.207
614.126,0.037	0.173,223.534	8.929,223.534
0.938,1.299	66.045,0.014	0.012,116.527
3.285,0.023	94.501,0.023	0.054,89.618
0.251,2.749	18.100,0.074	0.003,70.433
186.678,0.703	0.024,393.696	2.402,393.696
2.285,1.529	144.005,0.071	0.046,116.202
1.120,2.000	106.016,0.022	0.016,105.699
2.596,2.033	38.702,0.028	0.060,197.256
209.155,0.005	0.213,8.645
34.481,0.197	0.010,251.744
210.219,0.006
