parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,basinDiscret
8159,1,01,01,01,1,1,-7.763423,6.99467,1
8160,2,01-20,01,01-10-20,2,0.978,-4.023638,6.276574,0.978
8160,2,01-20,20,01-10-20,2,0.022,3.782078,-0.147415,0.022
8161,2,01-20,01,01-20,2,0.964,-5.442873,8.703274,0.964
8161,2,01-20,20,01-20,2,0.036,3.793855,2.241344,0.036
8162,2,01-20,20,01-20,2,0.084,4.299114,4.030995,0.084
8162,2,01-20,01,01-20,2,0.916,-7.357552,6.477971,0.916
8163,1,01,01,01,1,1,-8.765837,9.328928,1
8164,2,01-20,20,01-20,2,0.588,6.836947,-0.174886,0.588
8164,2,01-20,01,01-20,2,0.412,-4.906837,6.259235,0.412
8165,2,11-20,11,01-11-20,2,0.185,-0.33909,5.2143370000000004,0.185
8165,2,11-20,20,01-11-20,2,0.815,6.017316,-1.245698,0.815
8166,1,20,20,20,1,1,7.914554,-1.249263,1
8167,2,01-20,20,01-20,2,0.829,6.896227,0.572408,0.829
8167,2,01-20,01,01-20,2,0.171,-0.84374,6.117503,0.171
8168,2,01-21,21,01-21,2,0.422,3.051001,6.094119,0.422
8168,2,01-21,01,01-21,2,0.578,-2.706753,6.7051,0.578
8169,2,01-20,01,01-20,2,0.829,-7.923897,6.357726,0.829
8169,2,01-20,20,01-20,2,0.171,3.457845,1.759572,0.171
8170,2,01-21,01,01-21,2,0.19,0.863464,7.90457,0.19
8170,2,01-21,21,01-21,2,0.81,4.521052,4.246981,0.81
8171,2,01-20,20,01-20,2,0.261,5.902961,0.625071,0.261
8171,2,01-20,01,01-20,2,0.739,-6.528796,5.766521,0.739
8172,2,10-20,20,10-20,2,0.378,4.195349,-1.687921,0.378
8172,2,10-20,10,10-20,2,0.622,-2.355211,-1.682529,0.622
8173,2,01-20,01,01-20,2,0.297,-4.174273,6.353143,0.297
8173,2,01-20,20,01-20,2,0.703,5.665388,0.129293,0.703
8174,2,01-20,20,01-10-20,2,0.644,8.298004,0.904689,0.644
8174,2,01-20,01,01-10-20,2,0.356,-3.931722,7.270311,0.356
8175,1,01,01,01,1,1,-5.350933,6.522702,1
8176,2,01-21,01,01-21,2,0.543,-3.228429,6.911293,0.543
8176,2,01-21,21,01-21,2,0.457,2.696355,3.531469,0.457
8177,2,00-20,00,00-20,2,0.652,-0.980787,3.617839,0.652
8177,2,00-20,20,00-20,2,0.348,5.410699,1.278414,0.348
8178,2,01-20,01,01-20,2,0.214,-3.383472,7.46173,0.214
8178,2,01-20,20,01-20,2,0.786,7.31496,2.321585,0.786
8179,2,01-20,20,01-20,2,0.661,5.526271,-0.705521,0.661
8179,2,01-20,01,01-20,2,0.339,-2.267189,5.872929,0.339
8180,3,01-11-20,11,01-11-20,3,0.164,1.499853,6.808483,0.164
8180,3,01-11-20,01,01-11-20,3,0.346,-4.9507,6.808484,0.346
8180,3,01-11-20,20,01-11-20,3,0.49,7.059912,1.330123,0.49
8181,2,01-21,21,01-21,2,0.905,3.373996,3.931806,0.905
8181,2,01-21,01,01-21,2,0.095,-1.860712,9.218676,0.095
8182,2,01-21,21,01-21,2,0.751,3.075543,4.436665,0.751
8182,2,01-21,01,01-21,2,0.249,-2.685761,7.492562,0.249
8183,2,01-20,20,01-20,2,0.977,6.414879,-0.937147,0.977
8183,2,01-20,01,01-20,2,0.023,-0.735439,4.357536,0.023
8184,2,01-20,20,01-20,2,0.442,7.059832,2.202989,0.442
8184,2,01-20,01,01-20,2,0.558,-3.84296,7.763862,0.558
8185,2,01-20,01,01-20,2,0.933,-7.854541,8.856957,0.933
8185,2,01-20,20,01-20,2,0.067,4.770225,2.661344,0.067
8186,1,20,20,20,1,1,6.786116,1.98623,1
8187,3,01-11-20,11,01-11-20,3,0.428,0.940117,7.612781,0.428
8187,3,01-11-20,01,01-11-20,3,0.173,-4.069983,7.612781,0.173
8187,3,01-11-20,20,01-11-20,3,0.399,7.248413,1.425551,0.399
8188,1,20,20,20,1,1,7.314394,0.445136,1
8189,2,01-20,20,01-20,2,0.099,4.052134,0.721658,0.099
8189,2,01-20,01,01-20,2,0.901,-3.648548,7.253324,0.901
8190,2,01-21,21,01-21,2,0.889,2.127639,4.364349,0.889
8190,2,01-21,01,01-21,2,0.111,-3.812614,8.363617,0.111
8191,1,20,20,20,1,1,7.743172,-0.101125,1
8192,2,01-20,01,01-20,2,0.343,-3.723129,7.131298,0.343
8192,2,01-20,20,01-20,2,0.657,7.081579,3.285999,0.657
8193,2,01-20,20,01-20,2,0.562,7.506354,0.762297,0.562
8193,2,01-20,01,01-20,2,0.438,-4.892942,6.495707,0.438
8194,2,01-20,01,01-20,2,0.502,-3.388678,4.662239,0.502
8194,2,01-20,20,01-20,2,0.498,6.657607,-1.8907910000000001,0.498
8195,1,01,01,01,1,1,-8.962232,6.439196,1
8196,2,01-20,20,01-20,2,0.419,7.660616,1.528815,0.419
8196,2,01-20,01,01-20,2,0.581,-5.087996,5.820373,0.581
8197,1,01,01,01,1,1,-6.540015,7.799411,1
8198,2,01-20,01,01-20,2,0.098,-0.514086,5.717389,0.098
8198,2,01-20,20,01-20,2,0.902,7.224866,1.256561,0.902
8199,1,01,01,01,1,1,-8.640454,7.188513,1
8200,2,01-21,21,01-21,2,0.617,2.476916,3.386925,0.617
8200,2,01-21,01,01-21,2,0.383,-3.608403,6.686021,0.383
8201,2,01-20,01,01-20,2,0.396,-2.939954,5.318785,0.396
8201,2,01-20,20,01-20,2,0.604,6.486597,-1.005082,0.604
8202,2,01-21,21,01-21,2,0.573,1.441904,1.927992,0.573
8202,2,01-21,01,01-21,2,0.427,-4.168153,7.718429,0.427
8203,2,01-20,01,01-20,2,0.383,-3.831085,6.593501,0.383
8203,2,01-20,20,01-20,2,0.617,7.078325,1.075242,0.617
8204,1,01,01,01,1,1,-1.160015,7.112208,1
8205,2,01-20,20,01-20,2,0.697,7.029008,-2.00404,0.697
8205,2,01-20,01,01-20,2,0.303,-6.095277,4.193123,0.303
8206,3,01-11-20,20,01-11-20,3,0.24,7.373199,2.223819,0.24
8206,3,01-11-20,11,01-11-20,3,0.61,1.064325,6.953246,0.61
8206,3,01-11-20,01,01-11-20,3,0.15,-2.595754,6.953246,0.15
8207,3,01-11-20,11,01-11-20,3,0.086,1.13908,6.217959,0.086
8207,3,01-11-20,01,01-11-20,3,0.387,-4.784372,6.217959,0.387
8207,3,01-11-20,20,01-11-20,3,0.527,6.709173,-0.017088,0.527
8208,2,01-20,01,01-20,2,0.229,-6.302746,5.030976,0.229
8208,2,01-20,20,01-20,2,0.771,5.837309,-1.406237,0.771
8209,1,20,20,20,1,1,8.187679,-1.767159,1
8210,3,01-10-20,20,01-10-20,3,0.582,6.686021,1.567868,0.582
8210,3,01-10-20,10,01-10-20,3,0.056,1.574178,1.56787,0.056
8210,3,01-10-20,01,01-10-20,3,0.362,-1.725809,6.73221,0.362
8211,3,01-10-20,10,01-10-20,3,0.067,-0.115174,1.293233,0.067
8211,3,01-10-20,20,01-10-20,3,0.159,5.311221,1.145237,0.159
8211,3,01-10-20,01,01-10-20,3,0.774,-5.263111,7.420857,0.774
8212,2,01-20,20,01-20,2,0.946,6.417519,-2.071059,0.946
8212,2,01-20,01,01-20,2,0.054,-1.664001,3.570885,0.054
8213,2,00-20,20,00-20,2,0.445,4.462069,-2.386694,0.445
8213,2,00-20,00,00-20,2,0.555,-1.097152,3.390483,0.555
8214,1,01,01,01,1,1,-1.587348,7.933377,1
8215,3,01-11-20,20,01-11-20,3,0.115,3.41764,1.579579,0.115
8215,3,01-11-20,11,01-11-20,3,0.379,0.823937,8.054443,0.379
8215,3,01-11-20,01,01-11-20,3,0.506,-4.117113,8.054443,0.506
8216,1,01,01,01,1,1,-6.258586,6.317429,1
8217,2,01-20,01,01-20,2,0.775,-5.892559,6.711426,0.775
8217,2,01-20,20,01-20,2,0.225,6.037487,0.233481,0.225
8218,2,01-20,20,01-20,2,0.112,4.10205,-1.626866,0.112
8218,2,01-20,01,01-20,2,0.888,-7.663653,3.783551,0.888
8219,2,01-20,20,01-20,2,0.264,6.362603,2.149694,0.264
8219,2,01-20,01,01-20,2,0.736,-6.234353,5.811211,0.736
8220,1,01,01,01,1,1,-5.899737,8.735622,1
8221,2,01-20,20,01-20,2,0.058,5.933613,3.49733,0.058
8221,2,01-20,01,01-20,2,0.942,-3.616035,8.917283,0.942
8222,2,01-20,20,01-20,2,0.513,7.681797,2.513824,0.513
8222,2,01-20,01,01-20,2,0.487,-3.754032,8.865247,0.487
8223,2,01-20,01,01-20,2,0.735,-6.032991,5.980604,0.735
8223,2,01-20,20,01-20,2,0.265,6.225432,1.031436,0.265
8224,2,01-20,20,01-20,2,0.957,7.721836,-0.579369,0.957
8224,2,01-20,01,01-20,2,0.043,-2.316331,5.703112,0.043
8225,2,01-20,20,01-20,2,0.367,5.663126,-0.553174,0.367
8225,2,01-20,01,01-20,2,0.633,-7.096964,4.613578,0.633
8226,2,00-20,20,00-20,2,0.348,5.980692,-3.028192,0.348
8226,2,00-20,00,00-20,2,0.652,-0.65509,0.795005,0.652
8227,3,01-11-20,01,01-11-20,3,0.511,-5.66309,8.713427,0.511
8227,3,01-11-20,20,01-11-20,3,0.045,5.80528,3.849392,0.045
8227,3,01-11-20,11,01-11-20,3,0.444,0.365079,8.713427,0.444
8228,2,01-20,20,01-20,2,0.641,7.111779,1.529202,0.641
8228,2,01-20,01,01-20,2,0.359,-1.731678,6.999433,0.359
8229,3,01-11-20,20,01-11-20,3,0.739,7.34394,1.096426,0.739
8229,3,01-11-20,01,01-11-20,3,0.123,-4.303831,4.720235,0.123
8229,3,01-11-20,11,01-11-20,3,0.138,2.120077,4.589229,0.138
8230,2,01-20,01,01-10-20,2,0.439,-4.058573,8.105994,0.439
8230,2,01-20,20,01-10-20,2,0.561,7.780315,2.210809,0.561
8231,2,01-21,21,01-21,2,0.666,1.970074,5.458141,0.666
8231,2,01-21,01,01-21,2,0.334,-4.35461,9.812779,0.334
8232,2,01-20,20,01-20,2,0.147,5.37339,0.465219,0.147
8232,2,01-20,01,01-20,2,0.853,-6.233483,6.667899,0.853
8233,2,01-20,20,01-10-20,2,0.692,6.228657,0.818811,0.692
8233,2,01-20,01,01-10-20,2,0.308,-1.733892,7.325562,0.308
8234,2,01-20,20,01-20,2,0.072,3.326506,1.848448,0.072
8234,2,01-20,01,01-20,2,0.928,-8.073598,7.731403,0.928
8235,2,01-20,20,01-20,2,0.467,7.014255,0.504437,0.467
8235,2,01-20,01,01-20,2,0.533,-4.749932,5.899906,0.533
8236,2,01-20,20,01-20,2,0.593,8.725955,3.051869,0.593
8236,2,01-20,01,01-20,2,0.407,-3.83618,9.173281,0.407
8237,2,01-20,20,01-10-20,2,0.196,5.616244,1.644343,0.196
8237,2,01-20,01,01-10-20,2,0.804,-4.018472,8.006734,0.804
8238,2,01-20,20,01-20,2,0.855,7.88152,-0.878752,0.855
8238,2,01-20,01,01-20,2,0.145,-3.398438,4.518439,0.145
8239,2,01-11,11,01-11,2,0.777,0.502192,7.010625,0.777
8239,2,01-11,01,01-11,2,0.223,-3.529679,7.010625,0.223
8240,3,01-11-20,11,01-11-20,3,0.025,1.088973,5.082171,0.025
8240,3,01-11-20,20,01-11-20,3,0.885,6.582555,-1.154697,0.885
8240,3,01-11-20,01,01-11-20,3,0.09,-5.293899,5.082756,0.09
8241,2,01-20,20,01-20,2,0.4,6.084474,1.939535,0.4
8241,2,01-20,01,01-20,2,0.6,-4.67477,6.623755,0.6
8242,3,01-10-20,10,01-10-20,3,0.506,1.178113,-1.209721,0.506
8242,3,01-10-20,20,01-10-20,3,0.433,7.403993,-1.209721,0.433
8242,3,01-10-20,01,01-10-20,3,0.061,-4.759305,4.844212,0.061
8243,2,01-20,01,01-20,2,0.437,-2.074692,6.94388,0.437
8243,2,01-20,20,01-20,2,0.563,7.463108,1.115243,0.563
8244,2,01-20,20,01-20,2,0.659,8.476572,2.653819,0.659
8244,2,01-20,01,01-20,2,0.341,-2.347047,8.071763,0.341
8245,2,01-20,01,01-20,2,0.674,-5.453887,6.945658,0.674
8245,2,01-20,20,01-20,2,0.326,6.78837,1.077069,0.326
8246,2,01-20,01,01-20,2,0.397,-3.282332,6.923463,0.397
8246,2,01-20,20,01-20,2,0.603,7.740656,0.938591,0.603
8247,2,01-20,20,01-20,2,0.271,6.355754,1.895037,0.271
8247,2,01-20,01,01-20,2,0.729,-3.648816,7.028773,0.729
8248,2,01-20,01,01-20,2,0.067,-1.85324,6.127138,0.067
8248,2,01-20,20,01-20,2,0.933,7.760465,-0.513695,0.933
