Phase,Count,Frequency
0033-0303-0323-0330-0333-3030-3301,1,1e-4
0033-0303-0323-0330-3030,1,1e-4
0033-0303-0323-3003-3030,1,1e-4
0033-0303-0323-3030,6,6e-4
0033-0303-0323-3030-3101,1,1e-4
0033-0303-0323-3030-3300,1,1e-4
0033-0303-0330-0333-3003-3030,1,1e-4
0033-0303-0330-0333-3030,7,7e-4
0033-0303-0330-0333-3030-3300,1,1e-4
0033-0303-0330-1030-3030,7,7e-4
0033-0303-0330-2030-3030,1,1e-4
0033-0303-0330-2330-3030,1,1e-4
0033-0303-0330-3002-3030,1,1e-4
0033-0303-0330-3003-3030,4,4e-4
0033-0303-0330-3003-3030-3300,1,1e-4
0033-0303-0330-3030,36,0.0036
0033-0303-0330-3030-3300,1,1e-4
0033-0303-0330-3030-3300-3330,1,1e-4
0033-0303-0330-3030-3301,1,1e-4
0033-0303-0331-0333-3030-3300,1,1e-4
0033-0303-0331-1033-3030-3300,1,1e-4
0033-0303-0331-3030,1,1e-4
0033-0303-0333,1,1e-4
0033-0303-0333-2033-3030,2,2e-4
0033-0303-0333-3003-3030,1,1e-4
0033-0303-0333-3030,7,7e-4
0033-0303-0333-3030-3300,1,1e-4
0033-0303-0333-3031,1,1e-4
0033-0303-0333-3031-3331,1,1e-4
0033-0303-0333-3033,1,1e-4
0033-0303-1030,2,2e-4
0033-0303-1030-3003-3030,1,1e-4
0033-0303-1030-3003-3030-3031-3033,1,1e-4
0033-0303-1030-3030,10,0.001
0033-0303-1030-3030-3103,1,1e-4
0033-0303-1030-3030-3300,2,2e-4
0033-0303-1031-3030,1,1e-4
0033-0303-1033-3030,2,2e-4
0033-0303-1033-3030-3032,1,1e-4
0033-0303-1033-3030-3033,1,1e-4
0033-0303-1033-3030-3300,1,1e-4
0033-0303-1103-3030,1,1e-4
0033-0303-1230-3003-3030,1,1e-4
0033-0303-1330-3003-3030-3203,1,1e-4
0033-0303-1330-3003-3030-3300,1,1e-4
0033-0303-2003-2032-3030,1,1e-4
0033-0303-2003-2033-3030,3,3e-4
0033-0303-2003-2033-3030-3300,1,1e-4
0033-0303-2003-3030,1,1e-4
0033-0303-2013-2033-3030,1,1e-4
0033-0303-2030,1,1e-4
0033-0303-2030-2110-3030,1,1e-4
0033-0303-2030-3030,3,3e-4
0033-0303-2033,1,1e-4
0033-0303-2033-3003-3030,1,1e-4
0033-0303-2033-3030,12,0.0012
0033-0303-2033-3030-3130,1,1e-4
0033-0303-2300-3030,1,1e-4
0033-0303-2330-3030,1,1e-4
0033-0303-3000-3003-3030,1,1e-4
0033-0303-3000-3030,5,5e-4
0033-0303-3001-3030,3,3e-4
0033-0303-3001-3030-3301,1,1e-4
0033-0303-3002-3030,4,4e-4
0033-0303-3003-3030,37,0.0037
0033-0303-3003-3030-3031-3033,1,1e-4
0033-0303-3003-3030-3032,1,1e-4
0033-0303-3003-3030-3033,6,6e-4
0033-0303-3003-3030-3103,1,1e-4
0033-0303-3003-3030-3200,1,1e-4
0033-0303-3003-3030-3300,2,2e-4
0033-0303-3003-3030-3303,1,1e-4
0033-0303-3003-3030-3310,1,1e-4
0033-0303-3003-3031,3,3e-4
0033-0303-3003-3031-3033,1,1e-4
0033-0303-3003-3032,2,2e-4
0033-0303-3003-3033,2,2e-4
0033-0303-3010-3030,4,4e-4
0033-0303-3010-3030-3300,1,1e-4
0033-0303-3013-3030,3,3e-4
0033-0303-3020-3031,1,1e-4
0033-0303-3030,435,0.0435
0033-0303-3030-3031,7,7e-4
0033-0303-3030-3032,3,3e-4
0033-0303-3030-3033,7,7e-4
0033-0303-3030-3033-3103,1,1e-4
0033-0303-3030-3033-3133,1,1e-4
0033-0303-3030-3033-3300,1,1e-4
0033-0303-3030-3100-3300,1,1e-4
0033-0303-3030-3130,1,1e-4
0033-0303-3030-3200,4,4e-4
0033-0303-3030-3203,2,2e-4
0033-0303-3030-3300,26,0.0026
0033-0303-3030-3300-3302,2,2e-4
0033-0303-3030-3300-3303,1,1e-4
0033-0303-3030-3302,1,1e-4
0033-0303-3030-3303,1,1e-4
0033-0303-3030-3320,1,1e-4
0033-0303-3030-3330,1,1e-4
0033-0303-3031,15,0.0015
0033-0303-3032,1,1e-4
0033-0303-3032-3132,1,1e-4
0033-0303-3033,2,2e-4
0033-0313,1,1e-4
0033-0313-0330-0331-3030,1,1e-4
0033-0313-0330-0333-2330-3030,1,1e-4
0033-0313-0330-3030,2,2e-4
0033-0313-1033-3030,1,1e-4
0033-0313-3030,6,6e-4
0033-0323-3030,1,1e-4
0033-0330-0333-3030,1,1e-4
0033-0333,1,1e-4
0033-0333-3033,1,1e-4
0033-3030,11,0.0011
0033-3030-3032,1,1e-4
0033-3030-3033,1,1e-4
0101-0103-0113-0130-0301-0303,1,1e-4
0101-0103-0301-0303-1101-1301-3030,1,1e-4
0103-0113-0303-3003-3013-3030,1,1e-4
0103-0123-0303-0330-3003-3030,1,1e-4
0103-0123-0303-3030,2,2e-4
0103-0300-0303-0330-3030,1,1e-4
0103-0300-0303-3000-3030,1,1e-4
0103-0300-0303-3003-3030,1,1e-4
0103-0300-0303-3030,3,3e-4
0103-0300-0303-3030-3300,1,1e-4
0103-0301-0303-3030,1,1e-4
0103-0303,2,2e-4
0103-0303-0330-2300-2330-3030-3103,1,1e-4
0103-0303-0330-3003-3030,1,1e-4
0103-0303-0330-3030,5,5e-4
0103-0303-1003-1013-3030,1,1e-4
0103-0303-1030-1031-3000-3030,1,1e-4
0103-0303-1030-3003-3030,2,2e-4
0103-0303-1033-3003-3030-3033,1,1e-4
0103-0303-1033-3030-3100,1,1e-4
0103-0303-1100-3030,1,1e-4
0103-0303-1103-3010-3030,1,1e-4
0103-0303-1301-3001-3030,1,1e-4
0103-0303-1313-3030,1,1e-4
0103-0303-2003-3030,2,2e-4
0103-0303-2103-3030,1,1e-4
0103-0303-2300-3030,1,1e-4
