parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
999,1,2020,2020,2020,1,1,7.07618,-2.26047,8.309436,-4.480676,1
1000,3,0121-0202-2020,0121,0121-0202-2020,3,0.03,-3.167551,-0.054858,5.834775,0.827331,0.03
1000,3,0121-0202-2020,2020,0121-0202-2020,3,0.44,6.001329,-5.655896,6.532159,-0.792849,0.44
1000,3,0121-0202-2020,0202,0121-0202-2020,3,0.53,-3.167551,6.143728,-0.96044,6.582303,0.53
1001,2,0022-2020,0022,0022-2020,2,0.64,0.102941,-0.580634,6.053277,0.05817,0.64
1001,2,0022-2020,2020,0022-2020,2,0.36,6.617359,-5.421501,7.188962,-5.388748,0.36
1002,2,0202-2020,2020,0202-2020,2,0.99,6.865864,-8.872373,7.88737,-2.695784,0.99
1002,2,0202-2020,0202,0202-2020,2,0.01,-5.615699,2.691444,-5.060756,6.097465,0.01
1003,3,0202-2020-2102,2020,0202-2020-2102,3,0.05,6.760402,-4.654266,3.418749,-3.85199,0.05
1003,3,0202-2020-2102,0202,0202-2020-2102,3,0.39,-1.894563,6.077742,-9.469149,7.84341,0.39
1003,3,0202-2020-2102,2102,0202-2020-2102,3,0.56,1.791123,0.678704,-9.469129,1.873713,0.56
1004,1,0202,0202,0202-2020,1,1,-7.070767,9.505765,-9.54707,6.460713,1
1005,1,0202,0202,0202-2020,1,1,-4.155479,9.298277,-1.698513,9.508861,1
1006,2,0202-2020,2020,0202-2011-2020,2,0.99,9.469328,-8.298319,6.20728,-5.573649,0.99
1006,2,0202-2020,0202,0202-2011-2020,2,0.01,-2.487777,4.087384,-6.370576,5.682528,0.01
1007,3,0202-2011-2020,2011,0202-2011-2020,3,0.01,4.431046,-5.037886,-0.646823,0.819506,0.01
1007,3,0202-2011-2020,0202,0202-2011-2020,3,0.94,-7.409966,7.595635,-6.602759,7.408648,0.94
1007,3,0202-2011-2020,2020,0202-2011-2020,3,0.05,4.431046,-5.037851,4.53095,-2.399642,0.05
1008,2,0202-2201,0202,0202-2201,2,0.28,-3.736894,9.689854,-6.813234,5.464415,0.28
1008,2,0202-2201,2201,0202-2201,2,0.72,0.591535,4.553654,-6.813234,0.427996,0.72
1009,3,0202-2002-2020,2020,0202-2002-2020,3,0.16,7.026751,-7.528899,4.383677,-1.23314,0.16
1009,3,0202-2002-2020,0202,0202-2002-2020,3,0.35,-4.28619,4.841492,-4.555316,7.98465,0.35
1009,3,0202-2002-2020,2002,0202-2002-2020,3,0.49,1.786148,-1.648492,-1.5362,4.393406,0.49
1010,2,0202-2020,0202,0202-2020,2,0.77,-4.369588,9.01333,-3.906308,8.441914,0.77
1010,2,0202-2020,2020,0202-2020,2,0.23,7.165589,-2.518998,7.852509,-2.734914,0.23
1011,2,0202-2020,2020,0202-2020,2,0.95,6.877707,-4.846456,7.122074,-6.707961,0.95
1011,2,0202-2020,0202,0202-2020,2,0.05,-5.788819,6.239771,-4.006887,5.961927,0.05
1012,3,0202-2001-2020,2001,0202-2001-2020,3,0.2,5.667652,-1.728925,1.313509,1.371054,0.2
1012,3,0202-2001-2020,0202,0202-2001-2020,3,0.69,-3.966153,3.964483,-2.011392,7.692797,0.69
1012,3,0202-2001-2020,2020,0202-2001-2020,3,0.11,5.76989,-7.633759,7.7675,-2.381787,0.11
1013,1,2120,2120,2120,1,1,5.267953,-1.48617,6.020906,-6.066472,1
1014,2,0221-2120,0221,2120,2,0.53,1.30701,1.627585,2.568435,1.288877,0.53
1014,2,0221-2120,2120,2120,2,0.47,2.251614,-0.401966,7.58328,-3.54872,0.47
1015,3,0122-0202-2020,2020,0122-0202-2020,3,0.09,4.996025,-2.840319,6.31589,-3.260498,0.09
1015,3,0122-0202-2020,0122,0122-0202-2020,3,0.3,-4.675179,-0.137456,3.791548,3.346024,0.3
1015,3,0122-0202-2020,0202,0122-0202-2020,3,0.61,-4.675179,6.200276,-2.348681,7.102219,0.61
1016,2,0202-2020,0202,0202-2020,2,0.24,-1.645489,6.01664,-4.536313,6.873119,0.24
1016,2,0202-2020,2020,0202-2020,2,0.76,7.447117,-6.512474,5.878986,-5.584286,0.76
1017,3,0202-1220-2020,1220,0202-1220-2020,3,0.4,1.348406,1.514456,2.78889,-8.251432,0.4
1017,3,0202-1220-2020,2020,0202-1220-2020,3,0.59,6.489673,-4.493457,8.430422,-8.251432,0.59
1017,3,0202-1220-2020,0202,0202-1220-2020,3,0.01,-4.490976,6.861195,-1.646364,3.343748,0.01
1018,2,0202-2020,2020,0202-2020,2,0.79,7.393406,-4.440465,8.697689,-3.012853,0.79
1018,2,0202-2020,0202,0202-2020,2,0.21,-4.910395,6.741257,-2.483995,6.813253,0.21
1019,1,1202,1202,1202,1,1,0.999705,7.283357,-6.764474,2.071902,1
1020,3,0202-2020-2102,2102,0202-2020-2101,3,0.3,0.122364,0.374305,-7.92359,2.036492,0.3
1020,3,0202-2020-2102,2020,0202-2020-2101,3,0.28,6.653399,-5.166038,4.806787,-5.51137,0.28
1020,3,0202-2020-2102,0202,0202-2020-2101,3,0.42,-4.699244,5.952734,-7.92359,5.917747,0.42
1021,2,0202-2021,2021,0202-2021,2,0.12,3.064226,-6.50062,3.545937,-3.438272,0.12
1021,2,0202-2021,0202,0202-2021,2,0.88,-2.742477,6.411686,-6.443215,9.005937,0.88
1022,3,0120-0202-2020,2020,0120-0202-2020,3,0.18,6.222975,-2.111324,5.929111,-8.329789,0.18
1022,3,0120-0202-2020,0120,0120-0202-2020,3,0.01,-0.378978,0.824971,5.928017,-1.986372,0.01
1022,3,0120-0202-2020,0202,0120-0202-2020,3,0.81,-6.365264,7.364236,-6.256692,4.323247,0.81
1023,4,0202-1120-1200-2020,1120,0202-1120-1200-2020,4,0.28,0.302553,0.555165,2.933758,-8.18084,0.28
1023,4,0202-1120-1200-2020,0202,0202-1120-1200-2020,4,0.01,-2.169753,6.996219,-8.079434,2.958846,0.01
