0.428,0.069	29.547,0.004
95.184,0.700	0.143,13.735	0.143,229.623
0.057,4.564	0.002,167.977
0.776,1.153	60.423,0.117	0.069,113.804
0.172,0.496	8.788,0.496	0.004,38.592
7.365,3.647	75.561,0.045	0.208,37.700
2.344,12.225	218.060,0.220	0.028,793.743
2.078,1.785	185.381,0.030	0.033,128.909
1.336,1.631	129.119,0.017	0.271,138.046
72.587,0.339	0.167,3.589	0.167,141.631
2.607,2.071	126.203,0.037	0.477,38.846
319.361,0.359	0.311,46.122
0.267,12.601	0.006,73.764
50.281,0.164	0.084,643.251
97.011,0.107	97.011,4.010	0.071,94.729
1.303,7.154	89.814,2.104	0.051,152.990
1.053,1.718	75.673,0.154	0.082,108.527
236.715,0.109	10.468,111.361	11.959,111.361
0.054,1.722	0.002,144.502
1.019,0.880	61.782,0.064	0.011,64.580
270.048,0.024
1.078,1.436	48.118,0.057	0.109,31.583
1.500,1.741	102.611,0.041	0.043,73.206
6.553,5.426	229.670,0.168	0.086,156.374
2.167,0.779	145.805,0.106	0.043,54.918
532.067,0.023
51.363,0.080	0.017,1.529	0.017,91.643
4.166,0.636	77.060,0.014	0.045,62.580
2.403,2.257	69.003,0.042	0.101,199.017
1.592,4.990	90.184,0.084	0.018,134.942
18.518,0.127	107.766,0.127	0.294,7.866	0.294,224.904
83.324,0.271	0.012,292.558
211.069,0.113	0.066,215.258
2.706,3.047	174.192,0.034	0.051,188.501
1.761,0.485	72.155,0.005	0.027,35.921
0.847,9.538	49.646,0.111	0.009,257.216
7.244,0.649	235.437,0.009	0.114,56.618
0.780,2.250	50.509,0.071	0.010,149.519
1.894,0.851	83.142,0.013	0.035,67.855
3.636,1.765	356.702,0.057	0.341,80.521
63.104,0.001
7.889,0.712	93.725,0.009	0.357,53.115
2.052,1.513	162.856,0.034	0.025,61.189
1.595,15.381	37.944,0.176	0.127,179.751
230.753,0.004
14.742,3.138	536.349,0.456	0.340,261.395
1.451,0.888	64.017,0.019	0.127,44.570
0.078,0.757	0.001,72.036
0.025,616.217
271.270,0.642	0.659,5.123	0.659,50.728
274.786,0.120	2.066,194.024
0.161,1.701	0.002,125.367
0.469,5.208	0.009,74.494
274.476,0.029	2.919,50.314
2.692,0.504	134.206,0.006	0.033,42.306
64.113,0.160	0.061,5.415	0.061,100.889
0.810,2.272	28.210,0.027	0.016,52.327
177.630,0.114	0.027,3.753	0.027,104.091
1.873,2.355	124.150,0.029	0.053,173.732
3.405,4.417	139.750,0.582	0.053,123.547
1.963,0.050	86.854,0.050	0.038,37.890
48.498,0.718	0.008,2.201	0.008,127.629
0.301,1.151	26.874,0.014	0.041,90.952
101.736,3.051	0.025,575.358
1.393,1.946	16.250,0.040	0.019,41.780
1.900,1.123	97.710,0.019	0.036,36.121
175.629,0.065	0.198,28.717
3.326,7.853	0.491,186.169
489.317,0.190	1.017,95.633
2.360,3.944	169.401,0.198	0.034,70.861
140.991,0.100	0.370,241.250
0.645,1.935	52.019,0.261	0.011,96.046
1.129,0.227	110.775,0.007	1.129,16.923
104.891,0.294	0.022,176.150
313.376,0.031	0.119,76.135	4.764,76.135
13.295,7.718	43.801,0.172	5.518,157.420
7.336,0.149	255.351,0.002
0.131,1.643	8.684,1.643	0.011,141.245
1.768,6.491	163.636,0.083	0.018,110.657
9.339,1.147	179.601,0.014	0.118,78.431
4.005,1.325	44.066,0.071	0.118,95.950
0.562,2.406	40.289,0.038
92.140,0.042	0.042,59.200
1.183,0.447	0.031,23.955
15.475,0.061	133.992,0.061	0.306,72.444
2.066,0.244	106.974,0.034	2.066,15.004
1.143,1.161	97.581,0.015	0.012,22.310
0.652,7.159	32.023,0.097	0.008,218.790
1.574,0.923	116.627,0.020	0.033,67.886
1.638,0.756	158.975,0.009	0.041,71.059
290.734,0.021	1.318,96.149
3.867,3.473	84.738,0.264	0.069,106.476
0.331,1.610	0.004,56.154
0.902,5.322	88.276,0.087	0.011,185.768
2.621,0.045	218.936,0.045	0.071,128.387
44.163,0.368	0.018,135.839
17.653,0.097	17.653,3.268	0.003,93.573
5.220,0.443	349.571,0.035	0.057,37.771
0.582,0.336	49.870,0.006
2.247,1.101	154.230,0.012	0.065,57.967
0.990,3.942	75.515,0.062	0.018,57.364
3.942,0.032	0.052,54.692
480.754,0.056	0.095,4.357	0.095,122.444
0.006,63.671
93.636,0.055	0.485,100.535
1.403,6.174	34.556,0.065	0.084,524.017
3.460,0.287	207.617,0.004	3.460,25.104
3.009,9.602	57.649,2.019	57.649,29.559	0.047,140.596
2.376,0.079	80.866,0.079	0.105,312.802
201.446,0.014	1.134,51.788
2.413,2.869	237.218,0.029	0.057,89.482
0.973,0.408	32.435,0.004	0.102,38.893
30.677,2.779	0.481,363.882
12.758,8.055	284.368,0.192	0.378,402.927
54.694,1.472	54.694,16.303	0.007,265.559
1.059,1.395	75.878,0.030	0.021,62.566
2.536,3.300	80.200,0.099	0.184,131.264
1.762,2.794	48.072,0.210	0.022,118.884
1.116,0.166	73.829,0.005	1.116,10.964
2.856,0.654	72.722,0.008	0.032,45.301
0.627,2.958	62.024,0.046	0.063,141.739
0.116,0.366	8.770,0.366	0.116,30.884	8.770,30.884
1.090,3.178	68.715,0.048	0.027,279.895
754.947,0.022
7.183,0.072	524.225,0.072	0.083,111.919
