196.812,0.053	1.945,277.274
3.390,0.126	140.269,0.126	0.061,227.389
32.224,0.491	32.224,10.724	0.037,677.212
0.254,1.112	23.559,1.112	0.004,29.305
128.043,9.435	0.196,294.055
2.044,0.761	179.980,0.010	0.041,47.179
4.738,1.632	173.100,0.017	0.089,153.621
5.141,0.042	59.995,0.042	0.077,67.488
0.545,8.209	34.809,0.308	0.009,77.628
2.360,1.315	33.115,0.024	0.025,86.756
1.167,2.221	110.416,0.033	0.014,137.027
7.917,1.354	703.293,0.021	0.348,99.279
1.479,0.032	144.331,0.003
1.235,2.395	88.727,0.043	0.086,139.504	6.197,139.504
2.282,1.008	89.600,0.013	0.050,83.126
100.895,0.111	0.027,3.587	0.027,89.569
156.565,0.570	0.075,679.443
1.289,1.231	70.147,0.021	0.029,81.838
0.797,0.073	69.078,0.001
3.724,3.239	199.759,0.151	0.234,234.674
2.101,2.144	118.823,0.031	0.033,132.510
1.351,2.858	89.874,0.035	0.023,99.030
7.026,1.754	173.634,0.147	173.634,12.597	0.137,150.599
12.334,0.582	27.793,0.582
2.111,0.895	38.825,0.011	0.023,83.124
2.473,9.507	102.037,0.249	0.040,311.707
3.281,4.283	47.223,0.203	0.106,119.253
1.644,2.790	154.989,0.109	0.039,204.629	3.705,204.629
114.917,0.046	0.153,3.728	0.153,151.797
11.058,1.245	111.057,0.031	0.456,40.354
82.451,0.231	0.034,91.465
0.793,0.303	73.174,0.026	0.012,24.446
128.555,0.577	0.052,182.660
9.121,2.796	153.843,0.038	0.141,66.318
3.554,1.906	51.491,0.035	0.097,86.548
127.888,0.001
581.313,0.506
0.822,2.086	47.083,0.111	0.011,177.883
547.324,0.173	0.261,72.645
2.325,4.089	168.271,0.300
2.076,1.121	53.024,0.012	0.036,28.888
4.123,2.747	79.402,0.035	0.235,77.523
18.910,4.480	114.170,0.059	0.205,240.835
0.473,0.528	28.719,0.528	0.007,43.133
9.830,0.048	135.724,0.048	0.224,52.872
0.603,0.080	26.464,0.080	0.010,2.291	0.010,109.981
2.077,2.821	104.279,0.046	0.130,257.521
194.188,0.035
5.693,0.049	150.445,0.001
7.894,3.174	543.141,0.062	0.858,93.859
75.445,0.026	0.105,94.032
1.594,0.402	143.165,0.007	0.132,31.093
0.322,1.353	31.962,0.016	0.005,70.432
112.860,0.246	0.095,64.520	4.640,64.520
0.302,0.933	19.558,0.933	0.006,69.367
138.623,0.055	138.623,1.800	0.056,136.850
3.364,1.591	233.067,0.023	0.037,143.384
5.743,1.387	164.928,0.036	0.215,108.351
0.817,2.434	67.647,0.185	0.023,112.862
141.601,0.080	0.060,192.611	2.793,192.611
1.851,1.274	168.707,0.024	0.692,105.429
471.644,0.417	95.208,37.981
2.056,19.187	152.667,0.554	0.024,299.441
142.100,0.269	142.100,5.503	1.717,483.347
2.582,0.184	146.974,0.184	0.116,57.394
3.042,1.782	126.608,0.097	0.191,43.077
2.329,1.780	45.806,0.031	0.044,57.316
1.556,2.134	102.148,0.070	0.082,106.474
1.806,0.794	52.087,0.014	1.571,69.098
154.119,0.018
8.389,4.571	150.224,0.059	0.107,97.580
3.013,1.067	214.225,0.020	0.077,51.052
4.353,1.534	128.387,0.018	0.072,79.654
9.804,0.223	519.563,0.007
0.672,0.720	41.896,0.009	0.007,63.884
0.986,10.370	58.739,0.197	0.022,64.930
2.666,0.387	29.698,0.387	2.666,30.329	29.698,30.329
0.311,2.678	26.711,0.764	0.017,107.789
3.652,0.199	26.643,0.002	3.652,7.946
1.558,1.780	53.321,0.043	1.080,45.690
38.559,0.218	38.559,9.614	0.146,171.490	5.440,171.490
2.917,0.356	64.558,0.006	2.917,29.137
1.750,1.300	92.704,0.014	0.107,119.703
5.633,1.010	489.866,0.050	0.064,94.983
