60.021,0.060	0.361,40.721	5.260,40.721
1.786,1.591	169.421,0.018	0.085,131.259
81.389,0.174	0.017,17.098	0.017,89.720
129.011,0.129	0.054,6.031	0.054,307.763
113.661,0.010	0.035,36.393
96.773,0.334	96.773,9.388	0.279,226.502
750.039,0.051
6.514,2.459	121.533,0.423	0.089,207.251
114.056,0.011
0.043,2.248	0.002,186.460
128.576,0.802	128.576,19.407	0.077,362.933
5.615,0.135	223.864,0.002	5.615,11.424
6.538,1.318	77.231,0.074	0.067,59.459
93.844,4.523	0.032,122.880
2.702,5.603	239.942,0.554	0.487,358.662	43.232,35.464
358.532,0.024	1.323,121.372	8.576,121.372
0.518,1.792	5.512,0.018	0.060,121.239
121.913,0.114	0.123,200.266	7.017,200.266
2.334,0.067	223.740,0.001	2.334,5.191
1.520,1.298	106.936,0.018	0.148,94.169
1.465,1.062	71.896,0.013	0.017,50.816
1.311,1.585	52.315,0.023	0.047,97.802
7.176,4.394	88.797,0.045	0.258,237.818
57.306,0.094	0.063,3.344	0.063,99.219
109.401,0.360	109.401,27.222	0.048,397.460	1.693,397.460
2.012,1.050	70.168,0.297	70.168,11.527	0.025,40.671
5.228,18.580	82.817,1.265	0.060,386.688
5.930,1.258	207.286,0.024	0.631,40.527
0.493,0.696	37.447,0.008	0.007,60.814
5.089,1.529	99.762,0.019	0.073,62.804
3.556,0.070	280.868,0.002	0.059,6.044
194.573,0.002
4.443,4.154	161.579,0.090	0.120,108.070
0.433,4.051	34.989,0.050	0.005,110.061
0.004,2.217	0.004,199.180
0.088,1.130	0.001,99.544
2.014,7.881	182.075,0.115	0.052,261.020
389.861,0.069	0.130,131.678
0.760,2.497	65.701,0.031	0.019,228.707
0.855,6.494	62.779,0.150	0.011,107.377
253.918,0.019	0.431,124.434
75.244,1.186	75.244,11.427	0.015,350.133
7.412,3.588	109.103,0.090	0.530,108.324
0.275,1.007	26.699,1.007	0.004,95.558
6.567,0.028	130.139,0.028	0.124,105.071
3.116,3.873	82.421,0.045	0.058,256.752
1.192,3.287	0.014,79.168
1.890,5.330	93.535,0.130	0.062,73.176
2.216,0.721	62.041,0.016	0.146,40.601
1.778,12.811	169.294,0.229	0.059,190.940
1.582,2.597	123.457,0.035	0.085,85.088
3.993,0.031	210.390,0.031	0.466,106.181
2.151,1.401	69.496,0.025	0.037,36.955
0.925,3.672	43.849,0.122	0.015,102.251
4.351,4.177	86.891,0.160	0.880,55.207
1.684,3.156	87.830,0.035	0.089,188.191
1.093,1.176	76.413,0.016	0.204,111.757
280.348,0.023	7.904,61.476	22.958,61.476
336.298,0.188	0.081,275.763	5.899,12.464
0.708,4.000	38.933,0.186	0.070,229.800
0.212,1.046	0.212,23.828
0.149,2.239	0.002,58.807
0.102,1.733	9.915,1.733	0.001,110.740
3.314,3.726	191.538,0.123	0.182,76.345
3.272,0.403	195.900,0.005	0.036,32.660
0.946,21.617	93.725,0.459	0.010,406.439
5.498,2.098	441.837,0.049	0.111,159.825
133.589,0.034	0.031,97.544	2.694,97.544
110.784,0.200	0.030,16.181	0.030,89.016
2.130,2.206	107.287,0.035	0.033,201.753
0.072,0.989
4.921,1.888	346.796,0.039	346.796,3.824	0.241,184.773
0.878,1.750	71.103,0.028	0.015,106.821
0.757,0.366	72.741,0.104	0.757,8.675
2.040,0.266	80.990,0.008	0.050,22.766
