parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
8364,2,0202-2020,0202,0202-2020,2,0.855,-7.509647,6.220766,-5.212857,6.606768,0.855
8365,2,0202-2020,0202,0202-2020,2,0.094,-0.668333,8.311877,-3.650044,6.957353,0.094
8365,2,0202-2020,2020,0202-2020,2,0.906,7.788881,-3.426296,8.502314,-5.21736,0.906
8366,3,0202-1220-2020,0202,0202-1220-2020,3,0.678,-5.150411,8.482195,-3.381094,7.009866,0.678
8366,3,0202-1220-2020,1220,0202-1220-2020,3,0.189,0.961734,3.022767,3.110767,-4.890506,0.189
8366,3,0202-1220-2020,2020,0202-1220-2020,3,0.133,6.689733,-2.568613,6.020699,-4.949679,0.133
8367,2,0202-2020,2020,0202-2020,2,0.866,7.253989,-5.982834,7.075693,-6.714023,0.866
8367,2,0202-2020,0202,0202-2020,2,0.134,-3.189098,6.780213,-3.807997,5.792992,0.134
8368,3,0202-0221-2020,0202,0202-0221-2020,3,0.281,-4.457299,5.991575,-3.123923,7.192656,0.281
8368,3,0202-0221-2020,0221,0202-0221-2020,3,0.291,-1.12723,-0.641621,1.89629,0.715673,0.291
8368,3,0202-0221-2020,2020,0202-0221-2020,3,0.428,4.432082,-7.007119,7.622767,-5.862815,0.428
8369,1,2020,2020,2020,1,1,6.214814,-4.607237,7.486535,-4.400056,1
8370,3,0202-2020-2110,2110,0202-2020-2110,3,0.685,7.616788,0.746911,0.459021,-3.555402,0.685
8370,3,0202-2020-2110,2020,0202-2020-2110,3,0.217,7.616788,-4.469385,6.191593,-6.453671,0.217
8370,3,0202-2020-2110,0202,0202-2020-2110,3,0.098,-3.146594,6.989928,-5.467135,3.996218,0.098
8371,2,0202-2020,2020,0202-2020,2,0.807,7.474369,-4.912504,6.202924,-4.079141,0.807
8371,2,0202-2020,0202,0202-2020,2,0.193,-3.03817,6.291518,-4.943943,4.59405,0.193
8372,4,0202-1210-2020-2110,0202,0202-2020-2110,4,0.172,-5.07219,7.910223,-5.868684,5.024476,0.172
8372,4,0202-1210-2020-2110,2110,0202-2020-2110,4,0.179,6.900188,1.416999,0.406682,-7.402401,0.179
8372,4,0202-1210-2020-2110,1210,0202-2020-2110,4,0.419,1.011051,5.902296,0.406682,-0.791627,0.419
8372,4,0202-1210-2020-2110,2020,0202-2020-2110,4,0.23,6.900194,-4.378048,6.733892,-7.402401,0.23
8373,2,0202-2020,2020,0202-2020,2,0.957,7.760067,-6.995283,7.015202,-5.808165,0.957
8373,2,0202-2020,0202,0202-2020,2,0.043,-3.87232,3.871386,-2.464295,6.839938,0.043
8374,2,0202-2020,0202,0202-2020,2,0.625,-5.078639,5.813558,-4.041859,8.544473,0.625
8374,2,0202-2020,2020,0202-2020,2,0.375,7.059869,-3.834329,5.863234,-0.430483,0.375
8375,2,0202-2121,2121,0202-2121,2,0.574,1.673879,-2.622105,2.732177,-2.028414,0.574
8375,2,0202-2121,0202,0202-2121,2,0.426,-3.908981,6.512865,-1.536004,4.610245,0.426
8376,3,0202-1220-2020,0202,0202-1220-2020,3,0.103,-4.328951,7.142058,-0.387732,2.159308,0.103
8376,3,0202-1220-2020,2020,0202-1220-2020,3,0.401,5.992987,-2.555242,5.792835,-10.207122,0.401
8376,3,0202-1220-2020,1220,0202-1220-2020,3,0.496,1.319454,1.746878,3.074837,-5.374515,0.496
8377,3,0202-1012-2020,1012,0202-1012-2020,3,0.035,0.215352,-4.21782,0.089934,5.942489,0.035
8377,3,0202-1012-2020,2020,0202-1012-2020,3,0.481,6.771358,-4.225655,5.506555,-6.264449,0.481
8377,3,0202-1012-2020,0202,0202-1012-2020,3,0.484,-6.412719,7.3697,-6.4042,5.942497,0.484
8378,2,0202-2020,2020,0202-2020,2,0.045,6.303319,-0.953084,5.826632,-3.892806,0.045
8378,2,0202-2020,0202,0202-2020,2,0.955,-4.003083,8.019957,-2.692449,6.696138,0.955
8379,1,2020,2020,2020,1,1,7.975344,-12.115939,5.773837,-2.417425,1
8380,2,0202-2020,0202,0202-2020,2,0.972,-6.432864,5.491299,-0.314384,5.682045,0.972
8380,2,0202-2020,2020,0202-2020,2,0.028,5.463733,-6.666076,8.67447,-0.146725,0.028
8381,1,2020,2020,2020,1,1,6.747026,-1.410985,6.739027,-1.78571,1
8382,1,2020,2020,2020,1,1,5.632602,-5.604485,8.031662,-3.595901,1
8383,2,0202-2020,0202,0202-2020,2,0.991,-5.843472,4.325949,-6.797387,6.044443,0.991
8383,2,0202-2020,2020,0202-2020,2,0.009,3.003549,-7.084803,5.08189,-0.229421,0.009
8384,3,0202-2002-2020,2020,0202-2002-2020,3,0.392,5.997304,-6.285059,6.674341,-2.299253,0.392
8384,3,0202-2002-2020,2002,0202-2002-2020,3,0.409,0.505407,0.281639,0.64112,1.931066,0.409
8384,3,0202-2002-2020,0202,0202-2002-2020,3,0.199,-4.065541,6.341063,-5.403382,6.403752,0.199
8385,3,0202-2020-2201,2201,0202-2020-2201,3,0.212,5.756662,2.744306,-3.263909,0.470589,0.212
8385,3,0202-2020-2201,0202,0202-2020-2201,3,0.062,0.431491,6.510072,-3.263909,6.949217,0.062
8385,3,0202-2020-2201,2020,0202-2020-2201,3,0.726,9.122045,-3.407547,8.245315,-2.92793,0.726
8386,2,0202-2020,0202,0202-2020,2,0.936,-5.783057,6.664584,-5.517682,7.037828,0.936
8386,2,0202-2020,2020,0202-2020,2,0.064,6.25728,-0.553924,7.106038,-3.68494,0.064
8387,2,0202-2020,2020,0202-2020,2,0.145,5.585555,-5.167256,6.219723,-2.270507,0.145
8387,2,0202-2020,0202,0202-2020,2,0.855,-2.022561,7.185569,-6.798418,7.583105,0.855
8388,4,0202-0211-1210-2020,1210,0202-0211-1210-2020,4,0.369,1.258284,8.029581,0.107826,-4.987172,0.369
8388,4,0202-0211-1210-2020,0202,0202-0211-1210-2020,4,0.296,-4.934213,8.029581,-4.917016,6.74116,0.296
8388,4,0202-0211-1210-2020,0211,0202-0211-1210-2020,4,0.208,-4.934213,8.029581,0.107826,1.117148,0.208
8388,4,0202-0211-1210-2020,2020,0202-0211-1210-2020,4,0.127,7.597959,-3.228812,5.334798,-4.987176,0.127
8389,1,2020,2020,2020,1,1,8.006187,-3.429337,5.780221,-7.00707,1
8390,1,0202,0202,0202,1,1,-7.330456,6.150069,-5.285823,4.594122,1
8391,2,0202-2020,2020,0202-2020,2,0.149,6.970124,-5.579239,6.610505,-2.307794,0.149
8391,2,0202-2020,0202,0202-2020,2,0.851,-5.188831,7.153042,-5.258533,6.361366,0.851
8392,2,0202-2020,2020,0202-2020,2,0.051,5.390234,-3.90125,7.619604,-2.596158,0.051
8392,2,0202-2020,0202,0202-2020,2,0.949,-6.523364,5.708369,-5.30751,7.711185,0.949
8393,3,0022-0202-2020,0022,0022-0202-2020,3,0.393,0.101911,-0.069479,0.658569,1.699989,0.393
8393,3,0022-0202-2020,0202,0022-0202-2020,3,0.18,-4.848554,3.258739,-4.953599,7.391478,0.18
8393,3,0022-0202-2020,2020,0022-0202-2020,3,0.427,5.556273,-6.498996,7.26498,-4.477341,0.427
8394,2,0202-2020,2020,0202-2020,2,0.005,5.648006,-1.828601,2.609366,-4.912556,0.005
8394,2,0202-2020,0202,0202-2020,2,0.995,-6.82647,7.293564,-5.398213,7.575636,0.995
8395,1,0202,0202,0202,1,1,-3.395469,7.466086,-5.940676,8.279049,1
8396,3,0202-2020-2201,2020,0202-2020-2201,3,0.885,6.97193,-3.831997,8.766258,-4.340263,0.885
8396,3,0202-2020-2201,0202,0202-2020-2201,3,0.082,-0.713734,6.299564,-0.217912,6.777462,0.082
8396,3,0202-2020-2201,2201,0202-2020-2201,3,0.033,5.576647,2.076715,-0.217912,1.442639,0.033
8397,2,0201-2020,0201,0201-2020,2,0.108,-8.631977,3.82196,0.647228,0.612101,0.108
8397,2,0201-2020,2020,0201-2020,2,0.892,3.826738,-7.615775,7.042707,-11.006661,0.892
8398,3,0202-0220-2020,0202,0202-0220-2020,3,0.087,-2.676643,8.30234,-0.663492,3.351203,0.087
8398,3,0202-0220-2020,2020,0202-0220-2020,3,0.236,7.294198,-3.396781,7.157114,-7.482933,0.236
8398,3,0202-0220-2020,0220,0202-0220-2020,3,0.677,1.326578,1.767554,3.893352,-1.48516,0.677
8399,2,0202-2020,2020,0202-2020,2,0.833,6.207387,-4.940508,7.639288,-5.166071,0.833
8399,2,0202-2020,0202,0202-2020,2,0.167,-4.100779,6.866838,-2.056212,5.510664,0.167
8400,2,0202-2020,0202,0202-2020,2,0.866,-6.539361,6.248923,-6.680092,8.380615,0.866
8400,2,0202-2020,2020,0202-2020,2,0.134,6.151096,-5.107327,6.193651,-3.131382,0.134
8401,3,0202-1022-2020,2020,0202-1022-2020,3,0.197,5.907277,-9.470502,7.715336,-4.992969,0.197
8401,3,0202-1022-2020,0202,0202-1022-2020,3,0.057,-5.001233,3.145599,-1.572396,7.719793,0.057
8401,3,0202-1022-2020,1022,0202-1022-2020,3,0.746,-0.28111,-4.481565,2.077489,1.538727,0.746
8402,1,2020,2020,2020,1,1,8.006118,-7.162103,6.549877,-2.508647,1
8403,1,0202,0202,0202,1,1,-3.961967,4.851775,-6.131486,7.684659,1
8404,3,0202-1102-2020,0202,0202-1102-2020,3,0.47,-6.397657,6.534677,-5.763653,8.16571,0.47
8404,3,0202-1102-2020,2020,0202-1102-2020,3,0.142,5.96785,-5.219225,6.196252,-3.022266,0.142
8404,3,0202-1102-2020,1102,0202-1102-2020,3,0.388,0.232418,0.153245,-4.012351,8.16571,0.388
8405,2,0202-2020,0202,0202-2020,2,0.013,-3.704128,6.394309,-4.94575,2.496673,0.013
8405,2,0202-2020,2020,0202-2020,2,0.987,8.402085,-6.116388,7.354591,-7.064494,0.987
