parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
88,4,0111-0113-0301-0303,0113,0211-0213-0401-0403,4,0.25,0.932,0.31,21.953,202.842,0.25
89,1,1010,1010,0403-1010-1013-1203,1,0.6666666666666666,52.55,0.004,526.528,0.749,0.6666666666666666
90,1,1010,1010,1010,1,1,135.301,0,580.897,0.69,1
91,2,0303-1003,0303,0300-0303-1010,2,0.5,1.191,242.03,0.038,198.381,0.5
91,2,0303-1003,1003,0300-0303-1010,2,0.6666666666666666,42.712,0.126,2.047,198.381,0.6666666666666666
92,1,0303,0303,0403,1,0.25,0.174,1691.357,0.035,269.074,0.25
93,2,0010-0013,0010,0010-0013,2,0.2,31.283,0,155.732,12.27,0.2
93,2,0010-0013,0013,0010-0013,2,0.16666666666666666,31.283,0.068,2.546,544.861,0.16666666666666666
94,1,0303,0303,0403-1010-1103,1,3,9.113,811.29,0.018,237.891,3
95,2,0310-1010,0310,0310-0403-1010-1013,2,0.5,4.658,65.46,1.218,0.956,0.5
95,2,0310-1010,1010,0310-0403-1010-1013,2,1,68.904,0.004,89.234,0.956,1
96,2,0301-1011,0301,0403-1101,2,0.25,0.267,15.581,3.489,3.626,0.25
96,2,0301-1011,1011,0403-1101,2,0.2,20.221,0,10.893,3.626,0.2
97,3,0303-1003-1010,1003,0403-1010-1103,3,0.5,170.756,0.356,1.091,160.073,0.5
97,3,0303-1003-1010,1010,0403-1010-1103,3,1,170.756,0,80.779,5.186,1
97,3,0303-1003-1010,0303,0403-1010-1103,3,0.16666666666666666,2.139,1224.14,0.821,160.073,0.16666666666666666
98,2,1010-1013,1013,1010-1013,2,0.3333333333333333,74.802,0,4.365,88.36,0.3333333333333333
98,2,1010-1013,1010,1010-1013,2,0.25,74.802,0,343.351,1.292,0.25
99,1,0303,0303,0403,1,0.2,5.745,1082.913,0.134,62.417,0.2
101,1,0010,0010,0010-0300,1,0.3333333333333333,13.971,0.107,6.717,0.349,0.3333333333333333
102,3,0303-1010-1013,0303,0213-0403-1010-1013,3,1,6.435,493.544,0.067,258.174,1
102,3,0303-1010-1013,1013,0213-0403-1010-1013,3,0.6666666666666666,90.698,0.003,1.81,258.174,0.6666666666666666
102,3,0303-1010-1013,1010,0213-0403-1010-1013,3,0.5,90.698,0,152.736,4.213,0.5
103,1,1010,1010,1010-1012,1,0.5,278.836,0,81.491,0.989,0.5
104,3,0301-0303-1001,0301,0301-0403-1101,3,0.2,0.615,98.922,0.087,22.197,0.2
104,3,0301-0303-1001,0303,0301-0403-1101,3,0.16666666666666666,0.615,2740.509,0.087,415.048,0.16666666666666666
104,3,0301-0303-1001,1001,0301-0403-1101,3,1,38.655,0.681,4.168,22.197,1
105,3,0303-1010-1013,0303,0403-1010-1013-1203,3,0.5,0.377,1382.748,0.369,122.303,0.5
105,3,0303-1010-1013,1010,0403-1010-1013-1203,3,0.3333333333333333,27.925,0.001,114.141,6.18,0.3333333333333333
105,3,0303-1010-1013,1013,0403-1010-1013-1203,3,0.5,27.925,0.057,3.262,122.303,0.5
106,3,0303-1010-1013,0303,0403-1010-1013,3,0.2,0.528,1068.116,0.202,123.754,0.2
106,3,0303-1010-1013,1013,0403-1010-1013,3,1,44.646,0.089,11.063,123.754,1
106,3,0303-1010-1013,1010,0403-1010-1013,3,0.16666666666666666,44.646,0.002,161.636,2.86,0.16666666666666666
107,1,1010,1010,1010-1011,1,1,302.155,0,68.339,0.547,1
109,1,0010,0010,0010-0200,1,0.6666666666666666,8.323,0.001,144.009,0.11,0.6666666666666666
110,2,0303-1013,1013,0403-1010-1013,2,0.4,58.422,0.012,6.348,113.334,0.4
110,2,0303-1013,0303,0403-1010-1013,2,0.25,1.421,2652.352,0.069,113.334,0.25
111,1,0303,0303,0403,1,0.16666666666666666,1.907,1028.47,0.041,240.48,0.16666666666666666
112,2,0300-0303,0303,0400-0403,2,0.5,0.072,2500.341,0.051,52.483,0.5
112,2,0300-0303,0300,0400-0403,2,1,0.072,34.844,3.522,0.578,1
113,2,0010-0303,0303,0010-0403,2,0.3333333333333333,0.982,698.243,0.431,117.976,0.3333333333333333
113,2,0010-0303,0010,0010-0403,2,0.25,42.893,0.003,48.399,1.222,0.25
114,2,1003-1010,1003,1010-1303,2,0.16666666666666666,85.526,0.087,0.054,109.005,0.16666666666666666
114,2,1003-1010,1010,1010-1303,2,0.2,85.526,0,4.077,4.32,0.2
115,1,1010,1010,0110-1010,1,2,64.02,0,169.987,3.579,2
116,1,1010,1010,1010,1,0.5,8.109,0.001,61.921,0.461,0.5
117,1,1010,1010,1010,1,0.3333333333333333,285.691,0,43.344,1.668,0.3333333333333333
118,2,0303-1010,0303,0300-0403-1010,2,0.25,15.928,1390.632,0.297,75.262,0.25
118,2,0303-1010,1010,0300-0403-1010,2,0.4,261.121,0.001,243.958,0.778,0.4
119,2,0303-1010,1010,0403-1010-1103,2,1,32.585,0.002,182.724,4.033,1
119,2,0303-1010,0303,0403-1010-1103,2,0.3333333333333333,0.688,1098.591,0.11,140.65,0.3333333333333333
120,3,0303-1010-1013,1010,0403-1010-1013-1203,3,0.3333333333333333,257.713,0,82.853,3.027,0.3333333333333333
120,3,0303-1010-1013,1013,0403-1010-1013-1203,3,0.5,257.713,0.025,1.53,205.658,0.5
120,3,0303-1010-1013,0303,0403-1010-1013-1203,3,0.5,6.667,803.749,0.017,205.658,0.5
121,1,0010,0010,0110,1,0.2,6.5,0.044,43.766,0.032,0.2
122,2,1010-1013,1013,1010-1113,2,1,162.151,0.013,40.382,76.869,1
122,2,1010-1013,1010,1010-1113,2,0.16666666666666666,162.151,0.001,458.643,0.806,0.16666666666666666
123,3,0303-1003-1010,1003,0403-1010-1103,3,0.25,78.213,0.206,0.438,134.603,0.25
123,3,0303-1003-1010,0303,0403-1010-1103,3,0.5,3.232,637.608,0.006,134.603,0.5
123,3,0303-1003-1010,1010,0403-1010-1103,3,0.3333333333333333,78.213,0,33.077,2.85,0.3333333333333333
124,2,1010-1013,1013,1010-1013,2,0.16666666666666666,38.544,0.001,27.3,76.701,0.16666666666666666
124,2,1010-1013,1010,1010-1013,2,0.2,38.544,0,341.507,2.164,0.2
125,3,0303-1003-1010,1003,0403-1010-1103,3,0.5,119.304,0.96,0.322,139.575,0.5
125,3,0303-1003-1010,1010,0403-1010-1103,3,0.3333333333333333,119.98,0.001,24.237,3.131,0.3333333333333333
125,3,0303-1003-1010,0303,0403-1010-1103,3,1,1.335,2564.189,0.005,139.575,1
126,1,0303,0303,0403,1,0.25,2.286,1175.791,0.01,116.356,0.25
127,3,0303-1010-1013,0303,0403-1010-1113,3,0.2,33.723,960.836,0.336,65.535,0.2
127,3,0303-1010-1013,1013,0403-1010-1113,3,1,309.533,0.049,16.074,65.535,1
127,3,0303-1010-1013,1010,0403-1010-1113,3,0.16666666666666666,309.533,0.001,108.873,0.99,0.16666666666666666
128,1,0303,0303,0403-1103,1,1,2.294,365.09,0.263,81.934,1
129,2,0303-1010,1010,0300-0403-1010,2,0.5,48.571,0.001,21.893,1.717,0.5
129,2,0303-1010,0303,0300-0403-1010,2,0.3333333333333333,1.398,760.89,0.006,146.109,0.3333333333333333
130,2,0303-1010,0303,0300-0403-1010,2,0.2,6.133,2106.933,0.096,237.764,0.2
130,2,0303-1010,1010,0300-0403-1010,2,0.3333333333333333,305.175,0,45.115,2.757,0.3333333333333333
131,2,1010-1303,1010,1010-1300-1303,2,1,39.71,0.006,6.266,1.165,1
131,2,1010-1303,1303,1010-1300-1303,2,1,6.822,54.811,0.008,68.106,1
132,2,0303-1013,0303,0402-0403-1112-1113,2,0.6666666666666666,0.603,3147.998,0.143,160.845,0.6666666666666666
132,2,0303-1013,1013,0402-0403-1112-1113,2,0.5,55.198,0.264,7.133,160.845,0.5
133,2,1010-1013,1010,0303-1010,2,0.2,103.225,0.001,460.169,1.949,0.2
133,2,1010-1013,1013,0303-1010,2,0.16666666666666666,103.225,0.022,5.04,100.06,0.16666666666666666
134,3,0303-1010-1013,1010,0403-1010-1113,3,0.5,83.859,0.003,163.541,1.191,0.5
134,3,0303-1010-1013,0303,0403-1010-1113,3,1,4.558,1936.761,0.033,113.127,1
134,3,0303-1010-1013,1013,0403-1010-1113,3,0.3333333333333333,83.859,0.117,1.975,113.127,0.3333333333333333
135,2,1010-1012,1010,0302-1010-1012,2,0.25,117.605,0,302.337,5.031,0.25
135,2,1010-1012,1012,0302-1010-1012,2,0.4,117.605,0.003,17.013,53.946,0.4
136,1,1103,1103,1010-1100-1203,1,0.5,107.787,0.63,0.047,206.296,0.5
137,1,1010,1010,1010-1100,1,2,289.953,0,85.03,1.24,2
138,2,0303-1010,0303,0300-0403-1010,2,0.5,1.305,546.803,0.019,328.561,0.5
138,2,0303-1010,1010,0300-0403-1010,2,0.6666666666666666,73.513,0,125.303,4.657,0.6666666666666666
139,1,1010,1010,0210-1010,1,0.5,51.47,0.014,344.549,1.018,0.5
140,2,1010-1013,1010,1010-1013,2,0.2,88.276,0,119.79,1.273,0.2
140,2,1010-1013,1013,1010-1013,2,0.16666666666666666,88.276,0.005,36.83,118.635,0.16666666666666666
141,1,0303,0303,0300-0403-1010,1,3,2.081,181.093,0.009,420.738,3
142,2,1010-1013,1010,1010-1013,2,0.5,149.978,0,712.147,4.157,0.5
142,2,1010-1013,1013,1010-1013,2,0.3333333333333333,149.978,0.005,17.822,120.445,0.3333333333333333
143,2,1003-1010,1003,1003-1010,2,0.2,156.993,0.058,0.86,88.768,0.2
143,2,1003-1010,1010,1003-1010,2,0.25,156.993,0,52.567,0.937,0.25
144,2,0303-1010,1010,0200-0303-1010,2,2,79.801,0,51.326,1.216,2
144,2,0303-1010,0303,0200-0303-1010,2,0.16666666666666666,2.447,92.025,0.02,74.766,0.16666666666666666
145,2,1010-1013,1010,1010-1013,2,0.5,350.246,0,98.126,1.656,0.5
145,2,1010-1013,1013,1010-1013,2,0.3333333333333333,350.246,0.005,4.862,56.98,0.3333333333333333
146,3,0303-1003-1010,1003,0403-1010-1203,3,0.16666666666666666,106.163,0.494,2.395,63.722,0.16666666666666666
146,3,0303-1003-1010,0303,0403-1010-1203,3,0.25,1.892,264.258,0.028,63.722,0.25
146,3,0303-1003-1010,1010,0403-1010-1203,3,0.2,106.163,0,48.258,3.751,0.2
147,1,0303,0303,0403,1,1,10.592,412.72,0.102,208.314,1
148,2,1010-1012,1010,1010-1012,2,0.5,43.712,0,104.705,0.905,0.5
148,2,1010-1012,1012,1010-1012,2,0.3333333333333333,43.712,0.001,8.784,51.191,0.3333333333333333
