117.165,2.939	0.014,165.316
216.604,4.887	0.235,263.030
89.747,1.171	0.022,93.260
24.048,0.922	0.019,54.734
0.047,342.236
100.518,1.541
125.222,7.489	0.067,172.189
7.837,9.755	477.803,9.755	0.685,271.728
543.763,27.238	0.250,91.090
73.939,7.529	0.022,595.986
74.137,3.114	0.014,225.386
5.757,0.673	183.543,0.673	0.062,62.854
0.054,54.984
0.039,90.862
64.892,4.626	0.018,247.428
1.463,140.744
284.265,20.021	0.451,105.108
1.222,8.326	106.345,0.111
0.023,222.915
80.686,19.435	0.028,341.952
0.005,593.861
49.941,2.263	0.013,109.252
24.116,1.623	726.487,1.623	1.368,106.493
83.508,4.154	0.022,45.159
150.781,3.362	0.117,197.840
1.858,15.198	129.836,0.176
158.353,1.815	0.055,167.709
92.147,6.979	0.073,236.814
70.850,1.665	0.018,105.913
74.291,10.898	3.540,416.840
0.023,605.557
3.403,1.134	49.832,1.134	0.045,66.148
197.384,1.356	0.023,129.323
212.911,3.886	0.043,88.237
34.704,1.409	0.009,81.319
2.091,32.586	202.764,15.742
7.729,4.603	98.827,0.090
8.610,22.825	67.039,0.491
84.801,3.602	0.024,60.635
118.842,1.616	0.031,146.261
2.489,5.360	217.642,5.360	0.033,126.000
81.290,1.903	0.074,109.352	2.632,109.352
99.958,0.648	0.018,50.331
21.545,14.539	362.866,0.198
2.747,0.503	121.615,0.503
148.133,17.196	0.221,513.405
1.387,2.920	99.639,2.920	0.020,182.714
3.306,12.858	180.548,0.144
0.001,250.184
19.407,0.825	104.301,0.825
0.245,29.625
2.361,2.589	103.582,2.589	0.031,113.662
351.667,5.663	0.102,362.492	7.663,362.492
37.570,3.195	0.229,123.382
92.011,2.317	0.604,74.705
0.005,132.110
0.002,190.939
0.060,427.221
116.637,39.283	0.019,283.613
123.297,0.482	0.051,38.696
35.385,8.475	0.511,846.451
96.841,2.597	0.034,166.315
125.373,7.764	0.046,111.139
10.030,29.425	86.364,0.303
70.787,1.880	0.010,81.723
4.574,6.904	168.996,0.128
313.850,2.377	0.086,151.294
173.030,1.078	0.037,97.325
136.480,2.058	0.047,119.847
43.719,4.495	0.016,40.854
136.081,1.600	0.078,54.253
252.461,0.324
215.868,2.746	0.123,112.709
61.200,1.212	0.307,116.977	7.986,116.977
7.025,48.731	130.917,0.971
133.270,15.669	0.024,285.263
1.590,263.223
2.374,33.274	122.397,0.337
82.793,2.714	0.045,69.849
62.837,1.692	0.009,121.846
0.301,31.546	24.554,1.263
1.306,61.161	97.966,1.378
0.004,111.020
0.001,142.778
68.729,0.150	0.029,5.321
2.586,12.763	51.477,0.288
65.233,0.771	0.041,71.996
0.685,2.521	63.534,0.169
0.700,22.490	52.368,0.866
1.728,46.440	27.026,1.156
283.525,3.238	0.831,92.444	32.189,92.444
120.405,0.680	0.113,18.547
128.012,8.640	0.030,117.260	2.447,117.260
60.261,2.362	0.525,91.995
765.562,5.857	0.220,271.692
14.780,4.422	0.005,104.555
1.521,47.025	112.964,1.059
9.426,6.910	206.767,0.074
55.056,3.058	0.023,122.984
2.023,0.281	149.475,0.281	0.026,25.156
241.554,0.981	0.045,91.865
460.124,0.154
138.794,3.589	0.019,95.571
82.522,3.263	0.118,103.598	4.807,103.598
89.800,1.898	0.124,81.709
237.201,1.655	0.051,51.535	3.455,51.535
108.551,1.379	0.078,96.409
527.626,2.457	0.071,130.207	6.132,130.207
156.987,0.187
77.147,4.862	0.148,200.351
139.928,1.610	2.113,119.739
4.348,17.875	159.047,0.542
0.109,499.756
0.008,130.468
187.108,2.402	1.967,110.703
154.721,0.968	0.023,85.188
2.139,26.193	158.131,0.278
59.433,1.050	0.200,93.028
454.177,10.086	0.156,112.437
101.683,0.430	0.379,23.829
3.490,1.157	281.096,1.157	0.039,86.240
1.274,3.463	95.989,0.126
3.572,41.775	168.191,0.974
2.887,10.797	49.677,0.135
59.069,4.929	0.030,103.807	1.929,103.807
59.809,1.676	0.028,122.809
113.752,7.250	0.247,80.328
60.640,2.395	1.235,205.971
0.002,123.226
122.792,3.991	0.033,163.652
96.240,1.668	0.014,135.113
0.246,182.302
1.871,608.818	133.941,21.594
0.007,193.015
120.891,0.710
245.622,3.596	0.030,230.834
296.317,1.616	0.087,137.301	5.793,137.301
8.242,2.366	426.900,2.366	0.246,118.657
118.797,3.005	0.044,46.749
39.197,4.159	0.012,14.392
0.001,118.828
77.795,6.771	0.313,507.492
4.004,24.259	124.556,0.989
112.682,0.438	0.066,33.229
711.792,0.397
253.059,1.997	0.142,194.576
32.079,1.816	0.009,156.265
98.388,4.146	0.017,80.439
0.574,12.421
0.007,62.917
0.005,45.410
50.370,2.816	0.018,31.374
85.872,1.356	0.038,125.701
482.294,1.444
37.068,2.169	0.618,140.725	3.570,140.725
1.092,2.852	94.602,0.033
0.003,80.054
53.022,5.971	0.011,117.309
111.421,1.957	1.598,56.514
192.360,10.493	2.235,167.273
634.407,6.054	4.542,212.930
31.002,1.500	0.030,108.400	0.996,108.400
269.086,1.531	0.306,79.349
92.855,1.637	0.040,45.240
205.196,1.389	0.030,108.219
85.878,1.389	0.024,86.020
132.395,1.092	0.069,109.250
0.669,6.232	63.454,0.073
0.423,56.344	27.485,1.068
1.448,40.944	133.043,0.978
5.001,1.455	185.581,1.455	0.655,64.643
0.023,136.115
54.187,5.641	0.016,138.258
55.718,0.974	0.067,66.618
131.914,2.829	0.029,118.267
166.567,3.347	0.036,262.165
0.236,12.131
308.691,1.460	0.214,115.605
124.448,1.182	0.248,110.798
81.479,2.292	0.086,67.873
181.973,2.474	0.170,116.452	3.216,116.452
70.065,12.680	0.012,24.700
104.116,1.707	0.195,161.818	10.048,161.818
0.110,100.373
64.796,1.320	0.153,119.220
773.022,0.455
0.145,453.160
385.319,2.591	0.156,147.464
75.137,0.515
23.047,2.448	0.007,181.662
117.464,6.669	0.066,191.384
143.131,1.261	0.100,39.583	1.636,39.583
620.485,3.503	0.151,222.790
245.850,2.528	0.072,98.910
20.169,1.772	110.757,1.772	0.225,151.936
407.736,41.473	0.079,422.452
4.824,9.638	220.086,0.186
0.004,48.955
34.599,0.931	0.034,81.263
0.018,230.694
4.332,97.901	6.982,97.901
131.479,15.375	0.036,445.771
65.540,2.365	0.012,84.212
121.354,1.075	0.488,99.962	27.825,99.962
1.852,41.837	140.380,0.476
31.980,3.342	0.107,153.097
0.009,69.121
0.007,95.250
286.349,16.315	0.084,316.860
7.159,2.169	273.447,2.169	0.115,124.291
73.432,14.602	0.017,521.541	0.916,521.541
2.079,66.645	84.784,1.652
85.578,1.756	0.031,98.121
0.038,22.379
68.564,1.373	0.020,136.708
152.880,3.220	0.070,218.888
466.839,1.147	0.259,95.524	15.230,95.524
46.229,1.137	0.006,87.112
141.536,35.454	0.078,259.383
127.931,1.805	0.031,111.611
0.012,316.843
1.952,2.596	74.121,0.111
49.269,6.324	0.006,496.778
4.802,0.744	192.203,0.744	0.137,36.473
127.365,1.537	0.052,125.110
0.002,317.841
522.034,1.484	0.169,139.146
65.428,9.550	0.020,140.127
59.552,0.261	0.221,9.241
0.022,80.866
330.645,1.752	0.307,135.846
51.435,5.841	0.025,137.961
0.001,82.364
0.080,210.036
29.944,0.680	0.015,25.100
95.729,38.648	2.562,439.390
79.995,7.423	0.013,119.466
79.042,0.660	0.016,56.241
578.015,4.073	1.403,351.507
8.940,4.546	263.947,0.575
180.642,1.465	0.136,145.262
0.003,115.802
132.702,3.248	0.052,163.048
2.390,4.452	100.803,0.049
125.551,0.992	0.139,95.699
191.892,2.699	0.145,114.420
221.853,2.650	0.028,223.573
205.400,1.857	0.022,178.787
194.374,2.347	0.049,133.517
0.007,19.679
0.003,84.068
0.003,82.824
0.005,47.354
10.240,3.047	654.519,3.047	0.174,133.753
1.755,33.208	64.418,0.918
1.151,30.532	74.727,0.357
0.328,107.937	12.995,9.815
117.906,22.593	0.071,167.429
