parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
4370,4,0300-0303-1003-1010,0300,0300-0303-1003-1010,4,0.3333333333333333,0.902,69.734,0.206,1.37,0.3333333333333333
4370,4,0300-0303-1003-1010,0303,0300-0303-1003-1010,4,0.25,0.902,1898.758,0.004,125.64,0.25
4370,4,0300-0303-1003-1010,1010,0300-0303-1003-1010,4,0.2,70.029,0,18.606,1.37,0.2
4370,4,0300-0303-1003-1010,1003,0300-0303-1003-1010,4,0.16666666666666666,70.029,0.201,0.395,125.64,0.16666666666666666
4371,3,0300-0303-1010,0300,0300-0303-1010,3,0.5,1.882,11.926,0.121,3.23,0.5
4371,3,0300-0303-1010,0303,0300-0303-1010,3,1,1.882,644.455,0.002,122.298,1
4371,3,0300-0303-1010,1010,0300-0303-1010,3,0.3333333333333333,56.62,0.001,6.318,3.23,0.3333333333333333
4372,4,0300-0303-1003-1010,1010,0300-0303-1003-1010,4,0.16666666666666666,142.365,0,19.271,1.605,0.16666666666666666
4372,4,0300-0303-1003-1010,1003,0300-0303-1003-1010,4,0.5,142.365,0.19,0.357,121.878,0.5
4372,4,0300-0303-1003-1010,0303,0300-0303-1003-1010,4,0.25,2.429,427.437,0.02,121.878,0.25
4372,4,0300-0303-1003-1010,0300,0300-0303-1003-1010,4,0.2,2.438,4.693,1.085,1.605,0.2
4373,4,0010-0113-0303-0310,0310,0010-0113-0303-0310,4,1,0.125,7.488,6.803,2.967,1
4373,4,0010-0113-0303-0310,0303,0010-0113-0303-0310,4,0.3333333333333333,0.125,1098.524,0.178,142.088,0.3333333333333333
4373,4,0010-0113-0303-0310,0113,0010-0113-0303-0310,4,0.25,0.445,0.507,3.601,142.088,0.25
4373,4,0010-0113-0303-0310,0010,0010-0113-0303-0310,4,0.2,9.528,0.144,137.312,2.967,0.2
4374,2,0303-1013,1013,0302-0303-1002-1003,2,1,84.122,0.094,3.999,52.444,1
4374,2,0303-1013,0303,0302-0303-1002-1003,2,0.3333333333333333,0.931,390.607,0.082,52.444,0.3333333333333333
4375,3,0303-1010-1013,1010,0303-1010-1013,3,0.3333333333333333,193.933,0.002,125.815,1.051,0.3333333333333333
4375,3,0303-1010-1013,1013,0303-1010-1013,3,0.25,193.933,0.154,3.042,88.546,0.25
4375,3,0303-1010-1013,0303,0303-1010-1013,3,1,2.629,891.001,0.055,88.546,1
4376,2,0313-1013,0313,0313-1010-1013,2,0.2,12.478,19.033,3.815,578.623,0.2
4376,2,0313-1013,1013,0313-1010-1013,2,0.3333333333333333,52.508,0.238,10.536,578.623,0.3333333333333333
4377,4,0310-0313-1010-1013,1013,0310-0313-1010-1013,4,0.25,36.391,0.154,17.214,328.325,0.25
4377,4,0310-0313-1010-1013,0313,0310-0313-1010-1013,4,0.5,0.382,233.4,3.268,328.325,0.5
4377,4,0310-0313-1010-1013,0310,0310-0313-1010-1013,4,1,0.532,3.916,16.851,3.36,1
4377,4,0310-0313-1010-1013,1010,0310-0313-1010-1013,4,0.3333333333333333,36.391,0.003,84.159,3.36,0.3333333333333333
4378,3,0303-1010-1013,1010,0303-1010-1013,3,0.5,260.931,0,53.919,0.74,0.5
4378,3,0303-1010-1013,0303,0303-1010-1013,3,0.2,5.183,64.626,0.037,41.348,0.2
4378,3,0303-1010-1013,1013,0303-1010-1013,3,0.16666666666666666,260.931,0,2.562,41.348,0.16666666666666666
4379,4,0303-0311-1011-1013,1011,0303-0311-1011-1013,4,0.2,46.789,0.103,152.89,2.338,0.2
4379,4,0303-0311-1011-1013,0303,0303-0311-1011-1013,4,0.3333333333333333,1.384,1380.484,0.05,172.282,0.3333333333333333
4379,4,0303-0311-1011-1013,1013,0303-0311-1011-1013,4,0.25,46.789,0.103,4.229,172.282,0.25
4379,4,0303-0311-1011-1013,0311,0303-0311-1011-1013,4,1,1.384,593.635,1.797,2.338,1
