ParIndex,GRHL2,ZEB,miR200,SLUG,Count
132,2.877,1773.534,0.013,194.926,1
132,221.406,0.001,28.999,3.101,1
132,221.406,0.036,0.378,194.926,1
133,1.623,538.024,0.088,69.812,1
133,57.152,0,78.326,7.501,1
133,57.152,0.041,0.793,69.812,1
134,0.809,36.234,1.216,9.784,1
134,0.809,1449.104,0.023,125.708,2
134,34.622,0.012,100.716,9.784,1
135,112.754,13.415,0.015,282.773,1
135,141.066,0.001,23.694,3.493,1
135,141.066,0.033,0.517,282.773,1
136,7.483,1442.988,0.036,200.947,2
136,536.465,0.011,48.388,3.355,1
137,2.509,10.883,0.375,13.222,1
137,2.509,10.883,1.788,0.279,1
137,138.325,0,29.452,13.222,1
137,138.325,0,140.508,0.279,1
138,5.938,8.107,0.072,4.606,1
138,5.938,166.248,0.001,232.597,1
138,489.433,0.002,3.699,4.606,1
138,489.433,0.041,0.049,232.597,1
139,2.533,532.492,0.012,259.976,5
140,10.073,7.353,1.116,1.245,1
140,10.073,525.607,0.012,115.15,1
140,218.155,0.362,0.82,115.15,1
140,218.162,0,78.799,1.245,1
141,0.609,3.23,2.253,1.58,1
141,0.609,1031.82,0.04,92.123,1
141,39.866,0.001,94.813,1.58,1
141,39.866,0.016,2.889,92.123,1
142,22.943,933.999,0.737,10.175,1
142,22.943,935,0.013,127.013,1
142,107.677,0.008,71.938,10.175,1
142,107.677,0.137,1.27,127.013,1
143,2.109,741.206,0.021,297.286,1
143,96.75,0.236,1.692,297.286,1
144,99.932,0,123.264,0.367,2
145,3.658,0.936,112.182,1.166,1
145,3.658,641.296,0.393,63.694,1
145,90.49,0,112.182,1.166,1
145,90.49,0.025,7.918,63.694,1
146,138.93,0,358.836,2.402,1
148,0.542,12.949,0.286,0.54,2
148,48.275,0,14.997,0.54,2
149,22.986,427.372,0.176,113.461,1
149,270.015,0.002,148.578,8.752,1
149,270.015,0.032,2.558,113.461,1
150,4.188,827.584,0.144,93.746,1
150,23.846,0,117.46,1.788,1
150,23.846,0.044,1.466,93.746,1
151,0.541,11.227,2.791,5.76,1
151,0.541,1031.952,0.049,461.361,1
151,42.722,0,221.399,5.76,1
153,0.662,998.632,0.036,579.568,1
153,49.68,0.772,2.234,579.568,1
