parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
3465,4,0033-0303-0323-3030,0033,0033-0223-0303-3030,4,0.133,-4.912511,-6.179032,3.756616,4.268906,0.133
3465,4,0033-0303-0323-3030,0303,0033-0223-0303-3030,4,0.087,-9.10204,5.615206,-5.755449,8.216287,0.087
3466,3,0303-0330-3030,0330,0303-0330-2030-3030,3,0.285,-6.375711,4.460324,4.585352,-7.682546,0.285
3466,3,0303-0330-3030,0303,0303-0330-2030-3030,3,0.005,-11.070116,7.849703,-3.975021,1.778859,0.005
3466,3,0303-0330-3030,3030,0303-0330-2030-3030,3,0.71,6.415103,-8.397031,6.974578,-13.304751,0.71
3467,3,0303-3003-3030,3003,0303-3003-3010-3030,3,0.379,2.936553,-5.226312,-6.208844,1.755972,0.379
3467,3,0303-3003-3030,0303,0303-3003-3010-3030,3,0.184,-6.289238,5.505008,-12.607383,7.799911,0.184
3467,3,0303-3003-3030,3030,0303-3003-3010-3030,3,0.437,8.072319,-10.856434,5.50407,-7.833947,0.437
3468,2,0303-3030,3030,0303-3030,2,0.062,3.805367,-6.255882,5.156399,-12.452764,0.062
3468,2,0303-3030,0303,0303-3030,2,0.938,-13.266206,8.699577,-11.655755,5.581043,0.938
3469,4,0033-0303-3030-3300,0303,0033-0133-0303-3003-3030-3300,4,0.263,-11.271298,5.588593,-8.46962,6.683903,0.263
3469,4,0033-0303-3030-3300,3300,0033-0133-0303-3003-3030-3300,4,0.076,1.10656,2.753681,-4.025695,-4.836564,0.076
3469,4,0033-0303-3030-3300,3030,0033-0133-0303-3003-3030-3300,4,0.559,7.572544,-9.420687,8.832838,-9.8257,0.559
3469,4,0033-0303-3030-3300,0033,0033-0133-0303-3003-3030-3300,4,0.102,-4.805297,-6.458303,4.396466,2.043701,0.102
3470,3,0033-0303-3030,0033,0003-0033-0303-3030,3,0.23,-7.523043,-4.90628,0.847597,4.383799,0.23
3470,3,0033-0303-3030,0303,0003-0033-0303-3030,3,0.601,-13.723241,5.354203,-11.33958,7.599621,0.601
3470,3,0033-0303-3030,3030,0003-0033-0303-3030,3,0.169,4.517308,-10.818682,6.676168,-7.899787,0.169
3471,3,0303-3013-3030,3013,0303-1013-1113-2303-3013-3030,3,0.199,5.976561,-7.278749,-3.950601,0.446322,0.199
3471,3,0303-3013-3030,3030,0303-1013-1113-2303-3013-3030,3,0.772,7.314007,-10.570042,8.817904,-11.599812,0.772
3471,3,0303-3013-3030,0303,0303-1013-1113-2303-3013-3030,3,0.029,-4.862488,6.047769,-10.303208,4.955086,0.029
3472,4,0303-3030-3100-3300,3300,0303-3030-3100-3103,4,0.047,0.671559,1.557087,-3.962937,-2.066341,0.047
3472,4,0303-3030-3100-3300,3030,0303-3030-3100-3103,4,0.382,6.51844,-8.542788,6.004421,-7.854629,0.382
3472,4,0303-3030-3100-3300,3100,0303-3030-3100-3103,4,0.092,6.51635,-2.119607,-3.543987,-2.066343,0.092
3472,4,0303-3030-3100-3300,0303,0303-3030-3100-3103,4,0.479,-12.021888,5.339338,-8.511038,5.1801450000000004,0.479
3473,4,0303-3000-3030-3100,3000,0030-0303-3000-3030-3100,4,0.079,4.533148,-5.303469,-2.028109,-4.036503,0.079
3473,4,0303-3000-3030-3100,3030,0030-0303-3000-3030-3100,4,0.07,4.533148,-8.509746,3.521382,-9.614491,0.07
3473,4,0303-3000-3030-3100,0303,0030-0303-3000-3030-3100,4,0.821,-12.050216,6.459711,-13.152007,6.200537,0.821
3473,4,0303-3000-3030-3100,3100,0030-0303-3000-3030-3100,4,0.03,4.148958,0.321831,-2.290323,-4.035648,0.03
3474,2,0303-3030,3030,0130-0303-1130-3030,2,0.158,6.718434,-7.063375,4.720593,-8.481229,0.158
3474,2,0303-3030,0303,0130-0303-1130-3030,2,0.842,-10.328923,6.929197,-9.986315,4.977358,0.842
3475,4,0033-0303-0330-3030,0033,0033-0303-0330-1030-3002-3030-3300-3302,4,0.128,-6.006817,-4.369405,3.66887,1.175902,0.128
3475,4,0033-0303-0330-3030,0330,0033-0303-0330-1030-3002-3030-3300-3302,4,0.134,-6.029118,2.066473,2.640912,-4.765599,0.134
3475,4,0033-0303-0330-3030,3030,0033-0303-0330-1030-3002-3030-3300-3302,4,0.252,1.979281,-8.846166,8.129995,-11.060099,0.252
3475,4,0033-0303-0330-3030,0303,0033-0303-0330-1030-3002-3030-3300-3302,4,0.486,-12.064817,8.493199,-6.54659,6.570451,0.486
3476,3,0033-0303-3030,0303,0033-0303-3000-3030,3,0.802,-12.502844,6.831357,-10.665115,6.732147,0.802
3476,3,0033-0303-3030,0033,0033-0303-3000-3030,3,0.145,-6.034302,-3.270591,1.068676,1.509699,0.145
3476,3,0033-0303-3030,3030,0033-0303-3000-3030,3,0.053,4.845959,-9.826824,3.002506,-8.748897,0.053
3477,3,0013-0303-3030,3030,0013-0213-0230-0303-2230-2300-3030,3,0.502,6.359792,-6.044121,6.3847950000000004,-9.294515,0.502
3477,3,0013-0303-3030,0013,0013-0213-0230-0303-2230-2300-3030,3,0.054,-5.725582,-2.728567,-2.313095,4.292137,0.054
3477,3,0013-0303-3030,0303,0013-0213-0230-0303-2230-2300-3030,3,0.444,-11.90393,6.493734,-8.905865,4.292996,0.444
3478,4,0303-0330-3030-3300,0330,0033-0303-0330-3030-3300-3330,4,0.243,-3.058493,1.403713,2.298067,-5.585488,0.243
3478,4,0303-0330-3030-3300,3300,0033-0303-0330-3030-3300-3330,4,0.098,2.712369,4.617894,-3.330404,-5.574548,0.098
3478,4,0303-0330-3030-3300,0303,0033-0303-0330-3030-3300-3330,4,0.231,-8.705894,5.918489,-6.340153,7.208191,0.231
3478,4,0303-0330-3030-3300,3030,0033-0303-0330-3030-3300-3330,4,0.428,7.326473,-3.711068,8.371863,-11.799429,0.428
3479,3,0303-3030-3300,3030,0303-1303-3030-3100-3300,3,0.077,7.569084,-6.957745,5.535568,-15.658693,0.077
3479,3,0303-3030-3300,0303,0303-1303-3030-3100-3300,3,0.059,-5.824194,9.803737,-11.054314,2.281354,0.059
3479,3,0303-3030-3300,3300,0303-1303-3030-3100-3300,3,0.864,5.348731,4.109875,-5.504494,-10.740159,0.864
3480,4,0003-0033-0303-3030,0003,0003-0030-0033-0303-3003-3030,4,0.074,-4.993468,-3.034932,-2.124556,5.690685,0.074
3480,4,0003-0033-0303-3030,0303,0003-0030-0033-0303-3003-3030,4,0.08,-6.127463,2.9077480000000002,-8.334374,5.690689,0.08
3480,4,0003-0033-0303-3030,3030,0003-0030-0033-0303-3003-3030,4,0.723,6.314161,-13.675352,6.957147,-10.462098,0.723
3480,4,0003-0033-0303-3030,0033,0003-0030-0033-0303-3003-3030,4,0.123,-4.993468,-7.501841,0.980717,2.975243,0.123
3481,2,0303-3030,0303,0003-0023-0030-0303-0320-3030-3200-3220,2,0.773,-10.518522,6.649546,-12.492959,8.960846,0.773
3481,2,0303-3030,3030,0003-0023-0030-0303-0320-3030-3200-3220,2,0.227,5.816812,-11.988465,6.062939,-8.587372,0.227
3482,4,0303-0330-0333-3030,3030,0030-0033-0303-0330-0333-1330-3030,4,0.528,5.336751,-6.520308,8.664635,-11.130292,0.528
3482,4,0303-0330-0333-3030,0330,0030-0033-0303-0330-0333-1330-3030,4,0.263,-7.158379,2.330093,3.475637,-5.508832,0.263
3482,4,0303-0330-0333-3030,0333,0030-0033-0303-0330-0333-1330-3030,4,0.111,-10.393272,2.333815,0.397375,4.430561,0.111
3482,4,0303-0330-0333-3030,0303,0030-0033-0303-0330-0333-1330-3030,4,0.098,-10.39525,6.424239,-2.640152,7.071758,0.098
3483,5,0003-0030-0303-3000-3030,3000,0001-0003-0030-0301-0303-3000-3030,5,0.124,4.657487,-8.60804,-2.646809,-6.439131,0.124
3483,5,0003-0030-0303-3000-3030,3030,0001-0003-0030-0301-0303-3000-3030,5,0.036,4.657487,-12.644033,3.755087,-11.449887,0.036
3483,5,0003-0030-0303-3000-3030,0303,0001-0003-0030-0301-0303-3000-3030,5,0.15,-11.777123,2.928891,-15.687402,5.083972,0.15
3483,5,0003-0030-0303-3000-3030,0003,0001-0003-0030-0301-0303-3000-3030,5,0.594,-7.233148,-2.712397,-9.170238,5.083972,0.594
3483,5,0003-0030-0303-3000-3030,0030,0001-0003-0030-0301-0303-3000-3030,5,0.096,-1.972988,-6.7485,3.755087,-5.731663,0.096
3484,4,0303-0330-3030-3300,0303,0003-0033-0303-0330-3030-3300,4,0.268,-9.414649,5.984814,-8.647263,6.029645,0.268
3484,4,0303-0330-3030-3300,0330,0003-0033-0303-0330-3030-3300,4,0.063,-2.732357,2.999317,2.0145,-3.884896,0.063
3484,4,0303-0330-3030-3300,3300,0003-0033-0303-0330-3030-3300,4,0.104,3.687438,2.41934,-3.913839,-5.06309,0.104
3484,4,0303-0330-3030-3300,3030,0003-0033-0303-0330-3030-3300,4,0.565,6.332337,-7.155108,7.504767,-10.584225,0.565
3485,3,0303-0330-3030,0330,0033-0203-0213-0303-0313-0330-3030,3,0.104,-3.090333,3.971032,6.326947,-2.073942,0.104
3485,3,0303-0330-3030,0303,0033-0203-0213-0303-0313-0330-3030,3,0.582,-9.648298,6.576379,-4.575685,8.530713,0.582
3485,3,0303-0330-3030,3030,0033-0203-0213-0303-0313-0330-3030,3,0.314,4.630775,-8.605308,7.055843,-8.180165,0.314
3486,3,0303-3002-3030,3002,0033-0303-3002-3030-3202,3,0.052,7.033164,-5.616091,-1.041473,0.347879,0.052
3486,3,0303-3002-3030,0303,0033-0303-3002-3030-3202,3,0.283,-10.226253,5.615875,-7.382312,6.694614,0.283
3486,3,0303-3002-3030,3030,0033-0303-3002-3030-3202,3,0.665,7.304106,-11.9209,8.808578,-10.129659,0.665
