ParIndex,GRHL2,ZEB,miR200,SLUG,Count
208,420.775,0.029,2.063,71.693,1
209,1.032,669.394,0.021,92.579,1
209,34.423,0,54.44,2.453,1
210,3.099,171.292,0.001,148.683,1
210,101.346,0,1.774,3.047,1
211,0.861,1085.446,0.02,320.745,1
211,26.573,0.024,77.143,3.248,1
212,2.161,317.487,0.081,104.485,1
212,99.517,0,115.21,11.014,1
212,99.517,0.003,4.356,104.485,1
213,0.593,33.292,0.229,93.851,1
213,47.854,0,46.352,1.224,1
213,47.854,0.073,0.884,93.851,1
214,5.035,4486.166,0.254,101.997,2
214,490.981,0.001,299.345,1.703,1
215,93.91,0.002,159.152,0.228,1
216,221.152,0.083,4.606,2.688,1
216,221.152,0.221,0.068,79.972,1
217,26.337,54.193,0.643,206.738,1
217,103.661,0,65.454,2.741,1
217,103.661,0.012,5.324,206.738,1
218,19.858,0,5.918,2.647,1
218,19.858,0.056,0.112,93.418,1
219,5.042,257.608,0.085,352.436,1
219,127.904,0.015,0.993,352.436,2
220,149.049,0.176,1.779,335.927,2
221,1.758,32.667,2.579,1.04,1
221,1.758,1970.17,0.053,82.081,1
221,95.685,0.002,234.068,1.04,2
222,0.383,44.446,0.223,1.031,1
222,33.92,0.034,17.863,1.031,1
223,0.447,145.526,0.005,528.779,1
224,6.248,3142.986,0.02,140.737,1
224,580.577,0,94.517,4.272,1
224,580.578,0,94.517,4.272,1
225,0.292,224.204,0.754,0.741,1
226,0.196,53.327,0.022,116.586,1
226,8.838,0,111.047,3.382,1
227,0.414,51.734,0.422,0.241,1
227,0.414,2244.337,0.422,22.441,1
227,20.033,0.253,36.678,0.241,1
228,0.301,244.432,0.004,82.95,1
228,21.799,0.001,36.12,1.002,2
229,2.663,458.707,0.036,80.081,1
230,1.345,826.95,0.051,70.121,1
230,132.218,0,38.757,2.206,2
230,132.218,0.003,4.61,70.121,1
231,0.539,2170.264,0.012,188.684,1
231,32.438,0.428,12.931,4.755,1
232,2.12,258.995,2.475,42.622,2
232,211.635,0.025,68.801,0.856,1
233,5.38,696.77,6.052,696.638,1
233,322.649,0.001,441.432,8.497,1
233,322.649,0.119,42.288,696.638,1
234,738.934,0,27.835,0.771,1
235,7.923,430.561,0.019,127.829,1
235,88.715,0,20.333,1.343,2
236,2.158,1688.53,0.021,233.703,1
236,106.549,0,40.285,3.602,2
237,1.018,1574.535,0.178,654.014,1
238,1.14,405.36,0.025,96.396,1
238,113.934,0,105.733,1.597,1
238,113.934,0.153,1.951,96.396,1
239,25.692,0.004,121.352,3.338,3
240,0.038,482.783,3.645,0.585,2
240,0.038,1154.132,0.384,47.299,2
241,4.551,726.108,0.003,120.979,1
