213.257,5.477	2.336,172.729
26.890,50.155
149.500,4.272
0.046,145.724
126.234,1.258	1.272,64.389
93.247,0.802	1.900,59.919
33.501,0.872	0.413,85.018
248.668,5.640	3.087,34.092
146.590,3.639	2.379,341.863
131.373,4.907	2.355,359.711
198.266,3.738	3.383,100.576
269.629,0.446
98.956,0.127
1.681,564.933
1.591,88.360
22.737,0.632	0.377,18.936
129.252,4.316	2.615,82.685
0.078,37.819
71.463,2.573
137.441,3.756	4.846,283.506
26.768,0.514	3.297,46.180
6.151,244.322
0.222,97.209
190.999,9.341	3.240,190.020
70.189,3.124
28.031,3.054	0.348,218.358
48.676,0.393	0.539,38.870
10.010,84.749
6.714,462.304
29.487,12.601	0.472,768.872
61.975,1.592	0.853,148.405
11.810,0.536	0.182,36.413
204.298,6.026	3.805,116.668
30.299,2.949	7.735,93.137
125.032,1.151	3.912,43.266
105.099,5.924	4.574,93.607
0.779,120.620
0.624,29.835
64.972,0.581	1.046,28.684
229.928,0.962	4.938,29.906
45.786,1.619	0.783,25.558
1.975,132.091
85.203,0.840
0.277,233.839
23.948,4.153	0.263,250.665
0.119,68.331
35.554,15.962	0.583,291.446
0.081,97.218
92.698,1.350	1.374,72.680
646.849,1.580
177.823,3.226	1.949,74.928
52.099,0.674
97.908,2.118	5.051,184.226
119.733,1.611	6.037,135.660
1.023,2.218
1.397,104.194
0.047,182.595
1.361,1.953
0.184,134.666
163.357,0.449	2.199,38.288
90.719,3.157	0.963,146.220
61.575,0.416	0.639,40.294
1.654,224.082
2.225,118.033
66.693,0.766	3.439,55.492
2.445,475.257
247.569,4.376	10.168,251.573
110.158,6.760	5.430,57.194
47.499,0.208	0.896,18.006
6.930,2.647
31.521,4.473	0.741,204.425
0.087,191.709
216.379,0.628	7.756,59.379
321.316,3.862
37.699,0.520	0.564,31.281
97.000,4.086	3.274,113.523
141.946,0.281	5.329,24.890
83.648,1.429	0.932,106.334
342.036,2.761
27.177,0.494	0.735,32.308
38.152,0.535	1.263,20.112
87.031,0.814	1.128,61.774
72.153,4.266	2.654,146.165
0.431,383.568
1.294,570.068
22.680,2.123
98.309,5.748	3.318,159.679
242.786,10.751
217.170,5.654	3.694,136.001
4.250,146.225
60.044,0.427	0.608,17.202
156.979,2.100
67.216,0.276	1.414,16.651
78.253,1.793	0.829,115.563
86.758,1.089	9.573,29.675
142.694,0.992
167.790,1.439	1.749,138.064
42.151,3.527	0.560,347.967
198.863,2.393	2.401,179.410
66.292,0.334	0.731,15.798
19.989,0.017
34.035,3.111	0.814,176.583
122.275,5.183	1.402,61.556
20.564,4.640	0.259,298.496
61.546,1.232	0.796,62.477
117.867,2.245	2.647,99.987
139.621,4.388	6.477,69.712
20.820,4.066	0.293,248.184
0.785,226.250
5.444,58.535
13.266,1.288
2.813,77.641
12.507,0.824	0.250,61.234
17.278,1.737	0.389,82.085
2.477,342.495
116.394,1.051	1.219,37.833
83.922,0.208	1.980,5.029
57.654,1.888	1.284,64.966
0.168,107.431
12.668,10.310	0.162,726.149
800.465,1.960	8.808,195.915
40.888,4.461	0.610,271.694
125.366,0.440	3.202,37.635
238.005,1.965	2.846,139.482
0.306,50.965
32.566,1.707	1.039,57.541
240.470,0.940	6.567,43.414
92.689,0.818	3.990,52.127
101.276,12.502	1.617,293.434
0.172,35.049
0.139,292.994
58.458,0.213	11.251,20.197
262.244,1.714	5.706,133.357
41.937,0.442	0.870,27.891
209.108,1.945	9.379,175.659
31.394,0.114
98.231,4.860	1.910,41.517
99.969,1.092
0.656,81.269
8.225,18.369
300.908,2.839	3.496,230.178
134.098,1.568	1.631,77.710
8.071,26.240
147.530,1.167	2.477,66.539
205.166,1.174	2.844,88.954
0.852,219.483
1.400,156.948
293.069,1.091	3.563,41.029
330.482,1.754
1.028,104.481
110.016,3.049	1.358,255.964
91.799,2.069	2.170,66.053
1.089,286.997
44.802,3.714	2.884,85.185
0.474,327.070
364.737,0.070	5.570,6.161
357.933,2.085
1.335,374.582
59.183,1.000	0.804,50.583
0.799,107.996
49.332,1.158	1.218,87.900
250.415,1.163	5.634,113.754
56.968,0.139
109.790,0.600	5.041,56.678
79.223,13.902	0.893,346.515
0.390,248.293
58.865,0.561	1.578,22.028
178.349,1.550	1.979,68.664
117.986,3.557	2.525,136.402
42.721,0.423	0.856,19.631
1.675,33.269
1.035,167.454
266.642,4.805	2.725,111.243
1.412,207.489
28.614,0.555	6.732,22.492
102.223,7.013	1.162,193.651
250.450,2.043
325.933,0.970	17.455,66.018
19.698,0.953	3.233,27.109
33.821,3.776	0.545,112.282
127.648,0.307	1.514,17.544
248.685,4.856	5.359,254.191
2.233,64.925
138.162,0.298
36.963,4.589	0.995,244.218
5.789,145.942
72.032,0.108
229.470,0.555	2.377,47.213
138.397,0.137
26.735,3.907	0.439,356.305
44.475,1.367	0.466,130.452
52.999,6.252	0.898,201.494
24.029,1.071	0.763,63.027
59.220,0.945	0.861,60.122
1.982,479.954
83.208,1.734	1.070,173.071
107.292,3.354	1.832,322.236
110.041,2.069	2.050,49.217
73.187,8.046	1.348,165.734
0.282,97.404
269.712,2.818	3.431,127.007
2.344,70.074
0.091,32.600
426.727,1.255
135.246,0.471	2.829,37.631
85.782,1.727	1.074,172.479
276.398,1.911	5.951,167.155
35.129,1.126	0.507,94.525
10.690,13.217
129.605,7.333
87.413,2.688	1.507,170.947
0.179,374.445
2.249,160.267
112.593,1.153	3.516,59.470
199.959,0.233	2.592,17.364
0.519,186.738
64.042,2.044	0.903,126.490
99.321,2.507	1.224,45.446
55.599,1.262	3.463,60.775
1.092,310.787
570.552,1.012	9.661,76.945
52.627,5.997	0.732,71.262
109.866,2.521	1.297,72.531
39.160,0.526	7.828,40.090
14.379,2.658	0.914,259.041
30.659,1.150	4.257,95.309
198.953,1.880
187.485,3.670	4.098,52.148
212.729,1.089	6.020,63.443
97.752,0.416	1.567,40.776
33.686,0.812	0.483,48.595
538.554,1.719
23.632,6.160
399.530,1.622	8.196,94.746
0.914,37.510
113.680,0.618	3.837,18.272
248.930,2.278	3.775,65.985
125.232,0.842	8.391,16.145
14.605,5.212	0.296,59.015
1.910,393.909
266.103,5.452	4.802,84.811
45.721,7.249	0.533,176.168
146.174,1.587	5.646,93.682
18.501,0.171	0.266,15.066
73.308,0.805	1.157,68.998
436.699,2.700	9.586,69.910
3.329,484.569
124.287,3.140
92.974,2.452	0.952,196.542
56.869,2.639	1.539,159.927
94.078,3.029	2.098,153.452
79.729,1.004	1.493,48.552
110.465,1.188	1.195,96.099
361.749,0.405
106.369,2.525	1.128,113.794
140.377,5.340	3.114,92.117
35.858,2.258	3.553,50.942
81.064,2.451	7.388,96.314
259.861,0.823	7.850,26.501
92.553,0.068
82.956,3.384	1.463,159.636
235.864,1.313	2.980,44.114
65.101,3.837	1.869,308.219
25.180,7.158	0.391,40.074
272.896,0.364	5.192,16.751
0.426,358.002
66.550,6.888	1.270,47.771
289.925,1.748	3.964,78.998
1.839,224.247
62.200,0.465	1.706,35.932
4.447,319.516
10.905,23.407
20.408,4.784	2.185,197.925
8.716,147.786
15.326,3.125	0.446,130.461
89.058,0.748	1.130,68.922
12.418,3.190	0.135,166.556
72.063,0.133	1.236,10.887
84.958,4.687	1.769,220.171
8.361,115.133
254.443,3.193	3.622,52.609
5.246,202.091
7.000,0.561	0.188,37.055
25.555,1.008	0.428,59.059
18.709,0.693	0.227,41.732
118.972,0.958	1.589,72.571
0.459,18.473
2.375,103.294
1.898,179.549
220.539,5.390	3.809,368.368
0.145,23.595
60.814,0.076
158.912,1.568	2.063,82.816
6.584,6.894
6.169,146.078
171.343,0.097
142.374,0.682	3.282,50.602
106.887,0.671	5.248,65.491
101.695,2.305	8.349,90.629
3.326,88.078
166.618,2.400
2.843,114.438
321.119,4.863	5.102,383.671
182.248,3.338	3.739,196.402
31.757,1.617	1.451,75.595
3.271,350.424
76.240,5.128	1.504,322.207
398.240,17.937
51.293,0.646	0.573,21.663
200.825,1.793	3.263,64.572
45.051,11.555	1.137,359.812
499.168,1.316
0.208,305.471
115.687,1.017	1.743,92.405
51.340,3.532
40.733,12.155	0.440,96.810
2.444,135.562
83.343,1.070	0.923,73.061
2.586,602.761
5.035,77.011
159.271,1.114	1.738,108.525
36.637,0.905	1.365,17.758
43.433,5.906	5.332,118.173
327.049,1.355	3.558,109.163
348.510,0.206	11.597,19.963
13.536,200.595
3.728,88.493
115.190,2.367	1.641,79.702
3.712,136.882
76.846,1.011	1.088,92.008
0.247,124.392
1.368,756.018
0.116,138.322
73.266,5.790	2.100,263.587
9.978,4.991
103.230,1.177	1.770,23.710
93.059,11.047	4.750,208.330
98.795,5.568	1.180,235.841
22.282,10.409
83.624,11.321	1.006,46.702
0.460,39.751
54.274,3.428	0.555,153.105
118.454,0.963	2.821,70.175
214.546,0.310	2.471,22.611
0.146,91.220
363.779,4.269	4.314,379.165
60.289,1.907	1.751,119.511
18.212,1.812	0.256,113.790
46.744,0.555	1.827,27.648
49.989,1.305	2.556,67.368
60.343,1.887	3.453,136.974
453.987,1.218	8.387,112.635
184.176,1.316	4.425,44.644
52.732,4.004	0.742,174.301
15.291,4.990	0.730,72.713
79.589,1.104	1.984,84.943
83.468,1.608	0.920,111.049
51.927,4.368	0.691,158.663
280.588,4.389	7.957,182.522
93.199,0.132	1.107,12.750
0.945,483.445
60.499,11.172	5.338,49.904
217.278,1.450
127.606,14.043	3.623,617.640
1.564,268.069
14.984,2.959	0.703,127.869
515.680,1.489
209.880,9.534
9.408,20.391
379.599,2.725
1.663,124.255
90.658,1.785	1.452,142.368
276.128,0.440	7.693,39.975
86.409,4.082	8.083,35.445
0.382,78.671
91.939,6.581	2.772,239.411
61.974,0.206	1.626,19.576
14.048,4.023	0.645,50.256
1.168,380.658
104.348,0.698	1.586,33.399
77.944,4.305	1.805,97.925
0.563,84.968
0.138,181.286
83.351,3.611	1.167,132.717
205.332,2.910	9.710,118.340
151.505,2.815	1.632,62.312
245.183,0.727	4.043,70.672
153.175,3.920
8.571,101.084
228.016,2.134	2.399,190.166
0.397,137.332
1.819,113.647
379.149,0.841	5.432,68.833
160.101,0.568	2.590,43.343
95.557,0.634	4.272,22.591
128.049,3.847	1.464,374.841
359.229,1.794
517.453,4.958
127.839,2.271	1.598,105.760
32.603,4.394	1.873,66.527
54.988,2.028	0.648,106.970
55.382,1.385	0.785,111.156
152.589,1.319	2.031,32.285
37.843,10.474	0.558,113.751
157.321,1.586	1.588,22.427
87.456,2.731	3.016,109.496
0.579,42.978
52.104,1.754	1.533,103.343
125.503,0.139
175.452,1.696	1.951,124.734
126.655,0.668	1.478,55.712
69.842,1.532	1.447,124.324
67.196,2.711	0.754,181.138
739.143,9.239	8.568,316.926
79.033,0.102
131.694,2.001
52.542,4.193	0.870,156.088
0.052,220.360
190.309,2.057	2.055,92.965
0.702,113.569
251.202,0.998	7.185,29.879
160.764,0.475	2.973,34.002
0.763,309.487
1.408,669.104
44.201,2.938	2.504,121.426
74.221,3.467	0.888,111.341
68.919,1.437	1.347,90.922
246.099,3.300	6.737,293.365
41.561,1.764	0.438,134.875
101.324,2.952	1.427,153.107
27.641,1.448	0.278,79.739
33.968,0.279	0.667,14.223
2.574,120.463
164.151,3.684	2.445,59.904
152.278,3.332
59.478,2.070	1.892,48.342
51.118,12.996	0.534,569.797
21.218,22.542
96.765,11.056	5.141,76.984
47.193,0.814	0.783,81.318
0.149,119.174
56.590,0.829	2.394,40.635
143.191,2.472	1.788,130.360
3.538,85.322
116.281,2.935
22.018,71.182
47.126,1.706	0.793,114.190
85.558,1.824	1.003,162.617
89.244,6.419	1.751,94.636
203.533,0.310
0.048,281.291
3.568,658.546
108.504,3.067
236.020,1.170	10.721,51.620
76.031,0.828	0.860,59.702
2.308,60.126
179.582,2.217	2.177,208.716
149.670,1.026	2.012,54.424
84.037,0.953	5.369,80.457
69.808,1.453	2.923,44.963
55.199,0.870	0.669,50.667
135.019,2.221	2.188,145.356
105.343,0.469	8.480,17.287
43.409,0.565	0.455,52.172
123.674,0.111	2.044,9.244
1.345,150.428
23.721,1.350	0.322,73.523
75.411,3.894	2.012,126.377
83.065,4.449	1.679,81.601
36.198,6.651	3.295,88.678
94.470,0.484	1.399,44.727
88.168,1.245	1.299,94.622
295.218,2.690	5.752,163.175
31.603,1.084	1.830,40.156
0.453,187.235
4.232,409.033
51.922,2.544	1.412,223.607
201.445,9.123	2.963,129.951
1.277,278.689
32.426,7.068	0.735,80.046
0.978,146.271
136.013,2.569	2.402,191.985
14.303,2.005	0.177,77.614
40.346,0.050
28.798,1.540	0.329,144.064
49.022,1.394	0.965,95.623
33.094,7.360	0.361,82.375
28.120,5.151	0.384,97.434
186.334,3.563	2.369,106.352
228.466,0.981	2.976,76.883
140.616,2.286	2.656,176.817
144.665,1.693	2.605,161.306
2.028,95.574
197.901,2.244	2.180,55.064
220.774,0.719	2.868,36.451
256.746,1.776	3.643,89.716
3.254,469.413
140.574,2.246	14.526,106.161
0.233,89.004
665.611,11.574
428.045,0.867
33.635,1.176	0.475,63.523
381.256,2.269	5.725,162.460
78.207,7.419	1.151,107.806
80.768,0.810	0.814,30.481
174.481,0.978
118.705,0.061
119.858,2.489	19.243,35.520
104.311,8.862	1.054,136.214
94.909,3.697	1.653,145.096
49.832,3.302	1.530,201.827
3.596,3.475
41.379,1.258	0.929,46.916
102.927,0.394	1.067,38.346
76.392,3.655	1.282,292.057
2.256,196.855
38.187,5.292	0.477,107.629
57.429,11.043	1.164,196.507
255.331,2.234
22.966,0.150
135.928,5.241	4.066,64.932
1.206,183.801
29.974,1.506	0.523,88.985
0.144,108.670
297.233,1.238	6.264,27.490
0.848,191.642
89.510,0.579	1.997,10.252
87.327,0.175
12.048,103.984
0.673,103.984
438.390,3.609
0.285,289.677
70.733,1.596	3.202,130.034
186.740,2.155	3.231,84.115
76.612,7.763	0.957,138.278
89.843,0.684	1.720,65.411
1.133,542.880
115.316,1.207	1.770,100.551
2.740,235.459
192.444,1.539
20.420,0.410	0.648,26.525
61.267,2.389	3.509,128.442
1.151,189.895
42.623,0.147	1.202,6.095
74.302,1.242	3.720,50.814
68.599,4.506	0.890,173.442
9.959,6.877
341.100,2.017
136.460,2.847	4.644,47.804
33.568,0.354	1.495,20.617
1.125,504.675
2.395,129.420
97.718,15.292
358.127,4.561	9.315,345.853
187.426,7.367	6.631,114.706
3.972,196.448
21.453,4.929	0.280,271.337
71.273,0.236
1.248,105.082
19.530,13.862
44.016,1.055	0.833,81.279
180.653,0.973	2.046,47.984
0.133,121.935
230.933,0.395	3.489,26.562
100.955,1.950	2.333,119.967
7.227,3.177
227.804,2.699	3.460,228.848
52.510,4.513	2.080,20.204
53.423,1.398	1.287,30.380
4.012,279.148
449.449,1.954	5.620,141.535
40.646,8.246	1.974,69.715
99.455,0.302
77.010,10.619	8.990,594.790
64.776,1.939	1.863,19.605
218.986,2.047
0.850,16.265
244.659,12.664
755.273,2.802
0.227,91.709
47.341,0.966	1.003,67.528
1.592,98.728
2.889,248.675
45.682,2.857	0.693,170.398
159.252,0.753	7.345,55.747
58.978,2.244	1.029,223.694
0.222,122.755
261.772,0.526	5.492,23.094
192.413,1.043	2.348,100.477
2.308,607.716
311.690,0.320
2.741,427.514
58.888,0.986	1.911,42.427
452.716,3.151	4.830,125.468
26.085,27.499
113.397,0.418
536.964,0.346	5.855,20.071
2.379,219.681
65.582,9.492	0.749,329.162
737.930,4.143	7.382,69.451
156.558,0.338	5.413,30.084
0.167,554.109
0.731,115.475
324.254,0.866
5.854,108.601
0.089,162.767
60.894,11.520	0.869,129.945
258.537,2.307	9.748,146.185
98.455,0.826
0.102,137.181
