parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
1234,2,0201-2020,0201,0201-2020-2100,2,0.992,-1.928514,8.584244,-0.111418,1.935321,0.992
1234,2,0201-2020,2020,0201-2020-2100,2,0.008,5.432005,-0.603335,6.420225,-3.750373,0.008
1235,2,0202-2020,0202,0202-2020,2,0.225,0.125841,6.111519,2.738446,7.153625,0.225
1235,2,0202-2020,2020,0202-2020,2,0.775,5.465672,-2.609201,6.157637,0.956383,0.775
1236,1,2020,2020,0200-2020-2100,1,1,7.896192,-1.334558,6.573927,-9.087978,1
1237,1,2020,2020,0202-2020,1,1,6.601775,-0.24811,5.763704,-2.420644,1
1238,1,0202,0202,0202,1,1,-2.925956,6.760101,-6.541481,7.657655,1
1239,1,1202,1202,0202-2010,1,1,0.012784,4.162679,-3.809281,8.109613,1
1240,2,0202-2020,2020,0021-0202-2020,2,0.538,6.589036,-2.200437,5.691991,-2.782724,0.538
1240,2,0202-2020,0202,0021-0202-2020,2,0.462,-0.231438,4.804589,-5.186407,8.571054,0.462
1241,2,0202-2020,2020,0202-2020,2,0.962,7.47097,-6.236233,6.581221,-3.179326,0.962
1241,2,0202-2020,0202,0202-2020,2,0.038,0.946596,5.444905,0.261699,6.60547,0.038
1242,2,0202-2020,0202,0202-2020,2,0.765,-4.287511,9.009385,-1.354266,6.925758,0.765
1242,2,0202-2020,2020,0202-2020,2,0.235,6.967635,-2.591995,7.505937,-3.981784,0.235
1243,3,1202-2012-2020,2012,0202-1012-2020,3,0.458,4.908899,-0.057141,4.188603,4.883329,0.458
1243,3,1202-2012-2020,1202,0202-1012-2020,3,0.2,0.982856,5.59338,-1.964822,6.822069,0.2
1243,3,1202-2012-2020,2020,0202-1012-2020,3,0.342,7.856076,-2.031754,6.438195,1.671765,0.342
1244,2,0202-2020,2020,0202-1201-1210-2001-2020,2,0.321,6.448432,-0.59406,8.012188,-0.32164,0.321
1244,2,0202-2020,0202,0202-1201-1210-2001-2020,2,0.679,-0.065119,7.047105,-2.799357,7.290166,0.679
1245,2,0202-2020,2020,0202-1002-2020,2,0.033,6.722825,-7.253845,5.687719,0.812761,0.033
1245,2,0202-2020,0202,0202-1002-2020,2,0.967,-0.150088,4.440013,-3.231601,6.376193,0.967
1246,2,0202-2020,2020,0202-1002-2020,2,0.705,4.050151,-2.992169,7.536688,-2.88035,0.705
1246,2,0202-2020,0202,0202-1002-2020,2,0.295,-4.403097,8.37791,0.156766,5.190924,0.295
1247,1,2020,2020,0202-2020,1,1,6.955391,-0.737732,5.413196,-1.842315,1
1248,1,0202,0202,0202,1,1,-7.835639,5.1409,-4.002444,8.852767,1
1249,2,0202-2020,0202,0202-2020,2,0.968,-2.657782,6.301599,-3.585877,5.318981,0.968
1249,2,0202-2020,2020,0202-2020,2,0.032,5.726882,-0.323017,5.647512,-3.613842,0.032
1250,1,2020,2020,0202-2020,1,1,6.684495,-3.354089,6.076771,-3.288993,1
1251,2,0202-2100,2100,0202-1110,2,0.11,6.084648,2.727875,3.100205,1.507177,0.11
1251,2,0202-2100,0202,0202-1110,2,0.89,-1.010198,8.212981,-8.184591,6.623276,0.89
1252,2,0201-2020,2020,0202-2020,2,0.74,8.666528,-3.852677,6.073603,-2.119812,0.74
1252,2,0201-2020,0201,0202-2020,2,0.26,1.098581,7.737943,-0.414273,3.63082,0.26
1253,2,1002-2020,1002,0002-2020,2,0.08,2.902877,2.168015,2.788222,6.365863,0.08
1253,2,1002-2020,2020,0002-2020,2,0.92,7.682496,-6.832278,6.940754,-4.865732,0.92
1254,2,0202-2020,0202,0022-0202-2020,2,0.697,-0.862265,7.886902,0.181052,6.626443,0.697
1254,2,0202-2020,2020,0022-0202-2020,2,0.303,6.847584,-1.739792,8.511705,1.220629,0.303
1255,1,0202,0202,0202-2000,1,1,-0.744545,4.268461,-1.588276,7.179208,1
1256,2,0202-2020,2020,0202-2020-2100,2,0.125,6.118781,1.945274,6.197031,-2.029729,0.125
1256,2,0202-2020,0202,0202-2020-2100,2,0.875,-3.223145,8.001462,-0.408333,6.721707,0.875
1257,1,2020,2020,0202-2020,1,1,7.776328,-4.833814,7.134219,-0.222219,1
1258,1,0202,0202,0202,1,1,-1.743647,4.581339,-4.223397,5.712233,1
1259,1,2020,2020,1002-2020,1,1,6.751065,-5.848439,6.402696,-0.994377,1
1260,1,0202,0202,0202-1102-2100,1,1,-0.35239,7.932464,-5.316235,6.661961,1
1261,2,0202-2020,2020,0012-0202-2020,2,0.242,6.734456,-3.991323,6.438847,0.246391,0.242
1261,2,0202-2020,0202,0012-0202-2020,2,0.758,-2.11233,7.004122,-2.158716,7.544442,0.758
1262,1,2020,2020,0202-0210-2020,1,1,8.07161,-4.536486,5.775901,-4.230361,1
1263,2,0202-2020,2020,0202-2020,2,0.622,6.164222,0.472825,4.460979,-1.650918,0.622
1263,2,0202-2020,0202,0202-2020,2,0.378,1.660004,5.619308,-1.477477,5.829754,0.378
1264,1,2020,2020,0202-1200-2020,1,1,7.833922,1.043647,6.75061,-4.257024,1
1265,1,2020,2020,0202-1200-2020,1,1,8.186131,-4.407797,6.959534,-4.37274,1
1266,2,0202-2020,0202,0202-0210-1002-2020,2,0.121,-0.923399,6.008602,-0.070108,4.721368,0.121
1266,2,0202-2020,2020,0202-0210-1002-2020,2,0.879,5.921198,-0.416779,6.186007,-0.46927,0.879
1267,2,0202-2020,0202,0120-0202-2020,2,0.79,-3.235178,6.404135,-0.89696,5.852364,0.79
1267,2,0202-2020,2020,0120-0202-2020,2,0.21,5.268924,0.344434,7.604743,-2.704061,0.21
1268,1,2020,2020,2020,1,1,8.361035,-2.503809,5.793712,-6.628728,1
1269,3,0202-0210-2020,0202,0202-0210-2020,3,0.074,-2.851063,6.937183,-5.204587,6.730891,0.074
