parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,basinDiscret
1678,3,01-10-20,10,01-10-20,3,0.118,0.348237,2.13011,0.118
1678,3,01-10-20,01,01-10-20,3,0.796,-5.737769,8.640033,0.796
1678,3,01-10-20,20,01-10-20,3,0.086,6.260415,2.13011,0.086
1679,2,01-20,20,01-20,2,0.064,3.179169,-1.042728,0.064
1679,2,01-20,01,01-20,2,0.936,-8.109148,2.964525,0.936
1680,2,01-21,21,01-21,2,0.745,5.621836,-0.41192,0.745
1680,2,01-21,01,01-21,2,0.255,-0.638631,5.55147,0.255
1681,2,01-20,20,01-20,2,0.992,8.477128,3.483723,0.992
1681,2,01-20,01,01-20,2,0.008,-0.438287,8.799884,0.008
1682,2,01-20,01,01-20,2,0.424,-4.137181,4.931075,0.424
1682,2,01-20,20,01-20,2,0.576,8.460715,2.040444,0.576
1683,2,01-20,20,01-20,2,0.299,6.456257,2.431028,0.299
1683,2,01-20,01,01-20,2,0.701,-5.220022,7.002881,0.701
1684,2,01-20,20,01-20,2,0.643,7.234322,4.077857,0.643
1684,2,01-20,01,01-20,2,0.357,-3.255602,7.599349,0.357
1685,2,01-21,01,01-21,2,0.371,-3.788537,7.072437,0.371
1685,2,01-21,21,01-21,2,0.629,2.311246,5.866508,0.629
1686,2,01-20,20,01-20,2,0.574,6.672163,-2.663921,0.574
1686,2,01-20,01,01-20,2,0.426,-3.0489289999999998,1.932155,0.426
1687,2,01-20,20,01-20,2,0.034,2.496865,0.25158,0.034
1687,2,01-20,01,01-20,2,0.966,-6.710922,6.715626,0.966
1688,2,01-20,20,01-20,2,0.625,6.855608,0.273622,0.625
1688,2,01-20,01,01-20,2,0.375,-2.644703,6.229569,0.375
1689,2,01-20,20,01-20,2,0.917,5.683862,0.593763,0.917
1689,2,01-20,01,01-20,2,0.083,-5.716749,6.260391,0.083
1690,2,01-21,21,01-21,2,0.757,5.211432,3.099338,0.757
1690,2,01-21,01,01-21,2,0.243,-0.8199,6.255402,0.243
1691,1,01,01,01,1,1,-7.217106,7.505836,1
1692,2,01-20,20,01-20,2,0.102,3.060721,0.420229,0.102
1692,2,01-20,01,01-20,2,0.898,-9.16376,5.96759,0.898
1693,2,01-20,01,01-20,2,0.102,-3.202657,5.271551,0.102
1693,2,01-20,20,01-20,2,0.898,8.487143,-0.600684,0.898
1694,1,20,20,20,1,1,8.172741,2.642472,1
1695,2,01-20,01,01-20,2,0.416,-4.258377,7.15098,0.416
1695,2,01-20,20,01-20,2,0.584,8.279055,1.10277,0.584
1696,1,01,01,01,1,1,-3.620965,8.959726,1
1697,1,01,01,01,1,1,-7.825317,5.390815,1
1698,2,01-21,21,01-21,2,0.699,4.231276,7.270069,0.699
1698,2,01-21,01,01-21,2,0.301,-1.6823379999999999,7.978769,0.301
1699,1,20,20,20,1,1,5.965265,-1.652175,1
1700,2,10-20,10,10-20,2,0.603,0.966674,-5.379008,0.603
1700,2,10-20,20,10-20,2,0.397,6.113794,-5.379041,0.397
1701,2,01-20,20,01-20,2,0.943,6.223666,-0.945775,0.943
1701,2,01-20,01,01-20,2,0.057,-3.651219,5.350757,0.057
1702,1,20,20,20,1,1,5.532552,-4.006802,1
1703,2,01-20,20,01-20,2,0.046,3.007607,0.62378,0.046
1703,2,01-20,01,01-20,2,0.954,-8.868509,6.582229,0.954
1704,1,21,21,21,1,1,4.420846,2.484541,1
1705,1,01,01,01,1,1,-8.274538,8.576506,1
1706,3,01-11-20,11,01-11-20,3,0.498,1.724002,8.012336,0.498
1706,3,01-11-20,01,01-11-20,3,0.263,-3.615282,8.012446,0.263
1706,3,01-11-20,20,01-11-20,3,0.239,7.8348,3.705568,0.239
1707,2,01-20,20,01-20,2,0.431,6.480585,-1.234688,0.431
1707,2,01-20,01,01-20,2,0.569,-3.699322,5.117987,0.569
1708,2,01-20,20,01-20,2,0.377,5.755459,0.552289,0.377
1708,2,01-20,01,01-20,2,0.623,-5.028305,6.547838,0.623
1709,2,01-20,20,01-20,2,0.697,6.84283,0.262781,0.697
1709,2,01-20,01,01-20,2,0.303,-4.034687,5.968669,0.303
1710,2,01-20,01,01-20,2,0.263,-4.016872,6.507662,0.263
1710,2,01-20,20,01-20,2,0.737,7.512304,-0.098073,0.737
1711,2,01-20,01,01-20,2,0.293,-5.760173,4.393775,0.293
1711,2,01-20,20,01-20,2,0.707,6.755118,0.088542,0.707
1712,2,01-20,20,01-20,2,0.676,6.700737,-0.330309,0.676
1712,2,01-20,01,01-20,2,0.324,-3.944241,6.165188,0.324
1713,2,01-20,20,01-20,2,0.417,6.021573,1.518299,0.417
1713,2,01-20,01,01-20,2,0.583,-3.95968,6.420453,0.583
1714,3,01-10-20,01,01-10-20,3,0.298,-2.795145,6.027483,0.298
1714,3,01-10-20,10,01-10-20,3,0.138,-0.561478,-0.528785,0.138
1714,3,01-10-20,20,01-10-20,3,0.564,5.5937,-0.5289,0.564
1715,2,01-20,20,01-20,2,0.399,6.631969,0.172027,0.399
1715,2,01-20,01,01-20,2,0.601,-5.332202,5.752836,0.601
1716,1,20,20,20,1,1,7.116621,-2.855308,1
1717,2,01-20,20,01-20,2,0.407,5.870783,1.102847,0.407
1717,2,01-20,01,01-20,2,0.593,-3.829183,4.659354,0.593
1718,1,01,01,01,1,1,-11.383994,7.687998,1
1719,2,01-20,20,01-20,2,0.074,6.588078,2.66172,0.074
1719,2,01-20,01,01-20,2,0.926,-1.633852,9.067186,0.926
1720,1,20,20,20,1,1,7.115925,-0.24767,1
1721,2,01-20,20,01-20,2,0.083,3.438212,-0.193984,0.083
1721,2,01-20,01,01-20,2,0.917,-8.56751,4.802145,0.917
1722,2,01-20,01,01-20,2,0.725,-6.160528,6.984983,0.725
1722,2,01-20,20,01-20,2,0.275,6.610918,0.615651,0.275
1723,1,01,01,01,1,1,-8.63128,7.261038,1
1724,1,01,01,01,1,1,-5.465961,8.46046,1
1725,2,01-20,20,01-20,2,0.788,9.776939,1.546446,0.788
1725,2,01-20,01,01-20,2,0.212,-0.868072,8.117455,0.212
1726,2,01-20,01,01-20,2,0.039,0.524848,3.690282,0.039
1726,2,01-20,20,01-20,2,0.961,7.649598,-0.850892,0.961
1727,3,01-11-20,11,01-11-20,3,0.014,0.54649,3.955793,0.014
1727,3,01-11-20,20,01-11-20,3,0.947,6.920357,-1.424639,0.947
1727,3,01-11-20,01,01-11-20,3,0.039,-4.284719,3.955793,0.039
1728,2,01-20,20,01-20,2,0.169,4.243936,1.864972,0.169
1728,2,01-20,01,01-20,2,0.831,-7.442465,6.555781,0.831
1729,2,01-20,01,01-20,2,0.356,-3.364153,5.510457,0.356
1729,2,01-20,20,01-20,2,0.644,7.585237,-0.12255,0.644
