parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
9352,3,0202-2020-2110,2020,0202-2020-2110,3,0.04,6.74094,-0.875268,7.359417,-5.938522,0.04
9352,3,0202-2020-2110,0202,0202-2020-2110,3,0.9,-5.998247,6.159883,-4.890239,6.190984,0.9
9352,3,0202-2020-2110,2110,0202-2020-2110,3,0.06,6.685954,1.516752,1.393555,-5.938522,0.06
9353,2,0202-2020,0202,0202-2020,2,0.77,-1.879317,5.866395,-3.487452,7.590338,0.77
9353,2,0202-2020,2020,0202-2020,2,0.23,5.494585,-2.596926,7.559851,-2.764304,0.23
9354,3,0202-2020-2201,0202,0202-2020-2201,3,0.22,-3.643032,6.842499,-6.225293,7.182598,0.22
9354,3,0202-2020-2201,2020,0202-2020-2201,3,0.17,8.432903,-3.517417,6.096583,-4.909386,0.17
9354,3,0202-2020-2201,2201,0202-2020-2201,3,0.61,1.895064,1.796693,-6.221885,1.329218,0.61
9355,3,0202-0221-2020,0221,0202-0221-2020,3,0.36,-5.458522,1.624326,3.509917,1.42352,0.36
9355,3,0202-0221-2020,0202,0202-0221-2020,3,0.27,-5.458596,4.097362,-0.416031,7.357527,0.27
9355,3,0202-0221-2020,2020,0202-0221-2020,3,0.37,5.925875,-5.014309,7.79558,-4.095987,0.37
9356,1,0202,0202,0202,1,1,-3.711155,6.651503,-4.606035,8.065086,1
9357,2,0202-2020,0202,0202-2020,2,0.08,-4.66545,6.537794,-3.579682,5.34904,0.08
9357,2,0202-2020,2020,0202-2020,2,0.92,5.599151,-6.596568,7.207855,-7.428521,0.92
9358,2,0202-2020,2020,0202-2020,2,0.64,5.758098,-6.580069,4.658457,-9.579064,0.64
9358,2,0202-2020,0202,0202-2020,2,0.36,-3.36488,4.59526,-5.923819,2.79321,0.36
9359,3,0202-0210-2020,0210,0202-0210-2020,3,0.52,1.045683,7.738194,0.748026,-0.989427,0.52
9359,3,0202-0210-2020,0202,0202-0210-2020,3,0.18,-5.213308,7.738306,-5.141603,4.541347,0.18
9359,3,0202-0210-2020,2020,0202-0210-2020,3,0.3,7.660406,-3.918155,6.182623,-7.25665,0.3
9360,4,0202-1102-2020-2100,0202,0202-1102-2020-2100,4,0.53,-5.82511,6.725255,-5.623561,8.138105,0.53
9360,4,0202-1102-2020-2100,2020,0202-1102-2020-2100,4,0.15,5.281876,-6.266682,6.969319,-4.857918,0.15
9360,4,0202-1102-2020-2100,1102,0202-1102-2020-2100,4,0.3,0.313584,0.119082,-5.623534,8.138105,0.3
9360,4,0202-1102-2020-2100,2100,0202-1102-2020-2100,4,0.02,4.603149,0.119057,0.800595,1.507701,0.02
9361,2,0202-2020,0202,0202-2020-2101,2,0.77,-5.655217,6.591252,-3.185036,7.15633,0.77
9361,2,0202-2020,2020,0202-2020-2101,2,0.23,5.690044,-4.126026,8.300408,-2.791468,0.23
9362,2,0202-2020,2020,0202-2020,2,0.83,7.984056,-5.368382,4.878609,-1.706015,0.83
9362,2,0202-2020,0202,0202-2020,2,0.17,-4.536539,6.534087,-7.618176,5.75966,0.17
9363,2,0202-2020,0202,0202-2020,2,0.31,-5.970302,7.642938,-2.205278,6.281129,0.31
9363,2,0202-2020,2020,0202-2020,2,0.69,6.404971,-5.48965,7.500734,-6.352633,0.69
9364,1,0202,0202,0202,1,1,-5.815067,8.098216,-3.014933,6.874274,1
9365,4,0202-1002-2001-2020,2020,0202-1002-2001-2020,4,0.33,5.999419,-9.740686,3.631592,-3.384721,0.33
9365,4,0202-1002-2001-2020,0202,0202-1002-2001-2020,4,0.18,-5.005688,1.921661,-4.913664,7.223542,0.18
9365,4,0202-1002-2001-2020,1002,0202-1002-2001-2020,4,0.17,-0.479867,-1.643387,-1.27721,7.223395,0.17
9365,4,0202-1002-2001-2020,2001,0202-1002-2001-2020,4,0.32,5.999417,-4.33075,-1.27721,0.73115,0.32
9366,3,0022-0202-2020,2020,0022-0202-2020,4,0.09,3.70248,-5.109606,8.380003,-3.246312,0.09
9366,3,0022-0202-2020,0022,0022-0202-2020,4,0.28,-1.929332,0.394176,1.7430890000000001,3.845982,0.6200000000000001
9366,3,0022-0202-2020,0202,0022-0202-2020,4,0.29,-6.494364,6.427262,-4.430955,8.254044,0.29
9366,3,0022-0202-2020,0022,0022-0202-2020,4,0.34,-1.929332,0.394176,3.202996,2.124433,0.6200000000000001
9367,3,0202-1022-2021,2021,0202-1022-2021,3,0.03,5.79725,-6.573485,3.068538,-0.699564,0.03
9367,3,0202-1022-2021,0202,0202-1022-2021,3,0.74,-6.045178,6.56641,-2.623533,6.625421,0.74
9367,3,0202-1022-2021,1022,0202-1022-2021,3,0.23,-0.361938,-6.570396,3.068538,3.966057,0.23
9368,2,2020-2201,2201,2020-2201-2210,2,0.29,3.467651,1.588502,-6.116204,0.687286,0.29
9368,2,2020-2201,2020,2020-2201-2210,2,0.71,8.278031,-4.070916,6.831885,-5.757909,0.71
9369,4,0202-1012-2011-2020,2020,0202-1012-2011-2020,4,0.07,5.707394,-2.715583,6.623972,-4.421483,0.07
