47.465,0.445	0.551,34.675
95.733,0.895	1.275,52.213
139.271,5.345	1.630,83.081
75.181,3.877
52.443,2.584	0.925,54.077
13.090,98.809
93.534,3.629	1.850,87.919
67.686,0.796
160.452,0.525
97.354,0.266	1.803,22.453
78.350,4.340	1.384,257.209
181.425,3.213	6.794,122.768
2.476,339.587
245.992,0.599	3.044,29.672
15.280,1.156	0.340,64.032
146.406,3.937	3.060,151.388
68.008,3.433	2.390,59.706
354.143,1.245	5.125,45.401
253.567,1.308	4.919,82.188
91.729,0.178	1.655,12.113
341.965,1.216
216.433,3.247
184.014,0.950
62.441,4.133	2.533,123.554
325.867,1.824	8.055,138.706
150.881,0.815	13.217,43.262
0.181,131.388
54.714,0.696	3.745,50.492
46.760,1.299	0.616,43.805
2.030,343.024
59.955,1.572	1.328,119.614
59.647,1.884	0.734,73.173
84.560,0.386	0.974,30.053
4.713,79.904
44.883,1.693	0.491,106.532
135.794,1.002	5.079,99.390
144.900,0.854	19.521,25.901
85.092,1.634	0.925,72.259
192.927,1.902	12.014,48.668
216.147,4.553	2.798,320.496
348.907,1.384	8.744,104.569
143.774,7.043	3.648,234.293
130.220,1.347	2.917,118.442
23.037,0.432
73.022,2.124	1.885,209.697
616.092,4.194	6.207,194.731
1.406,129.436
101.622,1.277	10.684,115.318
154.478,4.614
511.473,1.987
106.715,5.423	1.387,389.164
176.170,0.556	3.643,31.935
100.013,9.276	1.494,584.673
0.185,64.256
59.245,1.292	0.755,128.210
108.997,0.557	1.104,43.952
71.650,1.273	1.373,105.152
263.307,0.866	6.447,17.385
6.775,0.690	0.126,19.697
1.081,104.296
4.599,395.420
2.817,478.459
0.203,268.264
56.692,3.313
1.710,12.556
82.535,5.824	2.393,138.792
273.619,1.614	3.592,81.124
35.462,1.073	0.600,86.471
98.247,0.467
2.218,160.187
159.811,1.231
156.017,1.275	4.213,67.265
101.587,1.210	2.133,25.453
51.532,0.980
41.714,4.291	1.734,89.681
28.887,0.618	0.683,30.634
32.742,4.953	0.820,62.087
1.161,103.145
81.052,0.101
74.568,1.094	0.926,90.317
82.264,0.839	0.987,26.824
714.382,5.074
9.908,22.176
130.284,10.454	2.534,733.322
0.924,84.175
323.890,6.650	7.836,91.729
21.667,2.086	0.973,193.344
9.060,0.327	0.303,30.035
4.240,216.995
55.597,3.238	0.748,150.303
125.371,0.942	4.386,48.167
134.446,2.054
96.487,7.109	1.479,231.624
66.262,1.305	0.912,71.383
140.419,0.372	2.424,36.275
164.993,1.905
38.941,0.596	0.458,28.331
13.658,2.969	0.182,291.789
0.024,23.342
38.160,1.699	0.393,83.625
21.676,0.677	0.224,35.376
448.024,1.710	12.991,129.868
0.060,48.178
116.217,3.951	1.744,158.936
264.245,2.509	3.494,157.346
95.927,1.729	2.074,116.326
117.494,3.923
754.700,0.136
0.041,122.131
853.008,1.027
223.793,1.537	3.382,62.496
258.472,0.639	3.834,59.648
216.230,2.703	4.309,235.221
96.021,3.970	1.339,303.040
130.934,0.894	20.838,28.559
305.275,3.408	5.684,249.972
199.204,0.662	5.306,46.234
131.130,4.011
0.854,226.401
4.004,175.311
69.029,1.314
14.806,0.527	0.179,25.682
0.085,460.428
100.848,4.609	2.068,162.474
241.469,3.198	2.965,126.636
216.309,12.045
137.543,0.894	1.406,48.407
34.967,2.875	4.855,140.822
0.338,140.513
36.534,0.918	0.764,70.558
349.821,4.990
121.960,2.325	10.925,86.801
468.694,4.976
66.337,4.653	0.764,227.601
26.248,56.357
84.640,4.523	3.038,423.436
0.556,96.977
542.654,1.194	15.237,105.771
99.812,0.569	1.940,53.166
0.999,188.746
595.328,4.506	11.194,285.250
527.960,14.473	6.547,604.081
199.062,2.071
0.044,66.977
57.143,0.317	9.515,26.249
0.084,61.858
2.287,85.808
17.247,1.261	0.733,117.398
65.031,0.878	0.650,69.930
40.746,1.777	0.674,61.450
30.549,2.845	0.871,205.266
83.768,2.068	8.372,193.590
1.839,94.624
0.075,122.721
53.219,7.282	2.542,74.991
0.119,25.124
82.151,1.760	0.828,93.931
0.675,126.110
47.341,1.326	10.981,124.867
15.602,6.055	0.184,150.819
2.031,121.612
88.444,3.920
38.595,4.039	1.002,167.233
2.810,99.801
58.437,0.901	1.904,39.864
0.131,79.726
188.443,1.179
87.828,2.090	0.901,88.343
141.627,0.667	1.491,27.511
29.611,0.931	0.350,92.649
50.080,4.306	0.775,77.064
256.320,0.876	2.703,19.147
2.094,198.443
0.096,23.916
238.916,0.148
754.122,2.215
23.320,7.951
28.115,0.737	1.705,73.297
19.384,0.615	0.496,55.441
155.640,18.270	3.957,186.738
101.303,1.185	1.150,92.527
43.832,1.135	1.177,42.167
97.197,1.421	1.354,113.828
1.819,148.408
225.470,2.107	3.109,170.070
320.183,2.527	3.716,222.875
31.152,19.944
81.512,2.635	2.533,147.183
35.660,0.566	1.417,49.382
83.252,1.595	1.908,22.233
81.670,4.533	1.151,138.683
62.134,0.565	1.013,28.837
243.863,4.894	2.498,116.002
61.165,0.057
67.899,1.423
82.877,0.368	1.078,20.500
40.560,3.988	0.731,120.398
43.904,2.539	3.418,138.727
235.587,1.503	4.622,74.408
128.016,0.141	1.972,7.120
157.508,0.768
92.364,8.720	1.944,249.749
139.253,0.837	1.502,38.757
267.495,1.733	5.672,67.118
0.735,153.000
0.690,153.849
2.570,10.765	0.039,343.617
2.610,468.244
67.354,1.250
335.113,2.718	5.867,96.150
335.113,2.718	5.867,96.150
22.277,0.660	0.296,62.514
89.375,2.189	1.835,109.882
57.808,2.601	0.730,96.766
183.393,5.978
16.362,0.209	0.165,16.004
190.703,1.137	1.968,34.712
45.643,0.901	0.532,84.356
29.736,0.809	0.589,41.785
243.434,2.267	3.222,106.917
226.760,0.968
110.693,2.128	1.649,174.845
0.043,55.008
53.465,4.082
333.819,8.270	3.761,442.450
44.741,2.539	0.851,123.065
91.921,0.807	12.289,37.375
113.627,0.803	4.202,14.156
613.876,0.297
229.541,2.808	5.975,150.353
282.848,5.146	22.492,219.757
125.970,1.769	1.469,59.844
8.702,135.372
234.789,0.204
