449.796,0.075	449.796,4.720	0.064,398.445	5.101,398.445
1.915,0.059	124.648,0.003
7.353,0.208	0.028,230.174
589.201,0.282	0.273,565.576	13.843,15.485
5.087,0.030	142.226,0.030	0.059,2.994	0.059,158.543
1.927,1.010	32.893,0.020	0.027,21.397
3.110,0.003	175.792,0.003	0.076,20.193
10.853,0.174	425.261,0.174	0.118,128.180
233.562,4.923
113.614,0.335	0.174,332.692
0.158,0.438	13.813,0.005	0.007,28.624
2.270,1.263	104.817,0.013	0.027,25.049
117.137,0.067	0.390,5.735	0.390,180.810
40.226,0.073	0.200,3.486	0.200,127.157
1.701,0.542	104.817,0.007	0.121,25.049
158.381,0.018	0.090,116.040	3.724,116.040
175.904,0.030	0.149,90.843
0.730,2.672	60.609,0.027	0.009,181.667
294.079,0.007	0.662,29.623
2.827,3.993	162.244,0.100	1.199,172.911
48.996,0.088	48.996,2.377	0.042,195.300
26.578,0.040	0.013,69.829	0.613,69.829
2.845,2.580	87.408,0.050	0.067,97.010
1.331,1.468	59.856,0.021	0.015,104.654
153.185,0.041	0.656,197.704
102.684,0.097	102.684,2.529	0.027,130.770
56.263,0.017	0.037,154.266
435.495,0.003	0.180,25.777
5.593,0.032	230.689,0.032	5.593,2.519	230.689,2.519	0.166,78.934
68.141,0.125	2.163,2.113	2.163,35.381
102.847,0.117	0.130,370.838	2.444,370.838
101.274,0.119	0.017,105.286
0.019,124.570
0.069,690.538
0.530,3.830	42.681,0.097	0.061,123.669
2.222,0.091	151.516,0.091	0.125,88.417
2.109,8.895	203.527,0.413	0.041,464.225	3.948,464.225
56.765,0.374	56.765,9.406	0.075,180.561
2.077,0.080	56.451,0.080	0.063,54.397
0.195,0.847	15.284,0.021	0.006,74.361
158.943,0.001
112.763,0.175	0.061,329.089	1.300,329.089
124.637,0.122	0.156,238.135
2.566,1.865	77.313,0.075	0.030,14.220
83.105,0.114	0.020,24.740
147.621,0.010	0.129,74.820
6.578,0.121	99.820,0.001	0.087,11.252
345.751,0.070	345.751,2.596	0.085,72.500
0.573,1.051	52.754,0.011	0.011,28.048
27.698,0.034	0.063,70.923	1.522,70.923
73.164,0.008	0.097,37.883
106.609,0.405	0.075,195.990
5.001,1.017	279.595,0.016	0.183,59.491
84.138,0.009	0.022,27.026
