parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
2099,5,0300-0303-1010-1013-1103,0300,0300-0303-1010-1013-1103-1200,5,0.18,3.285825,4.701077,0.408224,1.933103,0.18
2099,5,0300-0303-1010-1013-1103,1010,0300-0303-1010-1013-1103-1200,5,0.54,6.410836,-13.205405,6.932131,1.933103,0.54
2099,5,0300-0303-1010-1013-1103,1013,0300-0303-1010-1013-1103-1200,5,0.08,6.410836,-8.186651,0.652344,8.053214,0.08
2099,5,0300-0303-1010-1013-1103,1103,0300-0303-1010-1013-1103-1200,5,0.06,6.410836,-2.14965,-5.871563,8.053214,0.06
2100,2,0303-1010,1010,0303-1010,2,0.75,8.677062,-12.197311,5.41873,0.343498,0.75
2100,2,0303-1010,0303,0303-1010,2,0.25,2.516957,9.447867,-3.893129,6.609792,0.25
2101,3,0313-1010-1013,1013,0313-1010-1013,3,0.27,6.710628,-8.742693,5.942503,6.897288,0.27
2101,3,0313-1010-1013,0313,0313-1010-1013,3,0.11,3.739104,3.691315,-0.551795,6.897288,0.11
2101,3,0313-1010-1013,1010,0313-1010-1013,3,0.62,6.710628,-15.283743,6.972626,0.35269,0.62
2102,4,0310-0312-1010-1012,0312,0310-0312-1010-1012,4,0.09,-0.180177,8.272775,-1.153846,5.472126,0.09
2102,4,0310-0312-1010-1012,1010,0310-0312-1010-1012,4,0.36,6.203124,-9.048344,4.757375,-1.075087,0.36
2102,4,0310-0312-1010-1012,0310,0310-0312-1010-1012,4,0.51,-0.180177,2.664391,-0.265253,-1.075086,0.51
2102,4,0310-0312-1010-1012,1012,0310-0312-1010-1012,4,0.04,6.203124,-3.439938,3.868773,5.472126,0.04
2103,2,1013-1303,1303,1013-1303,2,0.13,2.394161,2.326189,-2.48951,7.347387,0.13
2103,2,1013-1303,1013,1013-1303,2,0.87,6.594615,-8.071404,3.980213,7.347387,0.87
2104,2,0301-0303,0301,0301-0303,2,0.21,1.051583,5.129577,-5.894892,2.685582,0.21
2104,2,0301-0303,0303,0301-0303,2,0.79,1.051583,9.76774,-5.894892,7.985526,0.79
2105,3,1003-1010-1303,1003,1003-1010-1303,3,0.03,8.303037,-2.901447,0.612596,5.57785,0.03
2105,3,1003-1010-1303,1303,1003-1010-1303,3,0.05,5.966958,3.58257,-4.236259,5.577851,0.05
