parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
2039,4,0310-0313-1010-1013,0310,0310-0313-1010-1013,4,0.33,2.339661,0.609592,7.075238,-0.031287,0.33
2039,4,0310-0313-1010-1013,1013,0310-0313-1010-1013,4,0.07,7.93346,-5.042616,1.386009,6.537776,0.07
2039,4,0310-0313-1010-1013,0313,0310-0313-1010-1013,4,0.21,2.339661,6.197811,0.762053,6.537776,0.21
2039,4,0310-0313-1010-1013,1010,0310-0313-1010-1013,4,0.39,7.93346,-10.630835,7.699194,-0.031287,0.39
2040,1,1010,1010,1010,1,1,4.775921,-13.849833,7.302856,-0.745106,1
2041,3,0300-0303-1010,0300,0300-0303-1010,3,0.57,1.851533,4.2996,-0.118292,0.91248,0.57
2041,3,0300-0303-1010,0303,0300-0303-1010,3,0.04,1.851534,10.493029,-6.708692,5.574436,0.04
2041,3,0300-0303-1010,1010,0300-0303-1010,3,0.39,5.755355,-9.484498,6.111772,0.91248,0.39
2042,2,0303-1010,1010,0303-1010,2,0.62,7.171097,-14.283638,5.321465,1.243755,0.62
2042,2,0303-1010,0303,0303-1010,2,0.38,1.35044,9.877497,-2.126962,7.793078,0.38
2043,4,0303-1010-1013-1113,1013,0303-1010-1013-1113,4,0.27,5.587622,-5.900066,2.059143,8.621143,0.27
2043,4,0303-1010-1013-1113,1010,0303-1010-1013-1113,4,0.01,5.587622,-12.142639,5.871804,3.362018,0.01
2043,4,0303-1010-1013-1113,0303,0303-1010-1013-1113,4,0.5,-0.049369,10.409631,-1.989005,8.621143,0.5
2043,4,0303-1010-1013-1113,1113,0303-1010-1013-1113,4,0.22,5.185051,-0.327492,2.059139,8.621143,0.22
2044,4,0300-0303-1003-1010,0303,0300-0303-1003-1010,4,0.36,0.379705,10.658883,-5.603897,6.812073,0.36
2044,4,0300-0303-1003-1010,0300,0300-0303-1003-1010,4,0.26,0.379705,4.082834,-0.417927,2.086483,0.26
2044,4,0300-0303-1003-1010,1003,0300-0303-1003-1010,4,0.09,6.34417,-0.938286,-1.093126,6.812073,0.09
2044,4,0300-0303-1003-1010,1010,0300-0303-1003-1010,4,0.29,6.34417,-13.366111,4.092845,2.086483,0.29
2045,1,1010,1010,1010,1,1,6.039791,-12.425082,8.470913,-0.303134,1
2046,4,0300-0303-1010-1013,1010,0300-0303-1010-1013,4,0.18,5.735306,-15.649554,6.550789,1.730232,0.18
2046,4,0300-0303-1010-1013,0300,0300-0303-1010-1013,4,0.06,0.855165,2.946737,-0.072777,1.730232,0.06
2046,4,0300-0303-1010-1013,1013,0300-0303-1010-1013,4,0.34,5.735306,-9.932888,3.510643,6.634318,0.34
2046,4,0300-0303-1010-1013,0303,0300-0303-1010-1013,4,0.42,0.855165,8.663402,-3.112907,6.634318,0.42
2047,4,0300-0303-1010-1013,1010,0300-0303-1010-1013,4,0.38,7.184887,-14.467682,6.668367,1.501752,0.38
2047,4,0300-0303-1010-1013,0303,0300-0303-1010-1013,4,0.22,1.044534,6.467453,-4.606709,6.391275,0.22
2047,4,0300-0303-1010-1013,1013,0300-0303-1010-1013,4,0.3,7.184887,-9.321311,1.667044,6.391275,0.3
2047,4,0300-0303-1010-1013,0300,0300-0303-1010-1013,4,0.1,1.044534,1.321082,0.394614,1.501752,0.1
2048,3,0300-0303-1010,1010,0300-0303-1010,3,0.07,6.164275,-9.008494,1.295596,1.857537,0.07
2048,3,0300-0303-1010,0300,0300-0303-1010,3,0.16,0.398344,5.583445,-5.094216,1.857537,0.16
2048,3,0300-0303-1010,0303,0300-0303-1010,3,0.77,0.398344,11.856694,-9.457815,7.162701,0.77
2049,4,0300-0303-1003-1010,0303,0300-0303-1003-1010,4,0.14,-1.68142,9.90868,-7.581696,5.261487,0.14
2049,4,0300-0303-1003-1010,0300,0300-0303-1003-1010,4,0.26,-1.68142,5.119743,-1.94892,0.820838,0.26
2049,4,0300-0303-1003-1010,1010,0300-0303-1003-1010,4,0.37,4.673101,-14.023523,4.396074,0.820838,0.37
2049,4,0300-0303-1003-1010,1003,0300-0303-1003-1010,4,0.23,4.673101,-2.811862,-1.236701,5.261487,0.23
2050,4,0010-0113-0300-0303,0303,0010-0113-0300-0303,4,0.36,-4.652767,9.988016,-4.890479,6.536211,0.36
2050,4,0010-0113-0300-0303,0010,0010-0113-0300-0303,4,0.21,1.299689,-7.472633,6.090084,0.153882,0.21
2050,4,0010-0113-0300-0303,0113,0010-0113-0300-0303,4,0.14,-4.652693,-1.013851,1.704756,6.536211,0.14
2050,4,0010-0113-0300-0303,0300,0010-0113-0300-0303,4,0.29,-4.652767,3.529233,-0.505151,0.153882,0.29
2051,3,0300-0303-1010,0303,0300-0303-1010,3,0.61,2.819574,12.732118,-3.918401,7.048841,0.61
2051,3,0300-0303-1010,0300,0300-0303-1010,3,0.28,2.819574,6.59646,1.409691,3.012474,0.28
2051,3,0300-0303-1010,1010,0300-0303-1010,3,0.11,8.149993,-5.502651,5.424985,3.012474,0.11
2052,1,1303,1303,1303,1,1,3.486629,4.992474,-6.237941,6.542841,1
2053,1,0303,0303,0303,1,1,0.178949,9.548359,-3.041996,6.15175,1
2054,2,0303-1013,1013,0303-1013,2,0.41,8.055342,-5.055009,1.776036,7.532528,0.41
2054,2,0303-1013,0303,0303-1013,2,0.59,1.589549,9.64357,-4.641766,7.532528,0.59
2055,3,0010-0300-0303,0303,0010-0300-0303,3,0.21,-2.352242,11.716583,-4.831954,5.870551,0.21
2055,3,0010-0300-0303,0010,0010-0300-0303,3,0.34,4.19356,-2.940179,5.52381,-0.166136,0.34
2055,3,0010-0300-0303,0300,0010-0300-0303,3,0.45,-2.352242,5.331949,0.502967,-0.166136,0.45
2056,3,0113-0303-1013,1013,0113-0303-1013,3,0.25,6.374572,-6.982487,0.33588,9.313052,0.25
2056,3,0113-0303-1013,0303,0113-0303-1013,3,0.62,3.171388,10.981056,-6.288232,9.313052,0.62
2056,3,0113-0303-1013,0113,0113-0303-1013,3,0.13,3.171388,-1.947429,0.33588,9.313052,0.13
2057,4,0303-0310-1003-1010,0310,0303-0310-1003-1010,4,0.3,1.760457,1.45547,1.449906,-0.640146,0.3
2057,4,0303-0310-1003-1010,1010,0303-0310-1003-1010,4,0.45,6.784197,-10.025796,4.980573,-0.640146,0.45
2057,4,0303-0310-1003-1010,0303,0303-0310-1003-1010,4,0.13,1.760457,9.882252,-4.393598,5.466951,0.13
2057,4,0303-0310-1003-1010,1003,0303-0310-1003-1010,4,0.12,6.784197,-1.59997,-0.862931,5.466951,0.12
2058,3,0303-1010-1013,0303,0303-1010-1013,3,0.09,1.040853,5.782218,-5.299168,6.343892,0.09
2058,3,0303-1010-1013,1010,0303-1010-1013,3,0.62,6.912961,-17.623388,7.858573,-0.255822,0.62
2058,3,0303-1010-1013,1013,0303-1010-1013,3,0.29,6.912961,-8.611623,1.231606,6.343892,0.29
2059,3,1003-1010-1303,1010,1003-1010-1303,3,0.32,9.512155,-14.657882,6.502241,1.846978,0.32
2059,3,1003-1010-1303,1303,1003-1010-1303,3,0.19,3.674386,3.722267,-6.189246,7.273306,0.19
