275.526,2.613	0.081,85.939
181.064,0.627	0.078,38.502
0.208,0.886	11.939,0.886	0.008,44.633
71.293,1.090	0.082,100.482
27.346,23.746
98.365,28.379
8.473,3.841	0.010,98.891
1.608,208.712	22.087,70.879
175.706,0.579	0.020,16.446
108.629,2.517	0.031,59.732
364.527,1.048	0.094,92.769
0.010,272.480
116.237,0.262	0.012,18.569
1.155,0.168	108.434,0.168	0.014,15.773
0.044,89.247
109.578,1.397
0.173,105.985	5.422,4.884
0.038,121.173	3.602,40.328
157.271,6.147
0.935,1.949	43.411,1.949	0.011,147.326
381.613,0.296
0.029,87.699
156.813,1.864	0.635,79.820	3.566,79.820
0.125,296.459
223.530,0.904	0.066,37.240
90.445,1.945	0.022,130.790
0.059,120.433	3.509,2.312
6.075,1.123	0.011,25.071
0.067,116.765
106.415,1.741	0.016,117.709
85.636,1.311	0.079,17.153
71.112,0.567	0.011,47.905
1.164,2.824	107.068,2.824	0.018,94.228
158.061,2.844	0.163,166.498
0.020,372.615	1.838,372.615
37.427,3.592	0.024,64.356
249.005,6.251	0.039,266.802	3.214,266.802
78.905,0.929	0.022,21.140
168.118,6.028	0.149,103.946
0.026,217.088	1.257,217.088
0.622,8.501	27.636,8.501
1.203,15.606	59.385,15.606	0.194,390.343
161.070,0.691
44.475,10.554	0.006,657.975
232.013,1.167	0.156,31.846	3.520,31.846
72.776,1.379	0.096,82.326
163.092,0.744	0.239,72.500
56.904,0.850	0.039,44.198
0.024,147.668
210.212,1.655	0.071,160.716
0.051,126.877	1.763,4.752
141.688,2.907	0.112,218.076
118.417,1.540	0.080,64.532
2.509,0.783	73.276,0.783	0.097,77.739
59.740,1.574	0.012,91.503
8.382,2.041	0.033,116.550
1.384,5.545	42.934,1.247
0.093,175.462	4.300,12.565
30.159,1.400	0.004,97.271
3.043,0.760	160.956,0.760	0.054,40.155
119.448,8.193	0.085,98.020	1.644,98.020
0.013,229.458
416.981,0.087	0.175,8.407
0.004,237.922
31.234,3.124	0.078,162.166
277.757,0.516	0.555,43.566
122.552,1.915	0.034,97.625
65.875,1.156	0.010,89.240
63.262,0.236	0.016,18.653	1.052,18.653
493.379,3.725
2.724,9.186	147.196,0.116
2.820,1.986	0.015,191.208	1.473,191.208
224.651,1.334	0.069,78.726	3.758,78.726
0.795,1.973	47.794,1.973	0.042,163.339
177.822,3.064	0.024,172.980
88.391,1.845	0.235,181.474
129.436,3.454	0.079,213.187
43.744,0.783	0.007,14.160
394.340,1.195	0.486,100.610
63.501,0.901	0.013,65.054
130.457,8.831	0.307,115.083
351.056,4.084	0.127,93.692
0.183,190.551	5.739,27.513
112.994,2.546	0.210,96.721
115.722,1.959	0.027,92.735
260.292,1.371	0.659,67.137
288.140,0.842
0.117,125.731
0.488,74.649	21.091,12.887
126.409,0.098
161.182,2.166	0.033,146.291	2.292,146.291
196.303,0.832	0.248,53.299
145.919,8.176	0.272,681.253
104.047,4.365
282.700,2.253	0.068,69.811	3.751,69.811
10.288,0.729	0.004,48.616
28.266,7.174	0.038,268.888
227.479,1.172	0.061,67.166
0.332,1.243	31.899,0.024
1.448,0.518	44.217,0.518	0.016,31.742
93.783,0.874	0.035,86.037
21.873,0.905	0.157,74.668	1.205,74.668
421.795,5.115	0.142,175.392
117.731,1.309	0.111,48.339
1.635,4.649	30.093,0.062
211.172,0.512
3.295,2.949	259.171,2.949	0.151,201.355
47.999,3.446	0.020,64.163
70.184,2.333	0.023,87.704
37.466,3.113	0.013,139.954
0.315,29.481	2.163,29.481
76.175,2.759	0.169,171.588
0.053,198.049	2.989,198.049
112.590,1.250	0.059,74.734
185.379,1.522	0.145,98.486
231.835,1.030	0.033,13.755
99.483,0.707
138.092,0.599	0.217,26.604
27.161,1.280	0.036,28.511
768.092,1.248	0.251,104.096
452.577,1.898	1.148,121.059
109.214,0.502
237.116,2.302	1.158,84.509
2.934,4.866	0.002,322.241
8.560,1.565	0.002,123.824
0.025,607.558	1.313,607.558
331.167,3.054	0.065,108.905
0.021,817.426	1.342,817.426
77.130,0.886	0.063,66.627
0.377,485.303	33.876,23.935
56.250,0.319	0.035,29.686	3.152,29.686
1.218,1.545	90.807,1.545	0.014,84.666
51.264,0.765	0.017,30.407
501.685,0.376	0.094,14.688
108.630,0.494	0.094,41.417
354.666,0.762	0.073,66.992
1.433,0.099	105.125,0.099
0.042,58.708
170.954,3.805
100.297,0.129
591.352,2.357	0.368,64.961
24.912,1.459	0.011,81.093
0.028,43.323
76.543,0.881	0.015,79.140	1.247,79.140
115.592,0.789	0.075,50.782
0.000,608.512
97.791,0.126
81.913,2.186	0.263,160.252
10.618,0.312	0.001,20.598	0.127,20.598
1.131,26.026	5.341,6.112
2.021,0.990	83.874,0.990	0.022,14.590
39.744,0.254	0.011,25.239
117.947,0.940	0.031,44.834
19.202,15.371	0.004,241.264
104.117,1.437	0.012,57.636
47.768,1.526	0.012,93.445
174.698,2.893	0.034,104.544	2.026,104.544
0.099,135.399	1.799,135.399
115.800,1.245	0.022,85.748	1.669,85.748
181.877,5.681	0.079,563.178
361.906,2.474	0.104,194.626
32.120,2.668	0.009,100.849
26.578,1.853	0.003,98.186
121.426,5.600	0.028,82.946
42.855,7.548	0.074,467.885
31.263,0.736	0.171,31.926
46.527,0.053
0.022,314.703	2.132,314.703
151.032,2.808	0.051,180.504	3.518,180.504
0.034,69.976	0.787,69.976
0.014,85.013
228.618,0.768	0.130,55.223
189.280,4.608	0.074,197.348
249.459,0.975
108.265,2.345	0.014,24.232	1.303,24.232
539.627,0.256
99.798,0.748	0.013,69.283
35.040,12.661	0.159,259.073
146.516,3.119	0.016,270.310
384.590,1.652	0.191,114.536
32.369,2.675	0.010,62.502
90.626,0.870	0.088,81.341
128.390,5.900	0.034,101.036	2.947,101.036
22.431,0.439	0.022,21.212
9.823,3.089	0.002,71.425	0.228,71.425
167.615,1.681	0.063,166.032
105.826,3.482	0.058,162.985
108.315,0.667	0.215,65.087
90.283,0.885	0.027,84.371	1.534,84.371
