ParIndex,GRHL2,ZEB,miR200,SLUG,Count
156,1.854,1509.939,0.003,94.096,1
156,102.989,1.331,0.223,94.096,1
156,103.342,0.002,19.721,1.068,1
157,0.496,123.756,0.119,369.281,1
157,4.939,2.635,271.25,8.491,1
157,7.262,0.059,279.316,8.491,1
158,1.348,33.689,0.559,0.862,1
158,58.849,0.002,18.242,0.862,1
159,112.745,0,109.302,0.386,3
160,0.586,2041.76,0.378,135.278,1
160,38.747,0.684,874.011,2.135,2
160,38.809,0.013,874.016,2.135,1
161,0.283,835.762,0.079,33.079,1
162,3.019,229.907,0.31,66.349,1
162,3.019,229.909,0.31,66.349,1
162,3.019,229.91,0.31,66.349,1
162,286.206,0.133,13.746,66.349,1
163,3.598,1046.218,0.011,210.519,2
164,6.796,25.992,0.602,33.771,1
164,6.798,7.61,0.826,0.876,1
164,107.194,0,55.828,33.771,1
164,107.194,0,60.104,0.876,1
165,6.944,298.138,0.005,384.275,1
165,115.066,0,20.213,9.71,2
165,115.066,0.082,0.388,384.275,1
166,2.616,845.035,1.694,25.502,1
166,2.616,1193.236,0.022,696.333,1
166,48.934,0.176,152.538,25.502,1
167,2.847,107.546,0.104,120.376,1
167,69.659,0,78.407,1.265,1
167,69.659,0.003,4.487,120.376,1
168,14.263,0.001,123.811,0.059,1
169,107.067,0,82.911,0.447,1
170,0.689,30.715,0.329,4.47,1
170,0.689,1659.185,0.005,289.317,2
170,47.245,0,24.473,4.47,1
171,4.507,47.716,2.071,5.674,1
171,4.507,4210.157,1.101,58.524,1
171,282.527,0.002,32.983,5.674,1
172,1.34,925.515,0.004,635.562,1
172,124.918,0.508,0.311,635.562,1
173,3.041,1413.884,0.731,93.164,2
173,275.632,0.019,11.708,93.164,2
174,0.981,20.634,0.018,1.242,2
174,97.9,0,1.386,1.242,2
175,7.126,32.109,0.186,16.153,2
175,60.075,0.004,10.824,16.153,2
176,2.159,12.396,1.59,1.58,1
176,2.159,567.068,0.051,112.593,2
176,35.398,0.001,76.356,1.58,1
177,66.084,0,70.363,0.982,4
