193.766,0.037	0.073,96.366	4.231,96.366
2.776,2.018	119.883,0.021	0.042,65.195
1.436,2.225	52.770,0.034	0.017,76.743
561.743,0.261	0.252,259.109
265.155,0.024	265.155,2.331	0.311,128.134
1.261,5.630	33.547,0.129	0.013,87.528
1.140,3.648	75.500,0.051	0.264,110.851
5.171,0.068	58.538,0.068	0.369,62.300
20.270,0.993	0.019,462.652
35.257,0.225	0.005,81.857
65.891,0.747	0.052,225.440
1.393,2.992	66.276,0.042	0.055,155.772
5.383,0.038	118.896,0.038	0.494,74.799
1.468,2.260	127.113,0.029	0.037,15.281	3.177,15.281
1.413,0.647	34.992,0.032	0.062,64.253
0.721,1.033	49.847,0.030	0.011,89.608
0.123,593.753	10.680,176.353
5.962,0.178	115.899,0.178	0.068,136.932
2.387,2.650	171.551,0.067	0.190,73.266
92.856,0.110	0.013,106.478
243.718,0.023	0.545,113.970	4.117,113.970
195.837,0.430	195.837,1.930	0.557,85.005	2.784,85.005
0.491,1.605	8.284,0.016	0.006,65.361
1.471,1.881	83.741,0.039	0.026,67.906
0.864,7.573	43.975,0.589	0.011,234.064
467.948,0.025	0.764,52.854
1.399,0.204	124.527,0.005	1.399,8.960
0.691,1.341	23.486,0.039	0.013,121.275
164.295,0.218	0.089,10.605	0.089,72.273
8.350,0.148	143.473,0.148	0.234,503.112
1.474,1.174	119.115,1.174	0.131,130.951
2.088,1.295	43.050,0.035	0.023,99.166
1.623,3.102	22.280,0.052	0.079,112.117
330.429,0.035
2.911,0.659	80.262,0.010	0.056,64.153
0.591,3.928	49.742,0.536	0.007,33.655
1.612,0.363	130.668,0.004	0.566,17.519
69.417,0.576	0.012,90.048
421.074,0.241	0.587,36.413
0.192,3.470	14.139,0.147	0.002,141.190
2.309,1.159	121.390,0.034	0.038,71.936
70.859,0.061	0.080,92.482
5.301,0.663	153.452,0.022	0.085,60.327
112.117,0.126	0.149,175.657
0.006,160.176
1.399,2.971	109.992,0.089	0.019,98.921
1.180,0.570	58.311,0.010	0.184,31.240	9.112,31.240
0.246,4.330	7.729,4.330	0.005,160.176
209.696,0.040	209.696,2.491	0.217,184.282
3.920,0.165	122.720,0.165	0.067,66.277
203.798,0.024	203.798,1.542	0.066,117.636
1.304,0.253	52.262,0.003	0.013,23.254
4.750,3.842	268.117,2.758	0.068,83.513
0.004,220.631
68.358,0.082	0.589,43.604
243.601,1.125
0.668,1.537	54.276,0.104	0.028,127.580
114.956,0.082	0.021,4.994	0.021,233.453
3.082,1.170	50.431,0.018	0.045,68.177
2.205,1.991	132.530,0.046	0.022,108.361
42.005,0.077	0.076,197.215
1.570,0.384	73.094,0.007	0.043,13.964
3.312,2.825	180.627,0.088	0.139,74.116
57.265,0.039	57.265,3.070	0.036,199.384
1.375,0.393	52.282,0.014	0.018,33.979
15.178,0.126	0.010,215.044
532.821,0.045	1.380,138.641
2.832,0.393	102.127,0.010	2.832,11.703
4.825,0.867	66.234,0.011	2.490,83.986
357.595,0.057	0.314,183.565
2.572,2.080	134.650,0.024	0.028,89.648
0.007,249.314
0.649,1.314	5.217,1.314	0.020,101.894
0.101,5.001	7.472,5.001	0.002,286.160
1.245,4.261	42.406,0.062	0.013,59.221
0.005,2.007	0.005,42.868
0.044,568.377
0.977,0.042	90.701,0.001
4.667,2.848	130.720,0.189	0.052,211.214
0.621,0.721	29.290,0.020	0.007,56.155
1.198,0.583	105.665,0.011	0.214,51.980
0.327,0.052	15.258,0.052	0.009,99.409
3.938,0.208	126.009,0.208	1.534,145.843
3.860,2.305	121.596,0.090	121.596,5.767	0.124,148.485
78.294,0.006	0.013,0.560	0.013,28.554
136.258,0.015
0.866,0.831	51.491,0.047	0.014,76.182
3.074,0.092	262.461,0.092
183.504,0.100	0.227,3.459	0.227,68.444
50.761,0.045	0.019,2.892	0.019,182.073
43.728,0.244	0.044,6.738	0.044,262.032
77.510,2.900	0.044,4.276	0.044,248.254
1.377,0.057	70.609,0.002	1.377,5.089
2.445,2.683	57.548,0.114	0.083,108.769
93.352,1.432	0.026,3.112	0.026,16.879
55.821,0.127	55.821,2.892	0.044,148.318
65.559,0.014	0.062,0.797	0.062,69.903
129.989,0.012	0.360,68.384	10.623,68.384
622.737,0.058	0.066,125.330	6.585,125.330
50.304,0.126	50.304,2.710	0.269,66.446
1.876,1.382	63.895,0.024	0.037,127.190
442.405,0.020	0.594,34.866
0.885,1.171	16.887,0.016	0.013,106.937
2.265,1.685	138.008,0.109	138.008,7.658	0.067,117.949
3.422,1.753	317.967,0.034	0.062,147.094
1.776,0.227	100.539,0.052	0.030,10.451
184.939,0.006	0.214,40.434	6.320,40.434
77.077,0.058	0.116,79.708
555.576,0.002	0.145,14.457
0.434,2.295	36.180,0.037	0.030,62.999
0.015,198.527
205.574,1.288	0.061,362.785
1.911,0.068	137.907,0.068	0.030,319.036
5.781,1.667	333.524,0.113	0.485,50.793
194.305,0.218	0.075,9.235	0.075,335.110
259.073,0.161	0.070,127.801	4.781,127.801
228.498,0.035	0.172,177.452	7.117,177.452
1.235,0.063	90.577,0.063	0.019,340.614
2.544,0.374	229.704,0.006	0.059,33.956	5.363,33.956
7.260,2.616	99.088,0.032	0.118,121.821
0.446,1.416	34.902,0.024	0.005,97.149
102.957,0.072	102.957,5.322	0.130,195.588
2.120,1.108	33.956,0.014	0.037,62.460
0.219,0.794	21.380,0.010	0.003,69.805
97.980,0.045	0.022,144.281
15.995,0.675	15.995,11.093	0.004,124.423
29.947,0.240	29.947,6.881	0.060,381.088
1.892,6.256	34.957,0.090	0.143,115.567
32.647,0.182	0.012,176.665
9.574,1.190	624.917,0.035	0.115,60.730
211.015,0.111	0.077,573.367
1.934,0.955	153.429,0.013	0.076,49.466	6.017,49.466
0.220,183.642
398.287,1.941	0.667,66.543	15.178,63.295
626.273,0.015	0.170,52.076
0.870,1.589	31.140,0.300	0.014,150.824
0.630,0.963	55.210,0.013	0.007,35.433
0.015,136.985
25.584,0.022	0.111,2.163	0.111,107.555
114.425,0.135	0.228,146.833
227.914,0.025	0.760,128.301
118.057,0.082	0.454,46.526
86.014,0.240	0.018,199.395
446.981,0.396	0.147,371.605
98.515,0.420	11.783,35.313
3.121,2.753	284.927,0.035	0.370,59.479
0.881,0.372	86.151,0.004	0.029,17.487
0.774,8.085	9.387,0.803	0.010,172.670
0.043,368.677
0.751,1.151	31.848,0.039	0.020,99.912
16.509,0.333	0.010,349.042
159.539,0.007	0.491,27.295
3.700,0.084	236.975,0.084	0.545,56.715
77.924,0.002
93.412,0.100	0.024,4.313	1.757,4.313	0.024,87.836	1.757,87.836
294.056,0.014	0.104,61.844
0.715,0.148	47.000,0.148	0.010,74.671
90.441,0.046	0.207,92.966
0.193,0.749	19.322,0.007	0.039,43.224
209.773,0.068	0.136,3.986	0.136,100.531
41.477,0.287	0.010,24.093
0.581,1.455	29.103,0.037	0.006,56.982
33.505,0.020	33.505,1.344	0.288,66.412
31.181,0.031	0.189,75.524
1.360,0.320	78.824,0.006	0.017,28.165
271.265,0.160	0.302,5.621	0.302,140.478
38.328,0.025	0.006,67.165
68.185,0.006	0.493,21.014	4.018,21.014
0.465,3.250	33.038,0.216	0.016,55.917
127.858,0.024	0.169,79.463
107.925,0.024	107.925,2.135	0.031,52.187
168.423,0.121	0.051,5.497	5.043,5.497	0.051,335.102	5.043,335.102
3.039,2.871	88.207,0.154	0.034,186.677
379.271,0.036
2.301,4.794	188.365,0.208	0.041,229.291
64.259,0.062	0.013,152.839
96.673,0.001
1.631,2.058	106.393,0.062	0.025,113.304
39.991,0.236	0.042,4.206	0.042,200.309
118.995,0.318	0.493,139.594
1.902,0.442	21.588,0.442	0.172,176.535
6.908,2.126	236.204,2.126	0.076,10.000	0.076,208.534
0.378,1.300	31.239,0.126	0.006,63.798
7.021,0.052	552.127,0.052	0.180,91.585
31.377,0.238	0.240,6.934	0.240,167.944
186.269,0.037	0.384,73.851
0.630,0.238	52.734,0.017	0.446,18.192
261.345,0.033	1.002,94.410
165.800,0.038	0.053,51.945
757.830,0.402
2.063,0.048	100.371,0.048	0.029,164.548
112.134,0.010	0.351,70.856	5.734,70.856
513.001,0.008	0.189,59.233
2.332,4.904	117.743,0.065	0.086,298.574
178.976,0.779	0.028,149.069
2.622,3.269	225.638,0.033	0.083,95.073
80.073,0.072	0.022,118.202	1.470,118.202
68.080,0.221	0.047,7.504	0.047,55.552
0.529,1.406	33.869,0.050	33.869,4.974	0.011,139.391	0.723,139.391
340.479,0.125	0.315,52.582
5.973,0.161	234.301,0.003
0.141,3.175	0.013,256.790
1.783,0.488	120.113,0.019	0.158,40.846
0.818,0.820	23.216,0.008	0.015,58.239
334.281,1.007	0.285,4.313	8.348,4.313	0.285,316.568	8.348,316.568
1.871,1.885	171.045,0.025	0.039,82.036
85.151,0.066	0.012,19.430	0.918,19.430
0.111,1.496	6.157,0.018	0.002,112.234
55.674,0.689	0.030,234.288
1.393,3.309	55.551,0.090	0.038,143.339
2.262,0.331	175.654,0.010	0.063,24.120	4.923,24.120
0.653,0.119	49.802,0.001	0.007,8.494
90.612,0.024	0.171,20.475
63.174,0.576	0.453,475.327	10.955,21.914
0.535,2.034	36.308,0.026	0.007,114.748
99.774,0.182	99.774,3.819	0.119,114.138
62.448,0.046	0.047,92.422	1.653,92.422
79.895,0.590	1.433,355.255	74.566,50.364
2.045,3.719	150.035,0.047	0.022,64.841
402.207,0.011	0.304,31.100
0.407,1.035	28.916,0.030	0.007,94.487
150.727,0.032	0.353,28.351
12.540,0.653	302.478,0.653	0.245,5.313	0.245,89.617
82.898,0.012	82.898,0.964	0.028,90.165	1.548,90.165
173.585,0.047	0.096,146.542	4.592,146.542
5.273,0.036	174.253,0.036	0.142,86.427
59.612,0.360	0.009,101.734
4.120,0.028	191.696,0.028	4.120,1.377	191.696,1.377	0.068,136.662
1.059,0.613	37.710,0.014
0.491,0.696	0.032,55.095
721.054,0.057	0.145,148.393
3.804,0.063	153.356,0.063	0.159,43.688
0.993,2.206	87.671,0.109	0.017,15.503
130.806,0.351	130.806,12.684	0.076,111.396
44.370,0.206	0.033,387.144	3.121,387.144
1.897,0.051	107.723,0.051	0.035,48.435
305.614,0.072	0.162,6.301	7.597,6.301	0.162,382.533	7.597,382.533
48.483,0.150	0.050,2.584	0.050,226.388
0.666,0.266	66.148,0.004	0.666,4.283
24.120,0.124	0.005,4.950	0.005,148.686
32.083,0.380	0.016,172.349
4.234,1.871	270.896,0.213	0.042,117.805
75.996,0.250	0.072,93.303
0.840,1.263	62.451,0.013	0.039,96.106	2.912,96.106
0.590,0.831	45.772,0.013	0.060,76.556	4.624,76.556
0.447,0.586	21.282,0.009	0.040,41.464	1.894,41.464
84.046,0.424	0.068,81.680
0.749,1.052	47.411,0.069	0.011,78.459
111.954,0.021	0.434,3.185
8.163,2.024	403.241,0.023	0.094,75.376
1.099,0.633	91.574,0.030	0.014,61.909
229.354,0.161	0.103,11.129	3.273,11.129	0.103,614.565	3.273,614.565
0.310,0.831	30.667,0.028	0.005,76.093
0.591,1.870	37.486,0.031	0.035,181.107	2.198,181.107
58.947,0.001
20.839,0.175	0.010,3.387	0.010,320.255
1.222,2.821	97.402,0.134	0.261,152.666
1.243,0.016	60.834,0.016	0.038,94.423
0.913,0.371	46.353,0.005	0.014,23.015
42.443,0.333	0.134,113.667
616.777,0.025	0.244,15.117
83.127,0.256	0.010,105.396
0.873,2.622	78.629,0.030	0.026,242.439
115.933,0.014	0.052,108.002
0.075,190.912
9.370,0.045	45.134,0.045	0.223,3.344	0.223,102.878
0.494,1.057	29.545,0.028	0.006,96.800
0.672,0.952	63.679,0.022	0.360,80.161
3.381,0.264	177.816,0.003	0.035,15.281
1.181,0.041	93.531,0.041	0.013,79.053
2.054,1.678	85.556,0.061	0.028,119.073
114.805,0.041	0.099,90.020	2.211,90.020
2.824,0.056	68.604,0.056	0.088,62.533
0.130,0.146	10.632,0.002
20.692,0.012	20.692,0.518	0.021,49.768
0.418,7.161	40.213,0.077	0.005,20.069
3.846,0.218	73.830,0.218	0.109,5.866	0.109,92.464
0.988,0.956	95.656,0.058	0.012,91.009
98.646,0.038	98.646,2.097	0.920,90.834
2.056,3.348	137.005,0.329	0.051,268.288
35.380,0.207	0.050,4.398	0.050,51.451
0.576,2.430	46.353,0.030	0.008,39.400
2.215,2.250	68.463,0.024	0.209,119.735
306.994,0.009	0.105,49.546
205.585,0.247	0.033,803.927	2.629,10.162
5.227,0.018	152.973,0.018	0.060,1.512	0.060,80.420
1.019,3.040	96.906,0.105	0.017,120.249
0.500,0.159	32.688,0.002	0.005,12.532
1.802,1.730	101.890,0.051	101.890,4.216	0.053,143.304	3.024,143.304
148.924,0.043	0.124,63.995
1.257,0.143	94.036,0.004	0.557,6.634
1.816,0.337	101.264,0.006	0.025,28.220
0.661,0.821	39.883,0.009	0.010,50.701
0.347,5.504	16.435,0.332	16.435,8.571	0.004,142.064
262.395,0.126	0.128,170.873
0.614,1.648	42.108,0.017	0.008,39.359
9.105,0.746	150.222,0.029	0.717,71.937
1.154,1.866	85.526,0.020	0.023,90.360
0.206,3.007	15.292,0.041	0.003,188.952
1.353,73.483	8.347,35.919
176.708,0.261	0.448,411.876
1.233,0.589	61.858,0.024	0.030,25.654
1.278,2.059	102.274,0.048	0.084,150.058
155.562,0.151	155.562,6.615	0.086,91.299
113.686,0.057	0.149,112.816
1.217,0.038	68.843,0.001
2.640,0.232	216.589,0.232	0.037,126.658
13.120,0.192	13.120,4.895	0.006,107.597
3.494,0.512	292.399,0.512	0.442,857.373	36.952,16.342
30.034,0.098	0.013,477.947
10.113,0.290	118.061,0.009	0.220,17.293
2.732,0.288	85.533,0.288	0.030,112.440
0.429,5.002	13.181,0.077	0.005,105.167
0.397,3.068	10.978,0.075	0.023,110.891
7.671,0.030	280.129,0.030	0.528,114.930
1.417,3.905	46.440,0.072	0.119,251.601
0.162,0.307	14.842,0.006	0.003,30.586
1.732,1.125	89.652,0.019	0.352,28.424
5.484,1.119	95.614,0.017	0.066,106.610
6.503,0.024	260.860,0.024	0.080,104.974
80.740,0.356	0.036,97.346
100.144,1.732	0.038,205.465
5.015,0.046	110.995,0.046	0.099,65.053
209.588,2.959	209.588,4.384	0.165,387.420
1.705,0.889	62.435,0.040	0.056,22.920
1.377,2.332	63.393,0.043	0.017,143.079
1.720,4.511	117.000,0.282	0.019,315.364
52.536,0.636	0.010,84.271
0.064,1.726	6.417,1.726	0.002,122.072
69.021,0.502	69.021,1.455	0.020,30.223	1.576,30.223
69.339,0.062	69.339,2.738	0.202,223.845	3.086,223.845
81.975,0.009	0.053,25.341
176.731,0.071	0.125,447.792
136.033,0.145	0.042,504.892	3.692,504.892
1.182,2.799	34.779,0.032	0.013,252.766
0.622,5.109	50.387,0.052	0.006,331.829
90.431,0.006	0.707,13.485
0.142,0.127	12.943,0.002
1.940,1.634	129.768,1.634	0.028,5.090	0.028,118.015
62.438,0.190	0.023,195.653
43.299,0.014	0.013,1.329	0.013,53.385
1.609,0.673	148.227,0.017	0.114,65.127
0.974,0.016	65.413,0.016	0.012,28.779
1.376,0.448	48.672,0.006	0.020,18.212
