3.335,8.670	257.537,0.169	257.537,11.307	0.118,578.534	9.135,578.534
0.817,4.910	58.464,0.093	0.009,108.918
2.213,4.795	132.360,0.078	0.096,92.481
132.700,0.041	0.104,3.205	0.104,253.856
6.108,0.143	368.930,0.143	6.108,10.663	368.930,10.663	0.125,204.808
670.572,0.152	0.186,2.004	0.186,127.671	9.468,9.706
1.874,0.238	136.061,0.003	0.164,14.353	11.896,14.353
365.856,0.906	0.079,126.193	7.573,126.193
2.991,1.340	232.053,0.015	0.072,67.243
95.406,0.064	95.406,1.566	0.017,101.269
22.298,0.210	0.010,175.640
195.252,0.005	0.352,19.769
5.545,0.436	110.429,0.005	0.375,34.861
2.154,0.551	98.596,0.007	0.292,45.099
264.118,0.038	264.118,3.331	0.045,267.310	2.658,267.310
0.501,4.593	23.396,0.613	0.014,103.485
2.133,0.639	210.674,0.018	0.037,23.255
5.498,4.883	168.514,0.154	0.257,129.117	7.866,129.117
9.341,0.011	21.385,0.011	0.205,51.906
133.376,0.227	133.376,4.820	0.168,255.553
181.286,0.051	1.003,78.881
4.714,0.079	115.002,0.079	0.143,217.638
1.020,1.448	78.345,0.017	0.019,93.299
76.214,0.174	0.045,231.667
264.806,0.018
2.724,0.068	73.631,0.068	0.196,168.737
5.069,0.178	319.574,0.002	0.091,15.579
2.411,0.403	151.435,0.013	0.033,14.918
23.258,0.028	0.004,93.450	0.263,93.450
47.492,0.217	0.019,7.548	0.019,97.628
1.014,0.419	77.083,0.012	0.060,22.664
4.850,0.022	99.298,0.022	0.059,28.493
1.048,1.445	100.044,0.016	0.025,105.819
126.960,0.079	0.118,29.982
254.408,0.068	0.059,4.098	0.059,125.978
902.457,0.089	1.110,50.706
5.508,0.018	54.634,0.018	0.133,80.531
6.357,0.006	131.747,0.006	0.116,38.111
53.492,0.050	0.537,1.093	0.537,32.346
0.346,1.916	34.473,0.031	0.010,64.907
0.002,269.362
10.197,1.899	51.771,0.024	0.125,97.519
34.822,0.032	0.015,2.677	0.015,227.434
15.944,0.176	0.004,287.511
53.884,0.587	0.049,222.982
0.783,0.348	44.174,0.004	0.010,15.601
343.835,0.123	0.066,38.197
0.685,3.898	52.715,0.097	0.051,276.696
216.068,0.003	0.369,23.563
54.952,0.015	54.952,1.299	0.192,83.604
1.520,0.112	107.693,0.112	0.021,78.586
0.331,0.612	19.770,0.035	0.009,60.944
88.908,0.010	0.059,81.540
0.045,0.109
0.000,3.999	0.000,45.665
112.335,1.509	0.018,294.325
16.807,0.083	0.101,6.113	0.101,232.909
195.358,0.934	0.048,1.795	0.048,93.478
36.683,0.211	0.023,4.052	0.023,106.010
2.759,3.140	45.047,0.034	0.184,96.935
225.517,0.001
220.210,0.029	0.037,2.769	0.037,173.920
10.835,0.001	165.182,0.001
107.083,0.206	107.083,10.227	0.116,476.894
176.023,0.060	0.999,131.764	4.834,131.764
135.443,0.156	0.021,667.043
1.072,0.367	42.197,0.367	0.015,27.552
62.011,0.020	62.011,1.869	0.014,161.400
149.220,0.180	0.273,252.240
2.986,5.698	184.534,5.698	0.043,84.304
108.785,0.071	0.114,216.528	2.202,216.528
166.255,0.034	1.489,132.930
2.391,2.687	129.362,0.040	0.208,87.315
0.736,0.184	51.387,0.184	0.013,35.243
657.963,0.094	657.963,2.920	0.366,270.154
1.070,0.841	91.440,0.010	0.017,79.719
3.004,0.116	213.585,0.116	0.081,7.807	0.081,103.836
1.835,0.777	82.991,0.012	0.033,59.849
3.614,0.172	200.383,0.172	0.039,184.835
192.823,0.216	0.053,253.162	3.927,253.162
33.432,0.318	0.051,48.588
157.606,0.033	3.735,263.635
0.813,0.127	78.484,0.009	0.813,9.773
3.773,1.448	96.589,0.077	0.108,91.314
2.990,0.124	113.880,0.124	0.039,89.729
108.231,0.194	0.126,44.160
9.132,0.042	359.085,0.042	0.127,113.617
0.947,1.974	90.321,0.097	0.013,63.393
1.912,0.422	23.201,0.006	0.020,40.955
3.914,3.955	291.117,0.192	0.122,156.395
1.386,3.225	94.601,0.074	0.015,260.712
100.529,0.173	0.078,4.859	0.078,13.789
13.095,3.014	0.042,154.370
26.759,0.692	0.012,259.163
1.704,0.067	134.186,0.067
0.527,0.798	50.257,0.039	0.006,48.508
0.997,0.849	61.313,0.015	0.169,41.236
5.086,0.676	120.162,0.010	0.060,61.245
87.196,0.057	0.039,3.249	0.039,180.922
0.677,0.932	51.592,0.010	0.010,58.948
225.274,0.026	0.091,93.443	6.663,93.443
66.664,0.145	0.009,85.826
2.310,1.759	99.832,0.072	0.072,67.178
72.863,0.022	72.863,1.543	0.404,64.105
13.095,0.022	0.450,1.745	0.450,154.370
0.149,0.682	13.342,0.008	0.003,66.948
0.000,3.693	0.000,323.075
1.636,0.305	43.745,0.305	0.055,143.758
464.166,0.039	0.216,46.058	7.821,46.058
4.295,0.020	37.058,0.020	0.066,49.271
1.592,0.515	140.288,0.515	0.017,223.250
1.414,0.074	0.000,103.247
106.468,0.073	0.035,5.370	0.035,109.797
98.207,0.171	0.026,7.159	0.026,24.262
0.774,4.058	48.411,0.049	0.017,383.661
1.806,0.088	175.891,0.004
298.685,0.032	0.184,97.184
1.505,1.396	79.170,0.290	0.074,61.133	3.874,61.133
1.546,5.714	93.078,0.789	93.078,7.296	0.039,52.803
0.230,0.551	0.003,30.403
45.359,0.052	45.359,2.257	0.007,84.866
108.159,0.052	0.078,2.458	0.078,106.233
36.473,0.242	0.010,198.837
647.462,0.064	0.259,76.189
177.319,0.138	0.035,8.036	1.919,8.036	0.035,622.286	1.919,622.286
30.222,0.023	0.017,2.029	0.017,171.083
348.661,0.006	4.631,30.595
0.086,379.673
0.104,2.145	0.001,99.886
3.965,2.421	356.342,0.026	0.063,63.096
1.487,1.023	144.900,0.027	0.054,69.885
1.035,0.189	63.885,0.004	0.019,15.296
9.474,0.060	81.892,0.060	0.155,237.676
1.643,1.337	141.560,0.014	0.043,96.547
48.292,0.051	0.039,123.111
