parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
5729,3,0303-1010-1103,0303,0403-1010-1203,3,0.12,1.434675,9.080209,-3.775797,5.691558,0.12
5729,3,0303-1010-1103,1103,0403-1010-1203,3,0.23,6.421345,-1.210037,-3.775792,5.691558,0.23
5730,2,1010-1303,1010,1010-1200-1303,2,0.2,9.339,-12.313042,1.958317,0.491788,0.2
5730,2,1010-1303,1303,1010-1200-1303,2,0.8,3.041141,4.498032,-9.787554,6.151796,0.8
5731,3,0313-1010-1013,1013,1010-1013,3,0.71,6.71426,-11.109979,4.836929,8.305257,0.71
5731,3,0313-1010-1013,0313,1010-1013,3,0.13,1.65711,1.206609,-0.147433,8.305257,0.13
5731,3,0313-1010-1013,1010,1010-1013,3,0.16,6.71426,-17.382084,8.020745,1.719247,0.16
5732,2,0303-1013,0303,0403,2,0.66,-1.246956,12.281415,-0.107356,7.512708,0.66
5732,2,0303-1013,1013,0403,2,0.34,4.932942,-2.183921,3.669066,7.512708,0.34
5733,1,1010,1010,1010-1113,1,1,7.054628,-15.11351,7.64148,0.005149,1
5734,4,0300-0302-1010-1012,1012,0400-0402-1010-1100-1302,4,0.06,5.011024,-5.758611,5.459232,5.154323,0.06
5734,4,0300-0302-1010-1012,0300,0400-0402-1010-1100-1302,4,0.13,-0.919854,4.579297,-0.964948,-0.256605,0.13
5734,4,0300-0302-1010-1012,0302,0400-0402-1010-1100-1302,4,0.75,-0.919854,10.224848,-0.966439,5.154323,0.75
5734,4,0300-0302-1010-1012,1010,0400-0402-1010-1100-1302,4,0.06,5.011024,-11.404142,5.460723,-0.256603,0.06
5735,3,1010-1103-1303,1010,1110-1203,3,0.08,8.049539,-8.112982,6.831455,1.046888,0.08
5735,3,1010-1103-1303,1103,1110-1203,3,0.33,8.049539,-1.463139,-0.761643,6.444774,0.33
5735,3,1010-1103-1303,1303,1110-1203,3,0.59,1.664941,3.744418,-0.761643,6.444774,0.59
5736,3,0303-1010-1013,1010,0403-1010-1113,3,0.15,5.340365,-15.35635,6.3494,-0.748652,0.15
5736,3,0303-1010-1013,0303,0403-1010-1113,3,0.28,1.472602,9.597134,-2.85247,5.533843,0.28
5736,3,0303-1010-1013,1013,0403-1010-1113,3,0.57,5.340365,-9.256096,2.790841,5.533843,0.57
5737,3,0300-0303-1010,0300,0400-0403-1010-1200,3,0.4,2.225807,5.244417,0.43667,0.049525,0.4
5737,3,0300-0303-1010,1010,0400-0403-1010-1200,3,0.19,7.231052,-8.8564330000000009,6.447864,0.049527,0.19
5737,3,0300-0303-1010,0303,0400-0403-1010-1200,3,0.41,2.225807,10.536245,-5.275681,6.018773,0.41
5738,3,0303-1010-1013,1010,0310-0403-1010-1013,3,0.68,7.859818,-9.874087,6.988065,1.891936,0.68
5738,3,0303-1010-1013,0303,0310-0403-1010-1013,3,0.15,4.508667,10.503003,-4.401316,7.343038,0.15
5738,3,0303-1010-1013,1013,0310-0403-1010-1013,3,0.17,7.859818,-4.767931,0.629872,7.343038,0.17
5739,3,0303-1010-1013,0303,0403-1010-1013,3,0.34,0.798287,10.032435,-0.217853,7.067765,0.34
5739,3,0303-1010-1013,1013,0403-1010-1013,3,0.42,7.012587,-8.623714,2.924895,7.067765,0.42
5739,3,0303-1010-1013,1010,0403-1010-1013,3,0.24,7.012587,-15.175513,8.724553,1.890565,0.24
5740,1,1010,1010,0310-1010,1,1,6.848861,-10.308864,8.910771,-3.553991,1
5741,3,0300-0303-1010,0300,0400-0403-1010-1200,3,0.13,0.252336,6.157533,-0.103499,0.191965,0.13
5741,3,0300-0303-1010,1010,0400-0403-1010-1200,3,0.12,6.762382,-8.572488,6.275416,0.191965,0.12
5741,3,0300-0303-1010,0303,0400-0403-1010-1200,3,0.75,0.252336,10.95832,-6.407655,6.217654,0.75
5742,2,1010-1303,1010,1010-1403,2,0.15,7.876783,-6.168379,5.836571,2.051564,0.15
5742,2,1010-1303,1303,1010-1403,2,0.85,1.424943,5.178231,-4.666522,7.202089,0.85
5743,4,0300-0303-1003-1010,0300,0403-1010-1103,4,0.19,0.771151,4.681479,-0.771404,0.142212,0.19
5743,4,0300-0303-1003-1010,0303,0403-1010-1103,4,0.39,0.771151,10.352724,-7.019385,6.652183,0.39
5743,4,0300-0303-1003-1010,1003,0403-1010-1103,4,0.13,7.339656,-2.172397,-2.927553,6.652183,0.13
5743,4,0300-0303-1003-1010,1010,0403-1010-1103,4,0.29,7.339656,-14.038056,3.320428,0.142212,0.29
5744,3,0303-1010-1103,0303,0403-1010-1203,3,0.21,0.993656,8.108682,-5.734727,6.299229,0.21
5744,3,0303-1010-1103,1010,0403-1010-1203,3,0.74,6.080929,-11.199204,5.255361,-0.249078,0.74
5744,3,0303-1010-1103,1103,0403-1010-1203,3,0.05,6.080929,-0.740469,-5.734727,6.299229,0.05
5745,2,1010-1011,1011,1010-1011,2,0.09,6.51564,-12.498295,9.182884,3.509932,0.09
5745,2,1010-1011,1010,1010-1011,2,0.91,6.51564,-12.498295,9.182884,-2.771798,0.91
5746,4,0300-0303-1003-1010,1003,0403-1010,4,0.49,6.864319,-1.207916,1.459449,7.234903,0.49
5746,4,0300-0303-1003-1010,0303,0403-1010,4,0.3,2.283777,9.013748,-4.056186,7.234903,0.3
5746,4,0300-0303-1003-1010,0300,0403-1010,4,0.07,2.283777,3.27805,1.359417,2.338323,0.07
5746,4,0300-0303-1003-1010,1010,0403-1010,4,0.14,6.864319,-12.511392,6.875052,2.338323,0.14
5747,2,1010-1303,1303,1010-1203,2,0.33,3.614625,4.313336,-6.306892,6.504503,0.33
5747,2,1010-1303,1010,1010-1203,2,0.67,7.287839,-14.851431,5.674787,1.181521,0.67
5748,4,0300-0303-1010-1013,0303,0400-0403-1010-1013-1203,4,0.06,1.603621,7.406339,-5.074982,6.595443,0.06
5748,4,0300-0303-1010-1013,0300,0400-0403-1010-1013-1203,4,0.27,1.603621,2.566063,0.702886,0.004866,0.27
5748,4,0300-0303-1010-1013,1010,0400-0403-1010-1013-1203,4,0.56,6.59819,-10.835112,6.921475,0.004866,0.56
5748,4,0300-0303-1010-1013,1013,0400-0403-1010-1013-1203,4,0.11,6.59819,-6.938278,1.143607,6.595443,0.11
5749,4,0300-0303-1003-1010,1003,0403-1010-1103,4,0.1,6.047884,-2.224455,-1.475351,6.718951,0.1
5749,4,0300-0303-1003-1010,1010,0403-1010-1103,4,0.51,6.047884,-14.372256,4.474577,0.378317,0.51
5749,4,0300-0303-1003-1010,0303,0403-1010-1103,4,0.16,-0.566065,8.14929,-7.858113,6.718951,0.16
5749,4,0300-0303-1003-1010,0300,0403-1010-1103,4,0.23,-0.566065,2.374765,-1.908188,0.378317,0.23
5750,2,0010-0303,0010,0210-0403,2,0.71,2.707773,-7.101662,7.005215,-0.648816,0.71
5750,2,0010-0303,0303,0210-0403,2,0.29,-3.065881,10.861392,-1.589601,5.312818,0.29
5751,4,0300-0303-1003-1010,0300,0403-1010-1203,4,0.03,3.473932,3.139003,0.117191,1.043758,0.03
5751,4,0300-0303-1003-1010,0303,0403-1010-1203,4,0.18,3.473932,9.766735,-6.522624,7.055053,0.18
5751,4,0300-0303-1003-1010,1003,0403-1010-1203,4,0.29,9.548385,-2.85526,-0.108535,7.055053,0.29
5751,4,0300-0303-1003-1010,1010,0403-1010-1203,4,0.5,9.548385,-14.707463,6.53128,1.043758,0.5
5752,2,1010-1303,1010,1010-1303,2,0.88,6.129859,-9.886494,3.365859,-0.065045,0.88
5752,2,1010-1303,1303,1010-1303,2,0.12,1.232626,2.838666,-6.187851,6.236542,0.12
5753,3,0300-0303-1010,0300,0403-1010-1203,3,0.15,2.613538,4.27114,1.007439,1.062636,0.15
5753,3,0300-0303-1010,0303,0403-1010-1203,3,0.42,2.613538,9.295593,-5.531618,7.164784,0.42
5753,3,0300-0303-1010,1010,0403-1010-1203,3,0.43,6.76652,-13.58593,6.935044,1.062636,0.43
5754,4,0303-0310-1010-1013,0303,0403-1010-1113,4,0.42,-0.360253,10.394498,-2.805021,7.244361,0.42
5754,4,0303-0310-1010-1013,0310,0403-1010-1113,4,0.28,-0.360253,-0.576408,1.922728,0.983682,0.28
5754,4,0303-0310-1010-1013,1013,0403-1010-1113,4,0.05,6.130701,-6.419577,1.279802,7.244361,0.05
5754,4,0303-0310-1010-1013,1010,0403-1010-1113,4,0.25,6.130701,-12.445537,6.007577,0.983682,0.25
5755,3,0300-0303-1010,1010,0400-0403-1010,3,0.19,6.376969,-8.103334,3.055794,0.372431,0.19
5755,3,0300-0303-1010,0303,0400-0403-1010,3,0.38,2.449008,11.428845,-7.684273,7.010711,0.38
5755,3,0300-0303-1010,0300,0400-0403-1010,3,0.43,2.449009,5.266796,-2.401985,0.372431,0.43
5756,1,0303,0303,0403-1103,1,1,1.132032,9.825797,-5.683685,7.517394,1
5757,2,0303-1013,1013,0403-1303,2,0.24,6.374592,-6.165776,2.132133,6.202779,0.24
5757,2,0303-1013,0303,0403-1303,2,0.76,0.325452,9.914717,-2.505948,6.202779,0.76
5758,1,0303,0303,0403-1010-1303,1,1,1.379366,11.297235,-4.178902,7.248313,1
5759,2,1010-1013,1010,0213-1010-1013,2,0.89,7.623982,-15.711149,8.408958,0.038405,0.89
5759,2,1010-1013,1013,0213-1010-1013,2,0.11,7.623982,-11.162558,5.112385,5.839611,0.11
5760,2,0010-0300,0010,0110-0403,2,0.4,2.874418,-6.062072,5.193727,0.917386,0.4
5760,2,0010-0300,0300,0110-0403,2,0.6,-3.423734,3.556955,-0.318898,0.917386,0.6
5761,4,0300-0303-1010-1013,0303,0403-1010-1013,4,0.17,0.864536,9.828578,-2.290829,5.897557,0.17
5761,4,0300-0303-1010-1013,1010,0403-1010-1013,4,0.44,6.395527,-14.560259,6.194746,0.626878,0.44
5761,4,0300-0303-1010-1013,0300,0403-1010-1013,4,0.24,0.864536,3.481952,0.203288,0.626878,0.24
5761,4,0300-0303-1010-1013,1013,0403-1010-1013,4,0.15,6.395527,-8.213633,3.700629,5.897557,0.15
5762,3,0300-1010-1011,1010,0110-0111-0400-0401-1010-1011,3,0.55,6.482244,-8.132661,5.274717,-1.955277,0.55
5762,3,0300-1010-1011,1011,0110-0111-0400-0401-1010-1011,3,0.02,6.482244,-8.132657,5.274717,4.292977,0.02
5762,3,0300-1010-1011,0300,0110-0111-0400-0401-1010-1011,3,0.43,0.156193,5.773035,-0.534729,-1.955278,0.43
5763,3,0303-0310-1010,0303,0403-1010,3,0.23,1.705438,8.116502,-3.327025,6.246522,0.23
5763,3,0303-0310-1010,0310,0403-1010,3,0.3,1.705631,0.78862,1.895316,0.786144,0.3
5763,3,0303-0310-1010,1010,0403-1010,3,0.47,6.985976,-10.57088,5.512807,0.786144,0.47
5764,1,0310,0310,0310,1,1,1.457657,4.930428,5.486794,-2.409263,1
5765,3,0303-1010-1013,1013,0403-1010,3,0.09,5.732818,-7.040045,1.642513,5.910015,0.09
5765,3,0303-1010-1013,0303,0403-1010,3,0.22,-0.353142,11.022452,-4.824462,5.910015,0.22
5765,3,0303-1010-1013,1010,0403-1010,3,0.69,5.732818,-13.056477,7.881219,2.16914,0.69
5766,4,0300-0303-1003-1010,0300,0300-0403-1010,4,0.1,0.879823,3.013168,-1.400007,-1.319608,0.1
5766,4,0300-0303-1003-1010,1003,0300-0403-1010,4,0.32,7.216345,-1.937408,-0.093123,4.810739,0.32
5766,4,0300-0303-1003-1010,0303,0300-0403-1010,4,0.26,0.879823,9.066907,-6.553099,4.810739,0.26
5766,4,0300-0303-1003-1010,1010,0300-0403-1010,4,0.32,7.216345,-14.521903,5.05997,-1.319608,0.32
