parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
357,4,0300-0303-1010-1013,1010,0300-0403-1010-1100,4,0.55,3.006922,-13.168703,7.522732,0.549677,0.55
357,4,0300-0303-1010-1013,0300,0300-0403-1010-1100,4,0.13,-1.56744,0.507822,1.419138,0.549677,0.13
357,4,0300-0303-1010-1013,1013,0300-0403-1010-1100,4,0.11,3.006922,-6.820444,3.865339,6.543015,0.11
357,4,0300-0303-1010-1013,0303,0300-0403-1010-1100,4,0.21,-1.56744,7.048623,-2.238233,6.543015,0.21
358,3,0301-0303-1001,0303,0201-0403,3,0.57,4.241596,9.244408,-6.282933,7.390192,0.57
358,3,0301-0303-1001,1001,0201-0403,3,0.26,8.35923,-6.024854,0.119971,1.698962,0.26
358,3,0301-0303-1001,0301,0201-0403,3,0.17,4.241596,4.269952,-6.282839,1.698963,0.17
359,4,0303-1003-1010-1303,1003,0403-1010-1203,4,0.2,7.551316,-4.161305,-4.446542,5.997783,0.2
359,4,0303-1003-1010-1303,1303,0403-1010-1203,4,0.04,5.879813,0.100977,-9.285788,5.997783,0.04
359,4,0303-1003-1010-1303,0303,0403-1010-1203,4,0.14,1.598593,6.313191,-9.285788,5.997783,0.14
359,4,0303-1003-1010-1303,1010,0403-1010-1203,4,0.62,7.551316,-14.042006,1.960955,0.510535,0.62
360,5,0303-0310-1010-1013-1103,0303,0403-1010-1203,5,0.17,2.275267,10.374032,-1.347347,6.074112,0.17
360,5,0303-0310-1010-1013-1103,1010,0403-1010-1203,5,0.37,8.05974,-11.762413,8.497974,1.724761,0.37
360,5,0303-0310-1010-1013-1103,0310,0403-1010-1203,5,0.29,2.302972,-0.180502,4.791609,1.724761,0.29
360,5,0303-0310-1010-1013-1103,1013,0403-1010-1203,5,0.14,8.05974,-6.57484,2.359001,6.074112,0.14
360,5,0303-0310-1010-1013-1103,1103,0403-1010-1203,5,0.03,8.059739,-1.177488,-1.347364,6.074112,0.03
361,2,0300-1010,1010,1002-1010,2,0.8,7.206245,-14.759718,6.905956,-1.911776,0.8
361,2,0300-1010,0300,1002-1010,2,0.2,3.993182,3.259147,0.962247,-1.911775,0.2
362,1,0303,0303,0403,1,1,-0.683529,8.653836,-6.536584,8.499496,1
363,1,0303,0303,0403-1203,1,1,3.33159,8.716463,-5.43708,6.912113,1
364,4,0303-0310-1010-1013,0310,0403-1010-1013,4,0.33,0.612001,1.253218,2.038091,1.547258,0.33
364,4,0303-0310-1010-1013,1010,0403-1010-1013,4,0.26,6.760671,-10.299099,6.347921,1.547258,0.26
364,4,0303-0310-1010-1013,1013,0403-1010-1013,4,0.15,6.760671,-7.583847,0.534364,6.108035,0.15
364,4,0303-0310-1010-1013,0303,0403-1010-1013,4,0.26,0.612001,9.553132,-3.775465,6.108035,0.26
365,4,0303-0310-1010-1013,0310,0403-1010-1113,4,0.27,-0.995143,2.498953,4.350338,-0.08799,0.27
365,4,0303-0310-1010-1013,0303,0403-1010-1113,4,0.31,-0.995143,9.552882,-1.32279,6.106418,0.31
365,4,0303-0310-1010-1013,1010,0403-1010-1113,4,0.33,4.617601,-10.323265,8.639929,-0.08799,0.33
365,4,0303-0310-1010-1013,1013,0403-1010-1113,4,0.09,4.617601,-4.650094,2.966784,6.106418,0.09
366,3,0301-0303-1001,0303,0403-1001-1203,3,0.42,1.947833,9.190838,-0.115622,6.071654,0.42
366,3,0301-0303-1001,0301,0403-1001-1203,3,0.34,1.947833,2.676473,-0.115622,0.584321,0.34
366,3,0301-0303-1001,1001,0403-1001-1203,3,0.24,5.003008,-7.455967,1.579225,0.584322,0.24
367,1,1010,1010,1010,1,1,7.320658,-9.356313,5.65989,-1.98991,1
368,4,0303-1010-1013-1103,1010,0403-1010,4,0.72,7.032548,-13.447801,8.200305,0.396997,0.72
368,4,0303-1010-1013-1103,1013,0403-1010,4,0.1,7.032548,-6.518558,1.634492,6.57984,0.1
368,4,0303-1010-1013-1103,0303,0403-1010,4,0.15,0.625052,10.326162,-2.8018,6.57984,0.15
368,4,0303-1010-1013-1103,1103,0403-1010,4,0.03,7.032548,-1.32881,-2.8018,6.57984,0.03
369,1,0303,0303,0403,1,1,0.972852,11.698846,-5.857802,5.565748,1
370,4,0303-1010-1013-1103,1010,0403-1010-1203,4,0.33,6.124908,-11.994243,7.524017,2.927115,0.33
370,4,0303-1010-1013-1103,1013,0403-1010-1203,4,0.29,6.124908,-7.854205,2.556078,8.508644,0.29
370,4,0303-1010-1013-1103,1103,0403-1010-1203,4,0.01,6.124908,-1.618084,-2.235496,8.508644,0.01
370,4,0303-1010-1013-1103,0303,0403-1010-1203,4,0.37,0.133158,9.900265,-2.235496,8.508644,0.37
371,4,0300-0303-1003-1010,1003,0403-1010-1103,4,0.3,7.864545,-1.5682449999999999,-0.452139,8.218017,0.3
371,4,0300-0303-1003-1010,0303,0403-1010-1103,4,0.36,2.02538,8.736553,-6.292127,8.218017,0.36
371,4,0300-0303-1003-1010,0300,0403-1010-1103,4,0.05,2.02538,2.969509,-0.637456,2.576743,0.05
371,4,0300-0303-1003-1010,1010,0403-1010-1103,4,0.29,7.864545,-13.847462,5.202532,2.576743,0.29
372,2,0303-1013,0303,0403-1013,2,0.45,1.467899,8.389401,-2.323408,6.626606,0.45
372,2,0303-1013,1013,0403-1013,2,0.55,6.751091,-9.775086,2.171153,6.626606,0.55
373,3,0303-1010-1013,0303,0403-1010-1013,3,0.3,-0.933847,11.762235,-3.315942,7.893751,0.3
373,3,0303-1010-1013,1013,0403-1010-1013,3,0.16,5.327561,-5.481332,0.691812,7.893751,0.16
373,3,0303-1010-1013,1010,0403-1010-1013,3,0.54,5.327561,-10.542354,6.693229,1.862912,0.54
374,3,0303-1010-1013,0303,0403-1010,3,0.3,2.58498,10.412612,-3.838127,6.973294,0.3
374,3,0303-1010-1013,1010,0403-1010,3,0.31,8.227509,-13.636219,7.414103,0.590101,0.31
374,3,0303-1010-1013,1013,0403-1010,3,0.39,8.227509,-7.654915,1.043919,6.973294,0.39
375,3,0303-1010-1013,1013,0403-1010-1013-1203,3,0.19,9.119181,-6.703244,-1.208645,6.642451,0.19
375,3,0303-1010-1013,1010,0403-1010-1013-1203,3,0.68,9.119181,-12.405094,5.389924,1.848672,0.68
375,3,0303-1010-1013,0303,0403-1010-1013-1203,3,0.13,3.02489,9.734321,-7.399105,6.642451,0.13
376,4,1012-1013-1302-1303,1302,1012-1013-1302-1303,4,0.07,4.949991,1.558938,-0.373344,3.408014,0.07
376,4,1012-1013-1302-1303,1303,1012-1013-1302-1303,4,0.22,4.949991,1.559539,-0.373344,8.354004,0.22
376,4,1012-1013-1302-1303,1013,1012-1013-1302-1303,4,0.38,9.017647,-10.091999,2.623269,8.354004,0.38
376,4,1012-1013-1302-1303,1012,1012-1013-1302-1303,4,0.33,9.017647,-10.0926,2.623269,3.408014,0.33
377,3,1010-1300-1303,1010,1010-1403,3,0.47,3.854163,-9.390681,1.823206,1.116866,0.47
377,3,1010-1300-1303,1300,1010-1403,3,0.44,1.768985,0.304998,-1.891189,1.116866,0.44
377,3,1010-1300-1303,1303,1010-1403,3,0.09,1.768984,6.462204,-8.433174,5.82442,0.09
378,4,0300-0303-1003-1010,0300,0300-0403-1010-1100,4,0.12,3.14173,4.830248,1.096377,0.182054,0.12
378,4,0300-0303-1003-1010,1010,0300-0403-1010-1100,4,0.66,8.214495,-12.178099,3.920481,0.182054,0.66
378,4,0300-0303-1003-1010,0303,0300-0403-1010-1100,4,0.14,3.14173,10.193414,-3.787406,6.781961,0.14
378,4,0300-0303-1003-1010,1003,0300-0403-1010-1100,4,0.08,8.214495,-1.708501,-0.97447,6.781961,0.08
379,2,0303-1013,0303,0403-1113,2,0.74,1.016245,6.65405,-7.344019,8.65489,0.74
379,2,0303-1013,1013,0403-1113,2,0.26,6.821194,-7.046169,-1.548668,8.65489,0.26
380,3,0010-0303-0310,0010,0110-0403,3,0.24,0.37457,-5.499311,6.714304,-0.324615,0.24
380,3,0010-0303-0310,0303,0110-0403,3,0.24,-5.104459,10.652026,-1.966411,5.924478,0.24
380,3,0010-0303-0310,0310,0110-0403,3,0.52,-5.104459,0.005033,3.159239,-0.324616,0.52
