parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
5928,4,0300-0303-2300-3030,3030,0300-0303-2300-3000-3030,4,0.53,6.776584,-8.509326,6.29238,-12.716418000000001,0.53
5929,2,0303-3030,3030,0023-0300-0303-0310-3030,2,0.743,8.678085,-8.091263,7.111621,-9.603998,0.743
5929,2,0303-3030,0303,0023-0300-0303-0310-3030,2,0.257,-9.799294,6.271782,-11.004531,4.565409,0.257
5930,1,0303,0303,0030-0103-0303,1,1,-15.744209,5.493782,-11.774654,6.500761,1
5931,2,0303-3030,3030,0030-0032-0303-0320-0322-3010-3030-3300-3320,2,0.259,6.735257,-8.895357,5.57974,-10.500625,0.259
5931,2,0303-3030,0303,0030-0032-0303-0320-0322-3010-3030-3300-3320,2,0.741,-8.757359,8.534178,-9.011479,7.552775,0.741
5932,2,0303-3030,3030,0201-0203-0301-0303-1030-3000-3030,2,0.215,6.377579,-9.737005,5.740755,-9.109408,0.215
5932,2,0303-3030,0303,0201-0203-0301-0303-1030-3000-3030,2,0.785,-11.81368,7.250455,-11.797125,6.377786,0.785
5933,4,0033-0303-3030-3031,3031,0033-0303-3030-3031,4,0.355,5.978531,-11.90664,8.711478,-1.692429,0.355
5933,4,0033-0303-3030-3031,3030,0033-0303-3030-3031,4,0.053,5.979034,-11.90672,8.726043,-5.874123,0.053
5933,4,0033-0303-3030-3031,0303,0033-0303-3030-3031,4,0.367,-9.912603,6.006411,-8.54809,8.235012,0.367
5933,4,0033-0303-3030-3031,0033,0033-0303-3030-3031,4,0.225,-3.125875,-5.95468,5.619063,3.144893,0.225
5934,2,0303-3030,3030,0033-0133-0300-0303-2300-2301-3030-3130,2,0.923,7.51427,-9.733242,6.817379,-8.378391,0.923
5934,2,0303-3030,0303,0033-0133-0300-0303-2300-2301-3030-3130,2,0.077,-9.68612,6.790551,-4.899179,6.661401,0.077
5935,3,0303-3003-3030,0303,0303-3002-3003-3030,3,0.234,-7.107352,6.165361,-5.84634,5.753803,0.234
5935,3,0303-3003-3030,3003,0303-3002-3003-3030,3,0.428,4.697777,-3.664613,-1.343293,1.238033,0.428
5935,3,0303-3003-3030,3030,0303-3002-3003-3030,3,0.338,7.115143,-6.92202,6.009704,-3.422382,0.338
5936,2,0303-1030,0303,0230-0300-0303-1000-1030,2,0.745,-3.774379,4.383364,-10.056724000000001,5.729159,0.745
5936,2,0303-1030,1030,0230-0300-0303-1000-1030,2,0.255,1.596505,-8.540567,6.246222,-6.959559,0.255
5937,2,0303-3030,0303,0030-0300-0303-3030,2,0.986,-12.796021,6.579958,-10.82183,5.02572,0.986
5937,2,0303-3030,3030,0030-0300-0303-3030,2,0.014,5.873576,-2.883803,3.764692,-7.978529,0.014
5938,1,3030,3030,0303-3030,1,1,7.633921,-13.692988,9.355715,-8.014849,1
5939,2,0303-3030,3030,0300-0303-0330-1030-2300-2330-3030,2,0.287,5.406945,-6.405782,9.484739,-7.132811,0.287
5939,2,0303-3030,0303,0300-0303-0330-1030-2300-2330-3030,2,0.713,-11.598145,6.741687,-5.411141,6.331927,0.713
5940,2,0303-3030,0303,0003-0300-0303-1020-1030-2300-3003-3020-3030,2,0.216,-7.497454,6.701604,-7.756799,5.498229,0.216
5940,2,0303-3030,3030,0003-0300-0303-1020-1030-2300-3003-3020-3030,2,0.784,6.341364,-11.181674,8.008762,-7.431556,0.784
5941,2,0303-3030,3030,0001-0003-0301-0303-3000-3030-3100,2,0.419,6.439441,-11.534298,6.337356,-10.455086,0.419
5941,2,0303-3030,0303,0001-0003-0301-0303-3000-3030-3100,2,0.581,-8.647346,4.34484,-10.682394,6.369608,0.581
5942,2,0303-3030,0303,0030-0031-0303-3000-3030,2,0.963,-10.605008,7.339557,-13.059324,5.014748,0.963
5942,2,0303-3030,3030,0030-0031-0303-3000-3030,2,0.037,4.957023,-6.577234,3.429269,-8.880001,0.037
5943,2,0303-3030,0303,0101-0103-0301-0303-1101-1103-3030,2,0.561,-9.774646,6.161797,-9.16429,6.429273,0.561
5943,2,0303-3030,3030,0101-0103-0301-0303-1101-1103-3030,2,0.439,5.592693,-12.343798,7.555702,-7.038286,0.439
5944,3,0303-3030-3300,0303,0103-0303-1300-3030-3300,3,0.144,-4.249857,7.837988,-6.73818,5.436951,0.144
5944,3,0303-3030-3300,3030,0103-0303-1300-3030-3300,3,0.334,6.700051,-2.985239,5.539398,-12.424551,0.334
5944,3,0303-3030-3300,3300,0103-0303-1300-3030-3300,3,0.522,3.833301,7.566961,-1.324072,-7.228977,0.522
5945,3,0230-0303-3030,3030,0210-0230-0300-0303-1010-1030-3010-3030,3,0.401,6.431209,-10.250232,6.246103,-12.747366,0.401
5945,3,0230-0303-3030,0230,0210-0230-0300-0303-1010-1030-3010-3030,3,0.306,-2.772924,0.916867,6.147641,-6.955734,0.306
5945,3,0230-0303-3030,0303,0210-0230-0300-0303-1010-1030-3010-3030,3,0.293,-11.436318,6.421051,-6.896129,5.820072,0.293
5946,2,0303-3030,3030,0300-0303-3010-3030,2,0.836,7.414937,-9.973466,5.917741,-13.714475,0.836
5946,2,0303-3030,0303,0300-0303-3010-3030,2,0.164,-7.536965,5.700622,-8.207654,4.639213,0.164
